 ,Label,Area,Mean,Min,Max,Median
240,histone,499.341,1016.144,836,3066,986
241,histone,288.754,1006.504,856,2454,978
242,histone,234.116,994.038,831,2542,966
243,histone,189.954,949.612,811,2027,930
244,histone,206.662,908.970,785,2374,891
245,histone,185.743,964.866,828,2277,938
246,histone,413.846,971.341,825,4067,942
247,histone,421.240,1015.581,837,3950,985
248,histone,263.372,958.665,815,2291,935
249,histone,408.659,916.378,786,2482,898
250,histone,467.929,942.450,797,2596,919
251,histone,650.354,990.056,824,4832,961
252,histone,356.277,981.753,819,3574,955
253,histone,194.552,1062.368,880,3815,1022
254,histone,213.652,1015.501,869,3714,981
255,histone,205.298,959.170,825,2978,934
256,histone,364.598,1037.397,849,4353,1001
257,histone,348.176,926.200,794,2471,905
258,histone,347.165,940.655,800,2695,919
259,histone,390.873,945.886,782,2374,925
260,histone,412.330,1012.496,844,3329,983
261,histone,191.908,945.061,815,2514,923
262,histone,413.425,968.207,813,2760,944
263,histone,506.667,972.780,821,2702,951
264,histone,322.693,1008.995,841,3533,978
265,histone,356.648,974.174,844,2335,953
266,histone,220.675,1007.947,866,2500,984
267,histone,153.725,1004.712,846,2306,978
268,histone,384.590,979.935,844,2414,958
269,histone,186.097,991.176,846,2726,966
270,histone,426.057,989.730,843,2320,967
271,histone,223.808,950.695,789,2523,929
272,histone,305.446,996.832,829,3242,967
273,histone,231.893,945.468,808,2212,923
274,histone,256.045,1041.686,861,4620,1004
275,histone,245.653,955.031,819,2767,930
276,histone,229.771,949.291,812,3186,925
277,histone,243.413,935.806,801,2047,915
278,histone,336.083,1033.695,842,3926,1001
279,histone,341.119,942.502,761,2730,922
280,histone,371.621,980.200,821,2469,957
281,histone,193.912,973.856,817,2238,952
282,histone,141.295,943.094,810,2286,922
283,histone,156.790,991.705,835,2259,963
284,histone,376.523,1095.077,891,4993,1053
285,histone,749.070,1012.565,823,5665,981
286,histone,385.247,1015.066,857,3283,987
287,histone,384.136,937.950,798,2691,918
288,histone,396.566,1008.185,836,4186,983
289,histone,204.355,1000.683,834,2429,970
290,histone,245.434,993.020,851,4612,962
291,histone,214.646,1019.338,858,2997,993
292,histone,234.672,1058.683,875,6988,1017
293,histone,216.364,988.872,827,3525,955
294,histone,193.895,939.652,789,2770,917
295,histone,369.954,933.947,801,2428,915
296,histone,162.719,933.518,816,2384,911
297,histone,368.556,951.807,795,3064,926
298,histone,365.305,1038.806,850,4457,1001
299,histone,384.978,985.995,815,4829,952
300,histone,425.232,950.646,805,3361,926
301,histone,131.711,941.050,823,1886,924
302,histone,255.389,1110.199,857,8067,1045
303,histone,399.564,970.556,820,3358,943
304,histone,179.899,973.899,832,2829,948
305,histone,412.044,981.222,811,3604,954
306,histone,210.586,986.541,846,2865,960
307,histone,377.836,988.940,827,3072,963
308,histone,401.905,980.218,807,2643,957
309,histone,583.303,984.174,818,2722,962
310,histone,485.445,1162.496,895,30079,1079
311,histone,494.760,1179.121,889,8944,1097
312,histone,387.976,1016.550,846,2839,988
313,histone,211.984,1032.855,861,2694,1001
314,histone,231.792,1007.415,859,2175,980
315,histone,414.907,925.040,802,3475,909
316,histone,358.248,951.361,820,2314,929
317,histone,176.278,921.769,802,1872,900
318,histone,364.328,970.212,814,2870,943
319,histone,353.027,960.622,805,2349,936
320,histone,429.123,1021.841,831,4501,986
321,histone,149.666,944.402,818,3001,922
322,histone,493.513,993.839,852,3029,966
323,histone,167.637,951.167,809,2125,930
