 ,Label,Area,Mean,Min,Max,Median
180,histone,147.510,1192.427,944,6150,1141
181,histone,529.624,1785.789,984,10975,1702
182,histone,294.683,2320.026,1178,28772,2134
183,histone,95.465,3091.675,1589,15328,2795
184,histone,288.805,2939.131,1494,15092,2701
185,histone,293.319,1953.540,1232,13767,1832
186,histone,287.761,2976.992,1427,25616,2631
187,histone,86.943,3279.088,1746,26403,2889
188,histone,302.296,3182.157,1427,26286,3003
189,histone,440.054,2772.197,1464,25144,2477
190,histone,302.010,2439.449,1355,12436,2260
191,histone,284.560,2852.148,1287,19016,2606
192,histone,445.258,1813.163,1074,10292,1717
193,histone,185.204,3270.115,1943,22700,2808
194,histone,488.191,1597.849,1029,8434,1516
195,histone,244.778,3009.134,1490,16904,2707
196,histone,476.940,1839.596,1115,13254,1755
197,histone,480.561,1758.856,1079,9469,1629
198,histone,546.282,1805.223,1110,12711,1722
199,histone,324.023,1629.574,1078,7781,1553
200,histone,61.510,3006.063,1767,14737,2640
201,histone,301.066,2485.220,1197,14840,2361
202,histone,59.270,1628.327,1133,3934,1563
203,histone,178.366,3693.875,2316,23300,3241
204,histone,196.236,2413.877,1405,11034,2209
205,histone,221.231,2039.479,1395,7168,1896
206,histone,194.384,1961.946,1157,7932,1806
207,histone,199.066,2630.720,1397,16507,2386
208,histone,272.602,2169.357,1260,9525,2073
209,histone,481.117,2088.392,1140,11187,2024
210,histone,189.853,2034.463,1313,10575,1868
211,histone,229.787,2385.616,1339,10018,2285
212,histone,211.092,2147.333,1211,13251,2005
213,histone,573.567,1776.298,1077,10262,1653
214,histone,196.135,2776.048,1530,19939,2461
215,histone,270.833,2350.935,1294,13823,2145
216,histone,51.337,2208.011,1383,8252,2068
217,histone,748.750,1803.471,1051,10983,1676
218,histone,275.482,2497.156,1297,14573,2280
219,histone,311.273,1852.102,1173,9129,1726
220,histone,351.494,2689.398,1342,24439,2466
221,histone,278.295,1936.304,1152,9513,1820
222,histone,350.062,2876.292,1272,17854,2711
223,histone,116.098,1843.708,1223,5067,1728
224,histone,320.806,2310.601,1194,17272,2117
225,histone,224.600,1586.784,1069,6726,1488
226,histone,402.477,2663.847,1337,26506,2334
227,histone,259.212,2121.397,1262,14611,1933
228,histone,130.111,3375.572,1513,28465,3033
229,histone,219.480,2867.724,1424,19031,2546
230,histone,262.294,1772.047,1133,13839,1632
231,histone,58.226,3325.250,1457,21017,3085
232,histone,156.032,1718.475,1120,10051,1522
233,histone,137.101,3051.651,1538,17035,2605
234,histone,151.636,1828.427,1123,14528,1578
235,histone,612.003,2618.014,1191,33814,2443
236,histone,257.039,2240.879,1227,16484,2009
237,histone,331.434,2582.837,1159,17566,2413
238,histone,317.808,2266.010,1145,15818,2084
239,histone,341.944,2012.853,1210,11954,1868
240,histone,318.330,2470.016,1318,28871,2262
241,histone,205.466,2713.861,1358,25293,2374
242,histone,37.088,1907.574,1340,7374,1690
243,histone,183.368,2902.015,1639,17474,2545
244,histone,194.535,2656.466,1394,17588,2376
245,histone,53.072,2955.734,1640,23268,2705
246,histone,39.513,2151.312,1686,7818,1916
247,histone,388.683,2414.543,1253,20110,2266
248,histone,54.773,1737.803,1292,8972,1590
249,histone,809.317,2131.295,1219,20478,1935
250,histone,512.680,2852.926,1328,20800,2631
251,histone,483.626,2368.827,1224,20581,2208
252,histone,141.295,2892.797,1518,23190,2536
253,histone,179.579,2915.934,1463,21364,2668
254,histone,169.911,3346.246,1602,21698,3115
255,histone,327.779,1946.449,1129,14356,1797
256,histone,348.648,2939.938,1345,29287,2626
257,histone,129.791,2672.311,1355,14203,2421
258,histone,234.908,1565.295,992,4844,1314
259,histone,407.901,2373.949,1148,15502,2253
260,histone,271.659,1504.158,940,4734,1304
261,histone,86.892,2328.039,1333,8559,2187
262,histone,129.892,1786.091,1137,7998,1664
263,histone,83.642,2525.840,1415,11899,2249
264,histone,121.825,2166.905,1291,15347,1989
265,histone,129.421,2356.713,1327,26692,2067
266,histone,772.515,1865.190,1066,18304,1666
267,histone,121.622,3028.754,1905,17034,2637
268,histone,102.051,2471.277,1351,21311,2267
269,histone,455.903,2590.477,1357,28165,2239
270,histone,824.341,1997.425,1093,22235,1707
271,histone,446.538,2546.719,1240,23866,2354
272,histone,303.323,2008.918,1223,11458,1875
273,histone,246.159,1966.204,1209,11003,1796
274,histone,97.015,2533.308,1650,14631,2206
275,histone,197.836,2401.079,1311,13683,2207
276,histone,221.080,3217.353,1616,20732,2842
277,histone,170.063,2556.170,1449,11764,2319
278,histone,479.011,1732.764,1137,11650,1626
279,histone,347.216,2715.802,1228,19367,2513
280,histone,35.033,2058.571,1567,6849,1869
281,histone,500.149,2007.962,1131,21562,1845
282,histone,267.532,2948.123,1296,28193,2672
283,histone,258.942,2005.710,1237,12925,1894
284,histone,225.122,2258.609,1247,18371,1840
285,histone,470.674,2548.499,1274,22396,2231
286,histone,127.837,2678.901,1439,13577,2414
287,histone,322.878,2456.765,1234,17017,2292
288,histone,355.789,1821.094,1125,9117,1746
289,histone,249.089,1952.173,1116,7718,1843
290,histone,245.704,2150.816,1156,13504,2005
291,histone,42.175,3319.593,1980,19655,2856
292,histone,265.427,2711.172,1461,15986,2435
293,histone,211.395,2911.898,1504,17502,2662
294,histone,568.784,1702.718,1116,9548,1621
295,histone,302.229,1953.186,1185,18419,1734
296,histone,334.382,2661.079,1237,9206,1910
297,histone,228.322,2660.346,1357,16375,2405
298,histone,834.312,2338.363,1184,29668,2017
299,histone,503.669,1663.492,1145,5158,1594
300,histone,472.780,1914.569,1107,12734,1831
301,histone,752.877,3702.605,1339,25594,3487
302,histone,192.548,2360.163,1261,10556,2245
303,histone,241.106,1810.200,1130,7937,1709
304,histone,301.521,2901.956,1359,26329,2560
305,histone,478.051,1806.026,1051,12908,1702
306,histone,273.377,2205.042,1201,11329,1859
307,histone,162.365,1713.092,1060,4463,1471
308,histone,57.603,3693.166,2315,17263,3282
309,histone,330.693,1772.105,1109,8623,1679
310,histone,228.272,1707.005,1053,3765,1507
311,histone,44.128,2675.926,1825,12153,2416
312,histone,101.899,1878.759,1316,7330,1729
313,histone,395.875,2032.950,1093,15165,1895
314,histone,202.940,2210.525,1280,11718,2058
315,histone,468.434,2370.179,1204,16600,2260
316,histone,56.828,3151.136,1788,20981,2765
317,histone,46.301,2777.804,1557,9410,2638
318,histone,559.571,2822.939,1286,18599,2673
319,histone,288.350,2316.067,1318,20862,2098
320,histone,446.892,1778.239,1093,9290,1670
321,histone,237.821,1870.463,1110,11977,1756
322,histone,115.188,1917.440,1202,8827,1772
323,histone,258.740,2314.353,1293,15066,2111
324,histone,113.336,2228.225,1236,9972,2052
325,histone,228.204,2172.270,1234,7981,2018
326,histone,111.837,2709.688,1378,17039,2512
327,histone,65.030,2382.181,1384,9138,2184
328,histone,326.213,2918.074,1434,20861,2656
329,histone,100.552,2084.459,1404,9599,1885
330,histone,246.479,3467.302,1760,30265,3020
331,histone,60.702,3216.660,1688,23214,2756
332,histone,272.147,2731.921,1489,21478,2471
333,histone,501.901,1570.812,970,6430,1465
334,histone,89.503,2994.454,1359,16009,2708
335,histone,237.400,2650.401,1326,14914,2365
336,histone,275.651,1872.650,1161,9622,1781
337,histone,368.135,2384.576,1227,19533,2149
338,histone,596.406,2082.265,1082,19567,1934
339,histone,101.293,1700.100,1194,10987,1543
340,histone,338.525,1808.345,1178,12268,1668
341,histone,556.607,1696.952,1048,10817,1530
342,histone,348.934,2694.767,1267,30842,2481
343,histone,261.738,2271.798,1178,21945,2045
344,histone,125.530,2925.759,1363,21364,2705
345,histone,149.329,2052.511,1229,16100,1849
346,histone,45.122,2597.296,1792,11039,2336
347,histone,113.487,1826.098,1096,13094,1713
348,histone,59.017,2598.194,1524,14447,2322
349,histone,53.931,2140.590,1406,11624,1929
350,histone,276.897,1902.332,1058,14677,1739
351,histone,552.295,1904.157,1082,16777,1794
352,histone,71.431,2783.146,1619,19291,2481
353,histone,309.673,2666.766,1284,31512,2408
354,histone,310.785,1939.475,1134,7723,1862
355,histone,218.132,2370.247,1303,15466,2199
356,histone,289.832,2445.487,1209,14515,2268
357,histone,489.134,2219.985,1113,17429,2113
358,histone,373.626,2083.078,1175,9908,1958
359,histone,205.904,1833.396,1074,7832,1820
360,histone,487.871,1673.342,1006,8207,1568
361,histone,297.984,1580.790,1017,8564,1486
362,histone,327.847,1673.128,1067,12121,1547
363,histone,413.678,2290.758,1227,19244,2129
364,histone,372.699,3789.980,1660,26020,3389
365,histone,286.480,3627.431,1504,47062,3143
366,histone,136.192,1754.536,1188,7608,1647
367,histone,136.747,3461.662,1410,21883,3084
368,histone,304.603,3050.172,1403,22687,2787
369,histone,342.837,2449.877,1182,19964,2318
370,histone,363.840,2056.614,1115,18660,1944
371,histone,141.345,3349.346,1793,18525,2944
372,histone,317.084,1542.993,1018,6690,1348
373,histone,375.125,2210.187,1130,20850,1939
374,histone,730.812,2731.503,1224,28155,2532
375,histone,363.958,1577.835,1033,14493,1434
376,histone,376.304,2522.505,1228,17684,2274
377,histone,70.100,3154.893,1853,12537,2905
378,histone,56.963,2657.073,1849,9881,2386
379,histone,293.453,2875.923,1363,19083,2601
380,histone,101.967,2700.818,1437,17454,2412
381,histone,510.305,1782.435,1015,13700,1701
382,histone,294.397,2820.083,1496,18652,2508
383,histone,696.605,2010.527,1100,17491,1843
