 ,Label,Area,Mean,Min,Max,Median
142,histone,380.329,7114.926,2679,21695,7115
143,histone,460.922,4871.612,2175,12779,4894
144,histone,144.832,6091.643,2426,17092,6001
145,histone,528.142,7444.449,2944,21950,7807
146,histone,380.767,4079.599,1960,9532,4252
147,histone,232.886,5206.065,2500,15721,4827
148,histone,405.88,5443.686,2118,24733,4565
149,histone,161.136,4527.831,2244,11451,4388
150,histone,348.226,6396.53,2608,17662,6225
151,histone,377.466,5284.944,2505,14047,5249
152,histone,185.71,6098.123,2705,16217,5804
153,histone,175.89,4047.316,2246,9532,4012
154,histone,113.336,4716.795,2491,10027,4854
155,histone,67.708,4318.758,2479,11007,4278
156,histone,195.041,4287.85,2376,11829,4288
157,histone,481.15,4133.666,2268,13471,3529
158,histone,731.503,4402.129,2069,13295,4308
159,histone,168.311,5331.307,2643,13025,5196
160,histone,110.119,6950.936,3697,18017,5889
161,histone,145.287,4963.672,2479,13361,4644
162,histone,382.266,3617.034,1702,8181,3575
163,histone,345.346,5177.053,2255,18633,4417
164,histone,504.697,5272.374,2437,13764,5093
165,histone,161.237,3887.829,1949,9493,3827
166,histone,360.488,3630.003,1981,10098,3516
167,histone,335.207,3464.749,1983,9218,3334
168,histone,549.095,6301.437,2678,25462,6220
169,histone,176.126,6487.411,2748,19382,6277
170,histone,187.158,6450.718,2673,17783,6388
171,histone,1028.965,5705.215,2570,20409,5016
172,histone,342.854,4903.519,2437,12789,5128
173,histone,357.406,6554.852,2563,21341,6001
174,histone,609.325,5743.033,2618,22016,4842
175,histone,51.101,7878.403,5668,18337,7546
176,histone,101.158,5768.557,2909,16598,5537
177,histone,332.377,7312.576,3055,21110,7494
178,histone,65.199,5441.845,2794,16636,5309
179,histone,31.884,5179.137,3126,8676,4656
180,histone,143.367,5110.525,2568,13539,4637
