nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair
1,1,1,2,/Users/anamota/Desktop/iAM686/a488_001.tif,/Users/anamota/Desktop/iAM686/a594_001.tif,/Users/anamota/Desktop/iAM686/a488fret_001.tif,158,56,20,154,55,21,3407,10626,13096,1
1,1,1,2,/Users/anamota/Desktop/iAM686/a488_001.tif,/Users/anamota/Desktop/iAM686/a594_001.tif,/Users/anamota/Desktop/iAM686/a488fret_001.tif,217,47,19,212,43,18,2544,2787,4225,2
2,1,2,2,/Users/anamota/Desktop/iAM686/a488_001.tif,/Users/anamota/Desktop/iAM686/a594_001.tif,/Users/anamota/Desktop/iAM686/a488fret_001.tif,753,112,22,752,114,24,3073,9064,14708,1
2,1,2,2,/Users/anamota/Desktop/iAM686/a488_001.tif,/Users/anamota/Desktop/iAM686/a594_001.tif,/Users/anamota/Desktop/iAM686/a488fret_001.tif,818,172,18,819,172,21,2458,2803,4799,2
3,1,3,2,/Users/anamota/Desktop/iAM686/a488_001.tif,/Users/anamota/Desktop/iAM686/a594_001.tif,/Users/anamota/Desktop/iAM686/a488fret_001.tif,542,196,35,539,192,33,2340,3427,6749,1
3,1,3,2,/Users/anamota/Desktop/iAM686/a488_001.tif,/Users/anamota/Desktop/iAM686/a594_001.tif,/Users/anamota/Desktop/iAM686/a488fret_001.tif,547,209,28,542,213,27,2494,2632,4689,2
6,1,6,2,/Users/anamota/Desktop/iAM686/a488_001.tif,/Users/anamota/Desktop/iAM686/a594_001.tif,/Users/anamota/Desktop/iAM686/a488fret_001.tif,436,398,26,440,396,27,3268,3418,14454,1
6,1,6,2,/Users/anamota/Desktop/iAM686/a488_001.tif,/Users/anamota/Desktop/iAM686/a594_001.tif,/Users/anamota/Desktop/iAM686/a488fret_001.tif,394,385,28,388,388,28,3743,8785,6204,2
8,1,8,2,/Users/anamota/Desktop/iAM686/a488_001.tif,/Users/anamota/Desktop/iAM686/a594_001.tif,/Users/anamota/Desktop/iAM686/a488fret_001.tif,359,515,23,363,512,21,4249,13976,4831,1
8,1,8,2,/Users/anamota/Desktop/iAM686/a488_001.tif,/Users/anamota/Desktop/iAM686/a594_001.tif,/Users/anamota/Desktop/iAM686/a488fret_001.tif,395,532,26,395,533,23,3225,3819,12982,2
9,1,9,2,/Users/anamota/Desktop/iAM686/a488_001.tif,/Users/anamota/Desktop/iAM686/a594_001.tif,/Users/anamota/Desktop/iAM686/a488fret_001.tif,540,598,30,537,598,31,3657,10902,13653,1
9,1,9,2,/Users/anamota/Desktop/iAM686/a488_001.tif,/Users/anamota/Desktop/iAM686/a594_001.tif,/Users/anamota/Desktop/iAM686/a488fret_001.tif,555,534,24,554,538,22,3054,6441,5389,2
10,1,10,2,/Users/anamota/Desktop/iAM686/a488_001.tif,/Users/anamota/Desktop/iAM686/a594_001.tif,/Users/anamota/Desktop/iAM686/a488fret_001.tif,922,586,25,924,585,23,3717,11363,6669,1
10,1,10,2,/Users/anamota/Desktop/iAM686/a488_001.tif,/Users/anamota/Desktop/iAM686/a594_001.tif,/Users/anamota/Desktop/iAM686/a488fret_001.tif,977,599,26,975,602,24,2257,3589,14632,2
12,1,12,2,/Users/anamota/Desktop/iAM686/a488_001.tif,/Users/anamota/Desktop/iAM686/a594_001.tif,/Users/anamota/Desktop/iAM686/a488fret_001.tif,153,634,26,149,634,26,3319,11625,12166,1
12,1,12,2,/Users/anamota/Desktop/iAM686/a488_001.tif,/Users/anamota/Desktop/iAM686/a594_001.tif,/Users/anamota/Desktop/iAM686/a488fret_001.tif,177,602,30,173,599,29,3118,8389,7874,2
