nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair
6,1,6,2,/Volumes/projects/FRET-FISH/iAM610/a488_001.tif,/Volumes/projects/FRET-FISH/iAM610/a594_001.tif,/Volumes/projects/FRET-FISH/iAM610/a488fret_001.tif,99,541,28,96,541,28,3512,6564,11669,1
6,1,6,2,/Volumes/projects/FRET-FISH/iAM610/a488_001.tif,/Volumes/projects/FRET-FISH/iAM610/a594_001.tif,/Volumes/projects/FRET-FISH/iAM610/a488fret_001.tif,86,476,26,89,470,26,2611,1797,17389,2
8,1,8,2,/Volumes/projects/FRET-FISH/iAM610/a488_001.tif,/Volumes/projects/FRET-FISH/iAM610/a594_001.tif,/Volumes/projects/FRET-FISH/iAM610/a488fret_001.tif,425,663,27,423,663,27,4221,9418,19178,1
8,1,8,2,/Volumes/projects/FRET-FISH/iAM610/a488_001.tif,/Volumes/projects/FRET-FISH/iAM610/a594_001.tif,/Volumes/projects/FRET-FISH/iAM610/a488fret_001.tif,445,567,29,442,561,29,2877,4262,12433,2
10,1,10,2,/Volumes/projects/FRET-FISH/iAM610/a488_001.tif,/Volumes/projects/FRET-FISH/iAM610/a594_001.tif,/Volumes/projects/FRET-FISH/iAM610/a488fret_001.tif,489,865,26,490,865,29,3853,8523,5656,1
10,1,10,2,/Volumes/projects/FRET-FISH/iAM610/a488_001.tif,/Volumes/projects/FRET-FISH/iAM610/a594_001.tif,/Volumes/projects/FRET-FISH/iAM610/a488fret_001.tif,487,915,32,487,914,35,3735,7866,6308,2
11,2,1,2,/Volumes/projects/FRET-FISH/iAM610/a488_002.tif,/Volumes/projects/FRET-FISH/iAM610/a594_002.tif,/Volumes/projects/FRET-FISH/iAM610/a488fret_002.tif,581,108,34,579,106,35,3603,7982,16774,1
11,2,1,2,/Volumes/projects/FRET-FISH/iAM610/a488_002.tif,/Volumes/projects/FRET-FISH/iAM610/a594_002.tif,/Volumes/projects/FRET-FISH/iAM610/a488fret_002.tif,651,83,43,656,84,41,2657,2122,8817,2
15,2,5,2,/Volumes/projects/FRET-FISH/iAM610/a488_002.tif,/Volumes/projects/FRET-FISH/iAM610/a594_002.tif,/Volumes/projects/FRET-FISH/iAM610/a488fret_002.tif,564,380,38,559,376,37,2165,1414,3399,1
15,2,5,2,/Volumes/projects/FRET-FISH/iAM610/a488_002.tif,/Volumes/projects/FRET-FISH/iAM610/a594_002.tif,/Volumes/projects/FRET-FISH/iAM610/a488fret_002.tif,554,394,27,549,395,25,2540,1833,5677,2
20,2,10,2,/Volumes/projects/FRET-FISH/iAM610/a488_002.tif,/Volumes/projects/FRET-FISH/iAM610/a594_002.tif,/Volumes/projects/FRET-FISH/iAM610/a488fret_002.tif,565,940,25,561,943,23,2397,1299,3987,1
20,2,10,2,/Volumes/projects/FRET-FISH/iAM610/a488_002.tif,/Volumes/projects/FRET-FISH/iAM610/a594_002.tif,/Volumes/projects/FRET-FISH/iAM610/a488fret_002.tif,520,887,27,515,883,28,2174,2642,12965,2
21,3,1,2,/Volumes/projects/FRET-FISH/iAM610/a488_003.tif,/Volumes/projects/FRET-FISH/iAM610/a594_003.tif,/Volumes/projects/FRET-FISH/iAM610/a488fret_003.tif,406,104,28,403,100,27,2251,1338,4351,1
21,3,1,2,/Volumes/projects/FRET-FISH/iAM610/a488_003.tif,/Volumes/projects/FRET-FISH/iAM610/a594_003.tif,/Volumes/projects/FRET-FISH/iAM610/a488fret_003.tif,454,100,25,450,105,26,3356,6024,9392,2
25,3,5,2,/Volumes/projects/FRET-FISH/iAM610/a488_003.tif,/Volumes/projects/FRET-FISH/iAM610/a594_003.tif,/Volumes/projects/FRET-FISH/iAM610/a488fret_003.tif,595,449,28,593,449,28,4323,10465,18619,1
25,3,5,2,/Volumes/projects/FRET-FISH/iAM610/a488_003.tif,/Volumes/projects/FRET-FISH/iAM610/a594_003.tif,/Volumes/projects/FRET-FISH/iAM610/a488fret_003.tif,576,452,38,579,448,36,2629,1431,3581,2
26,3,6,2,/Volumes/projects/FRET-FISH/iAM610/a488_003.tif,/Volumes/projects/FRET-FISH/iAM610/a594_003.tif,/Volumes/projects/FRET-FISH/iAM610/a488fret_003.tif,455,587,36,452,590,34,2285,1696,6383,1
26,3,6,2,/Volumes/projects/FRET-FISH/iAM610/a488_003.tif,/Volumes/projects/FRET-FISH/iAM610/a594_003.tif,/Volumes/projects/FRET-FISH/iAM610/a488fret_003.tif,353,549,29,357,544,30,2934,3187,3750,2
27,3,7,2,/Volumes/projects/FRET-FISH/iAM610/a488_003.tif,/Volumes/projects/FRET-FISH/iAM610/a594_003.tif,/Volumes/projects/FRET-FISH/iAM610/a488fret_003.tif,286,778,27,283,779,27,3138,5750,10286,1
27,3,7,2,/Volumes/projects/FRET-FISH/iAM610/a488_003.tif,/Volumes/projects/FRET-FISH/iAM610/a594_003.tif,/Volumes/projects/FRET-FISH/iAM610/a488fret_003.tif,297,727,29,293,727,30,3115,6590,11687,2
29,4,1,2,/Volumes/projects/FRET-FISH/iAM610/a488_004.tif,/Volumes/projects/FRET-FISH/iAM610/a594_004.tif,/Volumes/projects/FRET-FISH/iAM610/a488fret_004.tif,637,118,31,635,114,29,2048,1388,5141,1
29,4,1,2,/Volumes/projects/FRET-FISH/iAM610/a488_004.tif,/Volumes/projects/FRET-FISH/iAM610/a594_004.tif,/Volumes/projects/FRET-FISH/iAM610/a488fret_004.tif,621,100,30,618,96,28,2190,1958,9014,2
30,4,2,2,/Volumes/projects/FRET-FISH/iAM610/a488_004.tif,/Volumes/projects/FRET-FISH/iAM610/a594_004.tif,/Volumes/projects/FRET-FISH/iAM610/a488fret_004.tif,191,97,28,187,94,27,3643,7121,12876,1
30,4,2,2,/Volumes/projects/FRET-FISH/iAM610/a488_004.tif,/Volumes/projects/FRET-FISH/iAM610/a594_004.tif,/Volumes/projects/FRET-FISH/iAM610/a488fret_004.tif,195,118,21,195,111,21,2474,2685,3267,2
