nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair,dlamin_A,dlamin_D
2,1,2,2,/Volumes/projects/FRET-FISH/iAM594/a488_001.tif,/Volumes/projects/FRET-FISH/iAM594/a594_001.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_001.tif,311,121,24,310,115,24,2098,4993,8310,1,13.34166431427,13.34166431427
2,1,2,2,/Volumes/projects/FRET-FISH/iAM594/a488_001.tif,/Volumes/projects/FRET-FISH/iAM594/a594_001.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_001.tif,332,127,25,327,126,23,2113,4867,8505,2,20.8086528778076,20.8086528778076
3,1,3,2,/Volumes/projects/FRET-FISH/iAM594/a488_001.tif,/Volumes/projects/FRET-FISH/iAM594/a594_001.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_001.tif,400,235,22,405,239,23,2212,4187,4271,1,25.4950981140137,25.4950981140137
3,1,3,2,/Volumes/projects/FRET-FISH/iAM594/a488_001.tif,/Volumes/projects/FRET-FISH/iAM594/a594_001.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_001.tif,420,244,30,425,243,28,1903,2179,9337,2,35.6089859008789,35.6089859008789
4,1,4,2,/Volumes/projects/FRET-FISH/iAM594/a488_001.tif,/Volumes/projects/FRET-FISH/iAM594/a594_001.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_001.tif,600,285,32,596,282,30,2124,1816,5337,1,33.7342567443848,33.7342567443848
4,1,4,2,/Volumes/projects/FRET-FISH/iAM594/a488_001.tif,/Volumes/projects/FRET-FISH/iAM594/a594_001.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_001.tif,622,282,29,617,283,27,1942,1820,6761,2,21.8403301239014,21.8403301239014
5,1,5,2,/Volumes/projects/FRET-FISH/iAM594/a488_001.tif,/Volumes/projects/FRET-FISH/iAM594/a594_001.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_001.tif,120,309,30,117,308,30,2916,9450,10843,1,28.3019428253174,28.3019428253174
5,1,5,2,/Volumes/projects/FRET-FISH/iAM594/a488_001.tif,/Volumes/projects/FRET-FISH/iAM594/a594_001.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_001.tif,169,342,29,166,345,27,2335,3412,7246,2,3.60555124282837,3.60555124282837
6,1,6,2,/Volumes/projects/FRET-FISH/iAM594/a488_001.tif,/Volumes/projects/FRET-FISH/iAM594/a594_001.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_001.tif,503,288,25,506,290,27,3065,9112,4925,1,14.7648229598999,14.7648229598999
6,1,6,2,/Volumes/projects/FRET-FISH/iAM594/a488_001.tif,/Volumes/projects/FRET-FISH/iAM594/a594_001.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_001.tif,561,326,20,555,325,21,1924,1711,4241,2,15.2643375396729,15.2643375396729
7,1,7,2,/Volumes/projects/FRET-FISH/iAM594/a488_001.tif,/Volumes/projects/FRET-FISH/iAM594/a594_001.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_001.tif,847,354,29,849,358,30,2168,5859,14211,1,39.319206237793,39.319206237793
7,1,7,2,/Volumes/projects/FRET-FISH/iAM594/a488_001.tif,/Volumes/projects/FRET-FISH/iAM594/a594_001.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_001.tif,858,379,22,862,376,23,1854,3323,4048,2,13.0384044647217,13.0384044647217
8,1,8,2,/Volumes/projects/FRET-FISH/iAM594/a488_001.tif,/Volumes/projects/FRET-FISH/iAM594/a594_001.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_001.tif,669,352,24,669,350,22,1860,1621,7375,1,14.5602197647095,14.5602197647095
8,1,8,2,/Volumes/projects/FRET-FISH/iAM594/a488_001.tif,/Volumes/projects/FRET-FISH/iAM594/a594_001.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_001.tif,662,439,31,663,439,28,2046,1881,9512,2,11.0453605651855,11.0453605651855
9,1,9,2,/Volumes/projects/FRET-FISH/iAM594/a488_001.tif,/Volumes/projects/FRET-FISH/iAM594/a594_001.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_001.tif,488,508,21,483,512,21,3040,8462,12725,1,34.2052612304688,34.2052612304688
9,1,9,2,/Volumes/projects/FRET-FISH/iAM594/a488_001.tif,/Volumes/projects/FRET-FISH/iAM594/a594_001.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_001.tif,530,506,27,525,507,25,2106,2379,10816,2,6.70820379257202,6.70820379257202
11,1,11,2,/Volumes/projects/FRET-FISH/iAM594/a488_001.tif,/Volumes/projects/FRET-FISH/iAM594/a594_001.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_001.tif,724,664,26,720,664,25,2357,5675,10901,1,27.1661548614502,27.1661548614502
11,1,11,2,/Volumes/projects/FRET-FISH/iAM594/a488_001.tif,/Volumes/projects/FRET-FISH/iAM594/a594_001.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_001.tif,731,633,28,730,630,26,1876,1760,7396,2,16.2788200378418,16.2788200378418
12,1,12,2,/Volumes/projects/FRET-FISH/iAM594/a488_001.tif,/Volumes/projects/FRET-FISH/iAM594/a594_001.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_001.tif,365,684,28,361,681,26,2314,6928,7727,1,14.5602197647095,14.5602197647095
12,1,12,2,/Volumes/projects/FRET-FISH/iAM594/a488_001.tif,/Volumes/projects/FRET-FISH/iAM594/a594_001.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_001.tif,310,609,24,310,610,27,2953,6747,4177,2,8,8
14,1,14,2,/Volumes/projects/FRET-FISH/iAM594/a488_001.tif,/Volumes/projects/FRET-FISH/iAM594/a594_001.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_001.tif,490,721,30,486,723,28,2404,4362,11739,1,17.2046508789062,17.2046508789062
14,1,14,2,/Volumes/projects/FRET-FISH/iAM594/a488_001.tif,/Volumes/projects/FRET-FISH/iAM594/a594_001.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_001.tif,480,768,23,481,768,26,2982,9999,4505,2,18.3575592041016,18.3575592041016
15,1,15,2,/Volumes/projects/FRET-FISH/iAM594/a488_001.tif,/Volumes/projects/FRET-FISH/iAM594/a594_001.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_001.tif,676,852,23,674,853,24,2923,10619,14748,1,3.60555124282837,3.60555124282837
15,1,15,2,/Volumes/projects/FRET-FISH/iAM594/a488_001.tif,/Volumes/projects/FRET-FISH/iAM594/a594_001.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_001.tif,787,837,27,787,842,25,1935,4933,9240,2,6.40312433242798,6.40312433242798
16,1,16,2,/Volumes/projects/FRET-FISH/iAM594/a488_001.tif,/Volumes/projects/FRET-FISH/iAM594/a594_001.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_001.tif,357,852,25,354,853,25,1993,6954,10387,1,3,3
16,1,16,2,/Volumes/projects/FRET-FISH/iAM594/a488_001.tif,/Volumes/projects/FRET-FISH/iAM594/a594_001.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_001.tif,290,905,29,288,911,29,2332,5894,8329,2,24.6981773376465,24.6981773376465
17,2,1,2,/Volumes/projects/FRET-FISH/iAM594/a488_002.tif,/Volumes/projects/FRET-FISH/iAM594/a594_002.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_002.tif,621,81,26,618,80,26,3381,12742,18010,1,25.4950981140137,25.4950981140137
17,2,1,2,/Volumes/projects/FRET-FISH/iAM594/a488_002.tif,/Volumes/projects/FRET-FISH/iAM594/a594_002.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_002.tif,645,66,32,641,63,30,2491,2366,6642,2,31.5753059387207,31.5753059387207
18,2,2,2,/Volumes/projects/FRET-FISH/iAM594/a488_002.tif,/Volumes/projects/FRET-FISH/iAM594/a594_002.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_002.tif,88,223,30,86,225,28,1895,1992,8298,1,10,10
18,2,2,2,/Volumes/projects/FRET-FISH/iAM594/a488_002.tif,/Volumes/projects/FRET-FISH/iAM594/a594_002.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_002.tif,110,244,25,110,243,22,1922,1593,3826,2,34.8855285644531,34.8855285644531
20,2,4,2,/Volumes/projects/FRET-FISH/iAM594/a488_002.tif,/Volumes/projects/FRET-FISH/iAM594/a594_002.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_002.tif,855,342,29,853,344,27,1877,1650,7875,1,18.4390888214111,18.4390888214111
20,2,4,2,/Volumes/projects/FRET-FISH/iAM594/a488_002.tif,/Volumes/projects/FRET-FISH/iAM594/a594_002.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_002.tif,822,368,36,819,369,34,1923,3200,6899,2,21.5406589508057,21.5406589508057
21,2,5,2,/Volumes/projects/FRET-FISH/iAM594/a488_002.tif,/Volumes/projects/FRET-FISH/iAM594/a594_002.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_002.tif,311,304,28,314,307,30,2227,6098,6698,1,22.3606796264648,22.3606796264648
21,2,5,2,/Volumes/projects/FRET-FISH/iAM594/a488_002.tif,/Volumes/projects/FRET-FISH/iAM594/a594_002.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_002.tif,303,313,21,299,310,23,2460,6472,4275,2,32.9848442077637,32.9848442077637
22,2,6,2,/Volumes/projects/FRET-FISH/iAM594/a488_002.tif,/Volumes/projects/FRET-FISH/iAM594/a594_002.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_002.tif,479,373,30,477,373,30,3390,12946,17034,1,7.81024980545044,7.81024980545044
22,2,6,2,/Volumes/projects/FRET-FISH/iAM594/a488_002.tif,/Volumes/projects/FRET-FISH/iAM594/a594_002.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_002.tif,552,356,24,547,358,25,2180,4024,10473,2,41.0365676879883,41.0365676879883
23,2,7,2,/Volumes/projects/FRET-FISH/iAM594/a488_002.tif,/Volumes/projects/FRET-FISH/iAM594/a594_002.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_002.tif,964,433,28,963,430,26,1962,2836,14733,1,1,1
23,2,7,2,/Volumes/projects/FRET-FISH/iAM594/a488_002.tif,/Volumes/projects/FRET-FISH/iAM594/a594_002.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_002.tif,923,453,34,919,451,32,1796,1608,6597,2,19.1049728393555,19.1049728393555
24,2,8,2,/Volumes/projects/FRET-FISH/iAM594/a488_002.tif,/Volumes/projects/FRET-FISH/iAM594/a594_002.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_002.tif,250,438,27,246,438,28,2779,7630,10213,1,17,17
24,2,8,2,/Volumes/projects/FRET-FISH/iAM594/a488_002.tif,/Volumes/projects/FRET-FISH/iAM594/a594_002.tif,/Volumes/projects/FRET-FISH/iAM594/a488fret_002.tif,337,461,29,334,464,27,1909,2311,11499,2,7.28010988235474,7.28010988235474
