nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair,dlamin_A,dlamin_D
1,1,1,2,/Volumes/projects/FRET-FISH/iAM602/a488_001.tif,/Volumes/projects/FRET-FISH/iAM602/a594_001.tif,/Volumes/projects/FRET-FISH/iAM602/a488fret_001.tif,499,117,17,502,123,17,2635,4293,9862,1,8.9442720413208,8.9442720413208
1,1,1,2,/Volumes/projects/FRET-FISH/iAM602/a488_001.tif,/Volumes/projects/FRET-FISH/iAM602/a594_001.tif,/Volumes/projects/FRET-FISH/iAM602/a488fret_001.tif,532,100,17,528,95,18,2306,2851,3743,2,29.4108829498291,29.4108829498291
4,1,4,2,/Volumes/projects/FRET-FISH/iAM602/a488_001.tif,/Volumes/projects/FRET-FISH/iAM602/a594_001.tif,/Volumes/projects/FRET-FISH/iAM602/a488fret_001.tif,653,354,16,656,357,18,2102,2233,4982,1,25.1793575286865,25.1793575286865
4,1,4,2,/Volumes/projects/FRET-FISH/iAM602/a488_001.tif,/Volumes/projects/FRET-FISH/iAM602/a594_001.tif,/Volumes/projects/FRET-FISH/iAM602/a488fret_001.tif,683,366,17,679,368,15,2622,7178,4118,2,11.7046995162964,11.7046995162964
5,1,5,2,/Volumes/projects/FRET-FISH/iAM602/a488_001.tif,/Volumes/projects/FRET-FISH/iAM602/a594_001.tif,/Volumes/projects/FRET-FISH/iAM602/a488fret_001.tif,909,362,19,909,364,17,2108,4176,11908,1,14.5602197647095,14.5602197647095
5,1,5,2,/Volumes/projects/FRET-FISH/iAM602/a488_001.tif,/Volumes/projects/FRET-FISH/iAM602/a594_001.tif,/Volumes/projects/FRET-FISH/iAM602/a488fret_001.tif,926,361,13,931,357,12,2187,2576,3752,2,18,18
6,1,6,2,/Volumes/projects/FRET-FISH/iAM602/a488_001.tif,/Volumes/projects/FRET-FISH/iAM602/a594_001.tif,/Volumes/projects/FRET-FISH/iAM602/a488fret_001.tif,804,471,17,807,465,17,2108,2549,3551,1,37.0135116577148,37.0135116577148
6,1,6,2,/Volumes/projects/FRET-FISH/iAM602/a488_001.tif,/Volumes/projects/FRET-FISH/iAM602/a594_001.tif,/Volumes/projects/FRET-FISH/iAM602/a488fret_001.tif,807,439,19,811,436,17,2186,2323,5932,2,23,23
7,1,7,2,/Volumes/projects/FRET-FISH/iAM602/a488_001.tif,/Volumes/projects/FRET-FISH/iAM602/a594_001.tif,/Volumes/projects/FRET-FISH/iAM602/a488fret_001.tif,142,539,18,143,539,21,2364,3971,3505,1,9.21954441070557,9.21954441070557
7,1,7,2,/Volumes/projects/FRET-FISH/iAM602/a488_001.tif,/Volumes/projects/FRET-FISH/iAM602/a594_001.tif,/Volumes/projects/FRET-FISH/iAM602/a488fret_001.tif,195,529,15,196,529,18,2016,2852,3324,2,34.2052612304688,34.2052612304688
8,1,8,2,/Volumes/projects/FRET-FISH/iAM602/a488_001.tif,/Volumes/projects/FRET-FISH/iAM602/a594_001.tif,/Volumes/projects/FRET-FISH/iAM602/a488fret_001.tif,375,616,14,377,612,12,3436,11939,6924,1,24,24
8,1,8,2,/Volumes/projects/FRET-FISH/iAM602/a488_001.tif,/Volumes/projects/FRET-FISH/iAM602/a594_001.tif,/Volumes/projects/FRET-FISH/iAM602/a488fret_001.tif,381,665,16,381,659,17,2351,2796,3562,2,28.4253406524658,28.4253406524658
9,1,9,2,/Volumes/projects/FRET-FISH/iAM602/a488_001.tif,/Volumes/projects/FRET-FISH/iAM602/a594_001.tif,/Volumes/projects/FRET-FISH/iAM602/a488fret_001.tif,962,742,23,957,746,23,2309,4839,5226,1,8.48528099060059,8.48528099060059
9,1,9,2,/Volumes/projects/FRET-FISH/iAM602/a488_001.tif,/Volumes/projects/FRET-FISH/iAM602/a594_001.tif,/Volumes/projects/FRET-FISH/iAM602/a488fret_001.tif,852,701,14,851,696,16,2191,2275,3924,2,7,7
