nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair
3,1,3,2,/Volumes/projects/FRET-FISH/iAM634/a488_001.tif,/Volumes/projects/FRET-FISH/iAM634/a594_001.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_001.tif,502,230,18,502,230,21,2218,1617,4598,1
3,1,3,2,/Volumes/projects/FRET-FISH/iAM634/a488_001.tif,/Volumes/projects/FRET-FISH/iAM634/a594_001.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_001.tif,465,209,26,464,209,29,2341,1518,4951,2
4,1,4,2,/Volumes/projects/FRET-FISH/iAM634/a488_001.tif,/Volumes/projects/FRET-FISH/iAM634/a594_001.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_001.tif,732,372,21,735,368,23,2461,1481,5253,1
4,1,4,2,/Volumes/projects/FRET-FISH/iAM634/a488_001.tif,/Volumes/projects/FRET-FISH/iAM634/a594_001.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_001.tif,679,341,21,674,342,19,2319,1614,10134,2
5,1,5,2,/Volumes/projects/FRET-FISH/iAM634/a488_001.tif,/Volumes/projects/FRET-FISH/iAM634/a594_001.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_001.tif,179,392,21,175,391,22,3408,3672,9607,1
5,1,5,2,/Volumes/projects/FRET-FISH/iAM634/a488_001.tif,/Volumes/projects/FRET-FISH/iAM634/a594_001.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_001.tif,189,411,26,193,416,27,2958,2227,6323,2
6,1,6,2,/Volumes/projects/FRET-FISH/iAM634/a488_001.tif,/Volumes/projects/FRET-FISH/iAM634/a594_001.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_001.tif,610,459,16,614,454,17,2691,1890,5987,1
6,1,6,2,/Volumes/projects/FRET-FISH/iAM634/a488_001.tif,/Volumes/projects/FRET-FISH/iAM634/a594_001.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_001.tif,592,515,16,593,510,14,2730,1849,9255,2
8,1,8,2,/Volumes/projects/FRET-FISH/iAM634/a488_001.tif,/Volumes/projects/FRET-FISH/iAM634/a594_001.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_001.tif,726,525,22,728,521,20,2502,1839,9810,1
8,1,8,2,/Volumes/projects/FRET-FISH/iAM634/a488_001.tif,/Volumes/projects/FRET-FISH/iAM634/a594_001.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_001.tif,744,532,25,742,526,26,2683,1874,6126,2
12,1,12,2,/Volumes/projects/FRET-FISH/iAM634/a488_001.tif,/Volumes/projects/FRET-FISH/iAM634/a594_001.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_001.tif,863,824,14,860,826,12,2404,1510,7671,1
12,1,12,2,/Volumes/projects/FRET-FISH/iAM634/a488_001.tif,/Volumes/projects/FRET-FISH/iAM634/a594_001.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_001.tif,865,835,22,860,839,21,2124,1483,5203,2
14,2,1,2,/Volumes/projects/FRET-FISH/iAM634/a488_002.tif,/Volumes/projects/FRET-FISH/iAM634/a594_002.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_002.tif,798,114,15,794,117,14,2750,2126,13020,1
14,2,1,2,/Volumes/projects/FRET-FISH/iAM634/a488_002.tif,/Volumes/projects/FRET-FISH/iAM634/a594_002.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_002.tif,792,91,18,792,96,16,2171,1763,5977,2
15,2,2,2,/Volumes/projects/FRET-FISH/iAM634/a488_002.tif,/Volumes/projects/FRET-FISH/iAM634/a594_002.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_002.tif,561,114,26,565,109,26,2154,1857,6442,1
15,2,2,2,/Volumes/projects/FRET-FISH/iAM634/a488_002.tif,/Volumes/projects/FRET-FISH/iAM634/a594_002.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_002.tif,586,118,26,584,114,24,2979,2603,16824,2
16,2,3,2,/Volumes/projects/FRET-FISH/iAM634/a488_002.tif,/Volumes/projects/FRET-FISH/iAM634/a594_002.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_002.tif,273,249,19,269,248,19,3641,4863,13552,1
16,2,3,2,/Volumes/projects/FRET-FISH/iAM634/a488_002.tif,/Volumes/projects/FRET-FISH/iAM634/a594_002.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_002.tif,327,178,26,331,175,24,2916,2142,6435,2
18,2,5,2,/Volumes/projects/FRET-FISH/iAM634/a488_002.tif,/Volumes/projects/FRET-FISH/iAM634/a594_002.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_002.tif,289,374,29,284,371,30,2557,1920,6576,1
18,2,5,2,/Volumes/projects/FRET-FISH/iAM634/a488_002.tif,/Volumes/projects/FRET-FISH/iAM634/a594_002.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_002.tif,334,415,22,333,415,19,2841,1843,5252,2
21,2,8,2,/Volumes/projects/FRET-FISH/iAM634/a488_002.tif,/Volumes/projects/FRET-FISH/iAM634/a594_002.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_002.tif,804,567,18,807,563,16,2411,1763,6176,1
21,2,8,2,/Volumes/projects/FRET-FISH/iAM634/a488_002.tif,/Volumes/projects/FRET-FISH/iAM634/a594_002.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_002.tif,792,587,14,785,587,14,2730,1797,16767,2
23,2,10,2,/Volumes/projects/FRET-FISH/iAM634/a488_002.tif,/Volumes/projects/FRET-FISH/iAM634/a594_002.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_002.tif,620,586,16,622,580,17,2560,1719,5334,1
23,2,10,2,/Volumes/projects/FRET-FISH/iAM634/a488_002.tif,/Volumes/projects/FRET-FISH/iAM634/a594_002.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_002.tif,624,593,24,623,598,22,2601,1701,10766,2
27,2,14,2,/Volumes/projects/FRET-FISH/iAM634/a488_002.tif,/Volumes/projects/FRET-FISH/iAM634/a594_002.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_002.tif,452,928,19,453,922,20,2260,1691,6289,1
27,2,14,2,/Volumes/projects/FRET-FISH/iAM634/a488_002.tif,/Volumes/projects/FRET-FISH/iAM634/a594_002.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_002.tif,472,936,20,467,936,22,2158,1680,5070,2
28,2,15,2,/Volumes/projects/FRET-FISH/iAM634/a488_002.tif,/Volumes/projects/FRET-FISH/iAM634/a594_002.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_002.tif,378,996,20,379,996,18,2791,2139,11157,1
28,2,15,2,/Volumes/projects/FRET-FISH/iAM634/a488_002.tif,/Volumes/projects/FRET-FISH/iAM634/a594_002.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_002.tif,326,961,22,326,966,24,2657,1802,5338,2
29,3,1,2,/Volumes/projects/FRET-FISH/iAM634/a488_003.tif,/Volumes/projects/FRET-FISH/iAM634/a594_003.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_003.tif,611,90,27,607,92,25,2588,2286,8618,1
29,3,1,2,/Volumes/projects/FRET-FISH/iAM634/a488_003.tif,/Volumes/projects/FRET-FISH/iAM634/a594_003.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_003.tif,584,58,18,583,63,16,2555,2237,7886,2
33,3,5,2,/Volumes/projects/FRET-FISH/iAM634/a488_003.tif,/Volumes/projects/FRET-FISH/iAM634/a594_003.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_003.tif,463,330,18,457,332,19,2765,2265,7076,1
33,3,5,2,/Volumes/projects/FRET-FISH/iAM634/a488_003.tif,/Volumes/projects/FRET-FISH/iAM634/a594_003.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_003.tif,448,337,28,443,338,26,2847,1761,7522,2
34,3,6,2,/Volumes/projects/FRET-FISH/iAM634/a488_003.tif,/Volumes/projects/FRET-FISH/iAM634/a594_003.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_003.tif,718,363,18,718,361,16,2600,1825,10832,1
34,3,6,2,/Volumes/projects/FRET-FISH/iAM634/a488_003.tif,/Volumes/projects/FRET-FISH/iAM634/a594_003.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_003.tif,687,393,19,689,399,18,2783,1909,6462,2
37,3,9,2,/Volumes/projects/FRET-FISH/iAM634/a488_003.tif,/Volumes/projects/FRET-FISH/iAM634/a594_003.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_003.tif,347,550,31,346,547,29,2422,1865,8963,1
37,3,9,2,/Volumes/projects/FRET-FISH/iAM634/a488_003.tif,/Volumes/projects/FRET-FISH/iAM634/a594_003.tif,/Volumes/projects/FRET-FISH/iAM634/a488fret_003.tif,303,601,28,306,597,30,2648,1717,4897,2
