nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair
1,1,1,2,/Volumes/projects/FRET-FISH/iAM574/a488_001.tif,/Volumes/projects/FRET-FISH/iAM574/a594_001.tif,/Volumes/projects/FRET-FISH/iAM574/a488fret_001.tif,707,216,27,705,212,25,3003,5687,10003,1
1,1,1,2,/Volumes/projects/FRET-FISH/iAM574/a488_001.tif,/Volumes/projects/FRET-FISH/iAM574/a594_001.tif,/Volumes/projects/FRET-FISH/iAM574/a488fret_001.tif,712,200,32,712,200,35,3725,7441,7076,2
2,1,2,2,/Volumes/projects/FRET-FISH/iAM574/a488_001.tif,/Volumes/projects/FRET-FISH/iAM574/a594_001.tif,/Volumes/projects/FRET-FISH/iAM574/a488fret_001.tif,776,315,30,776,310,29,3529,7526,10950,1
2,1,2,2,/Volumes/projects/FRET-FISH/iAM574/a488_001.tif,/Volumes/projects/FRET-FISH/iAM574/a594_001.tif,/Volumes/projects/FRET-FISH/iAM574/a488fret_001.tif,738,279,26,734,284,27,4139,5408,7988,2
6,2,1,2,/Volumes/projects/FRET-FISH/iAM574/a488_002.tif,/Volumes/projects/FRET-FISH/iAM574/a594_002.tif,/Volumes/projects/FRET-FISH/iAM574/a488fret_002.tif,670,212,25,671,208,27,3380,10230,5575,1
6,2,1,2,/Volumes/projects/FRET-FISH/iAM574/a488_002.tif,/Volumes/projects/FRET-FISH/iAM574/a594_002.tif,/Volumes/projects/FRET-FISH/iAM574/a488fret_002.tif,655,122,31,652,118,29,2806,4586,9523,2
10,2,5,2,/Volumes/projects/FRET-FISH/iAM574/a488_002.tif,/Volumes/projects/FRET-FISH/iAM574/a594_002.tif,/Volumes/projects/FRET-FISH/iAM574/a488fret_002.tif,119,628,27,115,629,28,4465,10595,9521,1
10,2,5,2,/Volumes/projects/FRET-FISH/iAM574/a488_002.tif,/Volumes/projects/FRET-FISH/iAM574/a594_002.tif,/Volumes/projects/FRET-FISH/iAM574/a488fret_002.tif,183,631,34,183,632,37,7894,4693,6898,2
11,2,6,2,/Volumes/projects/FRET-FISH/iAM574/a488_002.tif,/Volumes/projects/FRET-FISH/iAM574/a594_002.tif,/Volumes/projects/FRET-FISH/iAM574/a488fret_002.tif,748,924,26,746,928,24,2856,4594,7275,1
11,2,6,2,/Volumes/projects/FRET-FISH/iAM574/a488_002.tif,/Volumes/projects/FRET-FISH/iAM574/a594_002.tif,/Volumes/projects/FRET-FISH/iAM574/a488fret_002.tif,693,838,25,689,843,26,2815,3195,5527,2
13,3,2,2,/Volumes/projects/FRET-FISH/iAM574/a488_003.tif,/Volumes/projects/FRET-FISH/iAM574/a594_003.tif,/Volumes/projects/FRET-FISH/iAM574/a488fret_003.tif,126,377,24,122,376,25,3858,11465,11747,1
13,3,2,2,/Volumes/projects/FRET-FISH/iAM574/a488_003.tif,/Volumes/projects/FRET-FISH/iAM574/a594_003.tif,/Volumes/projects/FRET-FISH/iAM574/a488fret_003.tif,109,281,30,106,283,28,2833,4553,9018,2
14,3,3,2,/Volumes/projects/FRET-FISH/iAM574/a488_003.tif,/Volumes/projects/FRET-FISH/iAM574/a594_003.tif,/Volumes/projects/FRET-FISH/iAM574/a488fret_003.tif,476,370,21,479,364,21,3647,4866,5416,1
14,3,3,2,/Volumes/projects/FRET-FISH/iAM574/a488_003.tif,/Volumes/projects/FRET-FISH/iAM574/a594_003.tif,/Volumes/projects/FRET-FISH/iAM574/a488fret_003.tif,464,409,26,463,414,28,3965,5399,6014,2
16,3,5,2,/Volumes/projects/FRET-FISH/iAM574/a488_003.tif,/Volumes/projects/FRET-FISH/iAM574/a594_003.tif,/Volumes/projects/FRET-FISH/iAM574/a488fret_003.tif,722,688,26,717,689,24,3205,4900,13793,1
16,3,5,2,/Volumes/projects/FRET-FISH/iAM574/a488_003.tif,/Volumes/projects/FRET-FISH/iAM574/a594_003.tif,/Volumes/projects/FRET-FISH/iAM574/a488fret_003.tif,726,709,26,726,709,29,3206,4903,6344,2
18,3,7,2,/Volumes/projects/FRET-FISH/iAM574/a488_003.tif,/Volumes/projects/FRET-FISH/iAM574/a594_003.tif,/Volumes/projects/FRET-FISH/iAM574/a488fret_003.tif,708,823,34,706,829,35,2989,4868,5489,1
