nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair,dlamin_A,dlamin_D
16,1,16,2,/Volumes/projects/FRET-FISH/iAM592/a488_001.tif,/Volumes/projects/FRET-FISH/iAM592/a594_001.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_001.tif,484,926,34,487,922,36,2384,3634,4041,1,36.7151184082031,36.7151184082031
16,1,16,2,/Volumes/projects/FRET-FISH/iAM592/a488_001.tif,/Volumes/projects/FRET-FISH/iAM592/a594_001.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_001.tif,510,917,33,511,917,30,2329,4510,9751,2,29.5296459197998,29.5296459197998
17,1,17,2,/Volumes/projects/FRET-FISH/iAM592/a488_001.tif,/Volumes/projects/FRET-FISH/iAM592/a594_001.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_001.tif,941,982,24,941,985,26,2273,7123,8794,1,25.2388591766357,25.2388591766357
17,1,17,2,/Volumes/projects/FRET-FISH/iAM592/a488_001.tif,/Volumes/projects/FRET-FISH/iAM592/a594_001.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_001.tif,932,963,21,936,960,23,2077,2237,4133,2,38.3275375366211,38.3275375366211
20,2,3,2,/Volumes/projects/FRET-FISH/iAM592/a488_002.tif,/Volumes/projects/FRET-FISH/iAM592/a594_002.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_002.tif,341,452,27,337,453,26,3212,11708,12438,1,3.60555124282837,3.60555124282837
20,2,3,2,/Volumes/projects/FRET-FISH/iAM592/a488_002.tif,/Volumes/projects/FRET-FISH/iAM592/a594_002.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_002.tif,380,519,26,376,522,28,2468,6587,13374,2,1,1
21,2,4,2,/Volumes/projects/FRET-FISH/iAM592/a488_002.tif,/Volumes/projects/FRET-FISH/iAM592/a594_002.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_002.tif,511,504,28,508,507,26,2227,2416,7571,1,14.1421356201172,14.1421356201172
21,2,4,2,/Volumes/projects/FRET-FISH/iAM592/a488_002.tif,/Volumes/projects/FRET-FISH/iAM592/a594_002.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_002.tif,543,503,32,549,500,32,2370,2404,5842,2,10.4403066635132,10.4403066635132
22,2,5,2,/Volumes/projects/FRET-FISH/iAM592/a488_002.tif,/Volumes/projects/FRET-FISH/iAM592/a594_002.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_002.tif,757,587,30,757,589,28,2225,3212,11893,1,25.2388591766357,25.2388591766357
22,2,5,2,/Volumes/projects/FRET-FISH/iAM592/a488_002.tif,/Volumes/projects/FRET-FISH/iAM592/a594_002.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_002.tif,824,581,28,821,577,26,2129,3116,3448,2,15.2643375396729,15.2643375396729
25,2,8,2,/Volumes/projects/FRET-FISH/iAM592/a488_002.tif,/Volumes/projects/FRET-FISH/iAM592/a594_002.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_002.tif,733,850,25,729,848,23,4859,5762,3371,1,16.2788200378418,16.2788200378418
