nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair
1,1,1,2,/Volumes/projects/FRET-FISH/iAM600/a488_001.tif,/Volumes/projects/FRET-FISH/iAM600/a594_001.tif,/Volumes/projects/FRET-FISH/iAM600/a488fret_001.tif,520,85,26,517,88,24,2252,3838,35868,1
1,1,1,2,/Volumes/projects/FRET-FISH/iAM600/a488_001.tif,/Volumes/projects/FRET-FISH/iAM600/a594_001.tif,/Volumes/projects/FRET-FISH/iAM600/a488fret_001.tif,608,80,27,604,85,28,1896,2414,4308,2
2,1,2,2,/Volumes/projects/FRET-FISH/iAM600/a488_001.tif,/Volumes/projects/FRET-FISH/iAM600/a594_001.tif,/Volumes/projects/FRET-FISH/iAM600/a488fret_001.tif,648,175,32,649,172,30,2550,3372,18097,1
2,1,2,2,/Volumes/projects/FRET-FISH/iAM600/a488_001.tif,/Volumes/projects/FRET-FISH/iAM600/a594_001.tif,/Volumes/projects/FRET-FISH/iAM600/a488fret_001.tif,637,209,30,632,210,28,2186,2954,18287,2
3,1,3,2,/Volumes/projects/FRET-FISH/iAM600/a488_001.tif,/Volumes/projects/FRET-FISH/iAM600/a594_001.tif,/Volumes/projects/FRET-FISH/iAM600/a488fret_001.tif,914,331,25,918,332,23,3121,14737,5381,1
3,1,3,2,/Volumes/projects/FRET-FISH/iAM600/a488_001.tif,/Volumes/projects/FRET-FISH/iAM600/a594_001.tif,/Volumes/projects/FRET-FISH/iAM600/a488fret_001.tif,948,338,23,953,341,24,1967,3087,28948,2
4,1,4,2,/Volumes/projects/FRET-FISH/iAM600/a488_001.tif,/Volumes/projects/FRET-FISH/iAM600/a594_001.tif,/Volumes/projects/FRET-FISH/iAM600/a488fret_001.tif,261,313,32,259,315,30,1857,3059,9689,1
4,1,4,2,/Volumes/projects/FRET-FISH/iAM600/a488_001.tif,/Volumes/projects/FRET-FISH/iAM600/a594_001.tif,/Volumes/projects/FRET-FISH/iAM600/a488fret_001.tif,380,334,25,380,333,28,1896,2309,4584,2
5,1,5,2,/Volumes/projects/FRET-FISH/iAM600/a488_001.tif,/Volumes/projects/FRET-FISH/iAM600/a594_001.tif,/Volumes/projects/FRET-FISH/iAM600/a488fret_001.tif,595,310,27,594,313,29,3049,12716,14140,1
5,1,5,2,/Volumes/projects/FRET-FISH/iAM600/a488_001.tif,/Volumes/projects/FRET-FISH/iAM600/a594_001.tif,/Volumes/projects/FRET-FISH/iAM600/a488fret_001.tif,599,322,35,600,326,37,2148,2623,8400,2
8,1,8,2,/Volumes/projects/FRET-FISH/iAM600/a488_001.tif,/Volumes/projects/FRET-FISH/iAM600/a594_001.tif,/Volumes/projects/FRET-FISH/iAM600/a488fret_001.tif,113,737,28,109,734,26,2335,4025,16371,1
8,1,8,2,/Volumes/projects/FRET-FISH/iAM600/a488_001.tif,/Volumes/projects/FRET-FISH/iAM600/a594_001.tif,/Volumes/projects/FRET-FISH/iAM600/a488fret_001.tif,115,691,36,116,691,33,2158,2694,11127,2
9,1,9,2,/Volumes/projects/FRET-FISH/iAM600/a488_001.tif,/Volumes/projects/FRET-FISH/iAM600/a594_001.tif,/Volumes/projects/FRET-FISH/iAM600/a488fret_001.tif,952,703,35,949,705,33,2141,3370,20714,1
9,1,9,2,/Volumes/projects/FRET-FISH/iAM600/a488_001.tif,/Volumes/projects/FRET-FISH/iAM600/a594_001.tif,/Volumes/projects/FRET-FISH/iAM600/a488fret_001.tif,960,767,28,956,769,26,2399,7901,11855,2
14,2,3,2,/Volumes/projects/FRET-FISH/iAM600/a488_002.tif,/Volumes/projects/FRET-FISH/iAM600/a594_002.tif,/Volumes/projects/FRET-FISH/iAM600/a488fret_002.tif,693,408,23,698,404,24,2659,7822,11253,1
14,2,3,2,/Volumes/projects/FRET-FISH/iAM600/a488_002.tif,/Volumes/projects/FRET-FISH/iAM600/a594_002.tif,/Volumes/projects/FRET-FISH/iAM600/a488fret_002.tif,686,388,32,685,393,30,2349,5449,11022,2
15,2,4,2,/Volumes/projects/FRET-FISH/iAM600/a488_002.tif,/Volumes/projects/FRET-FISH/iAM600/a594_002.tif,/Volumes/projects/FRET-FISH/iAM600/a488fret_002.tif,539,459,28,535,462,26,2321,3842,13357,1
15,2,4,2,/Volumes/projects/FRET-FISH/iAM600/a488_002.tif,/Volumes/projects/FRET-FISH/iAM600/a594_002.tif,/Volumes/projects/FRET-FISH/iAM600/a488fret_002.tif,526,425,33,531,426,31,2846,8782,5002,2
16,2,5,2,/Volumes/projects/FRET-FISH/iAM600/a488_002.tif,/Volumes/projects/FRET-FISH/iAM600/a594_002.tif,/Volumes/projects/FRET-FISH/iAM600/a488fret_002.tif,24,470,28,25,465,30,1809,2482,3954,1
16,2,5,2,/Volumes/projects/FRET-FISH/iAM600/a488_002.tif,/Volumes/projects/FRET-FISH/iAM600/a594_002.tif,/Volumes/projects/FRET-FISH/iAM600/a488fret_002.tif,87,499,34,88,499,31,2168,2735,11542,2
19,2,8,2,/Volumes/projects/FRET-FISH/iAM600/a488_002.tif,/Volumes/projects/FRET-FISH/iAM600/a594_002.tif,/Volumes/projects/FRET-FISH/iAM600/a488fret_002.tif,661,758,24,659,759,24,3529,14097,17115,1
19,2,8,2,/Volumes/projects/FRET-FISH/iAM600/a488_002.tif,/Volumes/projects/FRET-FISH/iAM600/a594_002.tif,/Volumes/projects/FRET-FISH/iAM600/a488fret_002.tif,637,703,24,632,699,24,2633,3762,9949,2
