nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair
6,1,6,2,/Users/anamota/Desktop/iAM690/a488_001.tif,/Users/anamota/Desktop/iAM690/a594_001.tif,/Users/anamota/Desktop/iAM690/a488fret_001.tif,230,352,27,228,350,29,3129,8212,5560,1
6,1,6,2,/Users/anamota/Desktop/iAM690/a488_001.tif,/Users/anamota/Desktop/iAM690/a594_001.tif,/Users/anamota/Desktop/iAM690/a488fret_001.tif,256,361,31,253,357,30,3005,7418,10152,2
7,1,7,2,/Users/anamota/Desktop/iAM690/a488_001.tif,/Users/anamota/Desktop/iAM690/a594_001.tif,/Users/anamota/Desktop/iAM690/a488fret_001.tif,671,394,31,672,393,29,2760,7436,11780,1
7,1,7,2,/Users/anamota/Desktop/iAM690/a488_001.tif,/Users/anamota/Desktop/iAM690/a594_001.tif,/Users/anamota/Desktop/iAM690/a488fret_001.tif,637,408,36,635,403,36,2727,7213,10766,2
8,1,8,2,/Users/anamota/Desktop/iAM690/a488_001.tif,/Users/anamota/Desktop/iAM690/a594_001.tif,/Users/anamota/Desktop/iAM690/a488fret_001.tif,942,424,30,941,423,31,3558,16753,18050,1
8,1,8,2,/Users/anamota/Desktop/iAM690/a488_001.tif,/Users/anamota/Desktop/iAM690/a594_001.tif,/Users/anamota/Desktop/iAM690/a488fret_001.tif,939,447,23,935,447,25,2546,6608,4452,2
10,1,10,2,/Users/anamota/Desktop/iAM690/a488_001.tif,/Users/anamota/Desktop/iAM690/a594_001.tif,/Users/anamota/Desktop/iAM690/a488fret_001.tif,745,584,26,748,588,28,2196,5352,16450,1
10,1,10,2,/Users/anamota/Desktop/iAM690/a488_001.tif,/Users/anamota/Desktop/iAM690/a594_001.tif,/Users/anamota/Desktop/iAM690/a488fret_001.tif,750,609,21,751,609,24,2496,5326,4132,2
11,1,11,2,/Users/anamota/Desktop/iAM690/a488_001.tif,/Users/anamota/Desktop/iAM690/a594_001.tif,/Users/anamota/Desktop/iAM690/a488fret_001.tif,237,601,29,232,604,28,4400,16102,7678,1
11,1,11,2,/Users/anamota/Desktop/iAM690/a488_001.tif,/Users/anamota/Desktop/iAM690/a594_001.tif,/Users/anamota/Desktop/iAM690/a488fret_001.tif,216,611,33,210,611,32,3403,6383,6298,2
12,1,12,2,/Users/anamota/Desktop/iAM690/a488_001.tif,/Users/anamota/Desktop/iAM690/a594_001.tif,/Users/anamota/Desktop/iAM690/a488fret_001.tif,48,678,33,43,679,34,3011,7503,7684,1
12,1,12,2,/Users/anamota/Desktop/iAM690/a488_001.tif,/Users/anamota/Desktop/iAM690/a594_001.tif,/Users/anamota/Desktop/iAM690/a488fret_001.tif,42,707,30,41,707,33,2927,8078,4525,2
13,1,13,2,/Users/anamota/Desktop/iAM690/a488_001.tif,/Users/anamota/Desktop/iAM690/a594_001.tif,/Users/anamota/Desktop/iAM690/a488fret_001.tif,275,799,31,272,800,32,4441,15000,15182,1
13,1,13,2,/Users/anamota/Desktop/iAM690/a488_001.tif,/Users/anamota/Desktop/iAM690/a594_001.tif,/Users/anamota/Desktop/iAM690/a488fret_001.tif,283,768,32,283,775,32,2880,4827,6550,2
14,1,14,2,/Users/anamota/Desktop/iAM690/a488_001.tif,/Users/anamota/Desktop/iAM690/a594_001.tif,/Users/anamota/Desktop/iAM690/a488fret_001.tif,97,939,32,93,940,33,2722,8653,7176,1
14,1,14,2,/Users/anamota/Desktop/iAM690/a488_001.tif,/Users/anamota/Desktop/iAM690/a594_001.tif,/Users/anamota/Desktop/iAM690/a488fret_001.tif,131,930,32,127,931,33,2925,7796,7385,2
36,3,3,2,/Users/anamota/Desktop/iAM690/a488_003.tif,/Users/anamota/Desktop/iAM690/a594_003.tif,/Users/anamota/Desktop/iAM690/a488fret_003.tif,193,226,35,190,225,36,3027,8291,6737,1
36,3,3,2,/Users/anamota/Desktop/iAM690/a488_003.tif,/Users/anamota/Desktop/iAM690/a594_003.tif,/Users/anamota/Desktop/iAM690/a488fret_003.tif,198,259,31,199,262,33,3248,8707,6734,2
37,3,4,2,/Users/anamota/Desktop/iAM690/a488_003.tif,/Users/anamota/Desktop/iAM690/a594_003.tif,/Users/anamota/Desktop/iAM690/a488fret_003.tif,376,268,38,373,267,40,3315,8729,11411,1
37,3,4,2,/Users/anamota/Desktop/iAM690/a488_003.tif,/Users/anamota/Desktop/iAM690/a594_003.tif,/Users/anamota/Desktop/iAM690/a488fret_003.tif,349,280,22,352,285,21,3031,3911,3855,2
38,3,5,2,/Users/anamota/Desktop/iAM690/a488_003.tif,/Users/anamota/Desktop/iAM690/a594_003.tif,/Users/anamota/Desktop/iAM690/a488fret_003.tif,800,271,27,797,273,25,2272,2230,11176,1
38,3,5,2,/Users/anamota/Desktop/iAM690/a488_003.tif,/Users/anamota/Desktop/iAM690/a594_003.tif,/Users/anamota/Desktop/iAM690/a488fret_003.tif,779,291,21,775,290,23,3148,10235,4431,2
39,3,6,2,/Users/anamota/Desktop/iAM690/a488_003.tif,/Users/anamota/Desktop/iAM690/a594_003.tif,/Users/anamota/Desktop/iAM690/a488fret_003.tif,284,368,32,280,368,33,3778,13296,12706,1
39,3,6,2,/Users/anamota/Desktop/iAM690/a488_003.tif,/Users/anamota/Desktop/iAM690/a594_003.tif,/Users/anamota/Desktop/iAM690/a488fret_003.tif,307,428,30,302,429,28,2248,3404,13265,2
40,3,7,2,/Users/anamota/Desktop/iAM690/a488_003.tif,/Users/anamota/Desktop/iAM690/a594_003.tif,/Users/anamota/Desktop/iAM690/a488fret_003.tif,637,422,36,633,420,34,2085,3349,9532,1
40,3,7,2,/Users/anamota/Desktop/iAM690/a488_003.tif,/Users/anamota/Desktop/iAM690/a594_003.tif,/Users/anamota/Desktop/iAM690/a488fret_003.tif,669,519,31,669,524,33,2391,4226,3687,2
41,3,8,2,/Users/anamota/Desktop/iAM690/a488_003.tif,/Users/anamota/Desktop/iAM690/a594_003.tif,/Users/anamota/Desktop/iAM690/a488fret_003.tif,94,543,29,92,540,27,2843,7367,10106,1
