nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair
4,1,4,2,/Users/anamota/Desktop/iAM698/a488_001.tif,/Users/anamota/Desktop/iAM698/a594_001.tif,/Users/anamota/Desktop/iAM698/a488fret_001.tif,263,425,18,260,423,19,3467,6719,10871,1
4,1,4,2,/Users/anamota/Desktop/iAM698/a488_001.tif,/Users/anamota/Desktop/iAM698/a594_001.tif,/Users/anamota/Desktop/iAM698/a488fret_001.tif,378,387,13,374,382,14,3525,13593,15178,2
8,1,8,2,/Users/anamota/Desktop/iAM698/a488_001.tif,/Users/anamota/Desktop/iAM698/a594_001.tif,/Users/anamota/Desktop/iAM698/a488fret_001.tif,157,756,14,154,757,14,2931,7603,13226,1
8,1,8,2,/Users/anamota/Desktop/iAM698/a488_001.tif,/Users/anamota/Desktop/iAM698/a594_001.tif,/Users/anamota/Desktop/iAM698/a488fret_001.tif,53,784,16,48,787,16,3678,7773,11729,2
10,2,1,2,/Users/anamota/Desktop/iAM698/a488_002.tif,/Users/anamota/Desktop/iAM698/a594_002.tif,/Users/anamota/Desktop/iAM698/a488fret_002.tif,634,175,18,631,173,19,3219,7308,17195,1
10,2,1,2,/Users/anamota/Desktop/iAM698/a488_002.tif,/Users/anamota/Desktop/iAM698/a594_002.tif,/Users/anamota/Desktop/iAM698/a488fret_002.tif,628,138,19,628,139,17,2966,8325,7947,2
12,2,3,2,/Users/anamota/Desktop/iAM698/a488_002.tif,/Users/anamota/Desktop/iAM698/a594_002.tif,/Users/anamota/Desktop/iAM698/a488fret_002.tif,855,335,21,856,335,19,2518,4075,30964,1
12,2,3,2,/Users/anamota/Desktop/iAM698/a488_002.tif,/Users/anamota/Desktop/iAM698/a594_002.tif,/Users/anamota/Desktop/iAM698/a488fret_002.tif,898,272,22,893,270,23,2670,4414,17173,2
13,2,4,2,/Users/anamota/Desktop/iAM698/a488_002.tif,/Users/anamota/Desktop/iAM698/a594_002.tif,/Users/anamota/Desktop/iAM698/a488fret_002.tif,202,489,19,205,489,17,2828,6160,8465,1
13,2,4,2,/Users/anamota/Desktop/iAM698/a488_002.tif,/Users/anamota/Desktop/iAM698/a594_002.tif,/Users/anamota/Desktop/iAM698/a488fret_002.tif,119,363,23,119,363,20,2380,2147,8875,2
16,2,7,2,/Users/anamota/Desktop/iAM698/a488_002.tif,/Users/anamota/Desktop/iAM698/a594_002.tif,/Users/anamota/Desktop/iAM698/a488fret_002.tif,529,713,20,531,710,18,2526,4072,10395,1
16,2,7,2,/Users/anamota/Desktop/iAM698/a488_002.tif,/Users/anamota/Desktop/iAM698/a594_002.tif,/Users/anamota/Desktop/iAM698/a488fret_002.tif,518,778,21,516,782,19,2756,5458,33243,2
18,3,1,2,/Users/anamota/Desktop/iAM698/a488_003.tif,/Users/anamota/Desktop/iAM698/a594_003.tif,/Users/anamota/Desktop/iAM698/a488fret_003.tif,531,162,20,528,158,18,2385,2707,13408,1
18,3,1,2,/Users/anamota/Desktop/iAM698/a488_003.tif,/Users/anamota/Desktop/iAM698/a594_003.tif,/Users/anamota/Desktop/iAM698/a488fret_003.tif,613,121,23,609,124,21,2429,2041,13228,2
22,3,5,2,/Users/anamota/Desktop/iAM698/a488_003.tif,/Users/anamota/Desktop/iAM698/a594_003.tif,/Users/anamota/Desktop/iAM698/a488fret_003.tif,806,688,20,804,685,18,2021,2221,17429,1
22,3,5,2,/Users/anamota/Desktop/iAM698/a488_003.tif,/Users/anamota/Desktop/iAM698/a594_003.tif,/Users/anamota/Desktop/iAM698/a488fret_003.tif,792,606,25,793,606,22,2685,3589,14125,2
29,4,5,2,/Users/anamota/Desktop/iAM698/a488_004.tif,/Users/anamota/Desktop/iAM698/a594_004.tif,/Users/anamota/Desktop/iAM698/a488fret_004.tif,441,725,17,438,726,18,3540,10689,16709,1
29,4,5,2,/Users/anamota/Desktop/iAM698/a488_004.tif,/Users/anamota/Desktop/iAM698/a594_004.tif,/Users/anamota/Desktop/iAM698/a488fret_004.tif,447,704,18,443,707,16,2467,2336,16798,2
36,5,5,2,/Users/anamota/Desktop/iAM698/a488_005.tif,/Users/anamota/Desktop/iAM698/a594_005.tif,/Users/anamota/Desktop/iAM698/a488fret_005.tif,653,725,19,651,726,19,3799,12974,25928,1
36,5,5,2,/Users/anamota/Desktop/iAM698/a488_005.tif,/Users/anamota/Desktop/iAM698/a594_005.tif,/Users/anamota/Desktop/iAM698/a488fret_005.tif,710,690,16,715,694,17,2835,6696,9751,2
37,5,6,2,/Users/anamota/Desktop/iAM698/a488_005.tif,/Users/anamota/Desktop/iAM698/a594_005.tif,/Users/anamota/Desktop/iAM698/a488fret_005.tif,251,829,29,252,829,26,2590,2973,19942,1
37,5,6,2,/Users/anamota/Desktop/iAM698/a488_005.tif,/Users/anamota/Desktop/iAM698/a594_005.tif,/Users/anamota/Desktop/iAM698/a488fret_005.tif,287,822,24,288,822,21,2775,2882,19020,2
40,6,3,2,/Users/anamota/Desktop/iAM698/a488_006.tif,/Users/anamota/Desktop/iAM698/a594_006.tif,/Users/anamota/Desktop/iAM698/a488fret_006.tif,785,491,22,781,494,20,2398,2576,23396,1
40,6,3,2,/Users/anamota/Desktop/iAM698/a488_006.tif,/Users/anamota/Desktop/iAM698/a594_006.tif,/Users/anamota/Desktop/iAM698/a488fret_006.tif,777,558,20,776,553,18,3192,8964,7962,2
43,6,6,2,/Users/anamota/Desktop/iAM698/a488_006.tif,/Users/anamota/Desktop/iAM698/a594_006.tif,/Users/anamota/Desktop/iAM698/a488fret_006.tif,466,715,24,460,713,23,2126,1715,4340,1
43,6,6,2,/Users/anamota/Desktop/iAM698/a488_006.tif,/Users/anamota/Desktop/iAM698/a594_006.tif,/Users/anamota/Desktop/iAM698/a488fret_006.tif,444,818,18,444,825,18,2361,2703,10052,2
45,7,2,2,/Users/anamota/Desktop/iAM698/a488_007.tif,/Users/anamota/Desktop/iAM698/a594_007.tif,/Users/anamota/Desktop/iAM698/a488fret_007.tif,421,322,19,421,326,17,3014,2370,23422,1
45,7,2,2,/Users/anamota/Desktop/iAM698/a488_007.tif,/Users/anamota/Desktop/iAM698/a594_007.tif,/Users/anamota/Desktop/iAM698/a488fret_007.tif,483,370,18,477,372,17,3073,5908,9566,2
48,7,5,2,/Users/anamota/Desktop/iAM698/a488_007.tif,/Users/anamota/Desktop/iAM698/a594_007.tif,/Users/anamota/Desktop/iAM698/a488fret_007.tif,288,634,21,287,629,19,3275,2389,14412,1
48,7,5,2,/Users/anamota/Desktop/iAM698/a488_007.tif,/Users/anamota/Desktop/iAM698/a594_007.tif,/Users/anamota/Desktop/iAM698/a488fret_007.tif,315,546,20,316,546,17,2677,2930,19812,2
49,7,6,2,/Users/anamota/Desktop/iAM698/a488_007.tif,/Users/anamota/Desktop/iAM698/a594_007.tif,/Users/anamota/Desktop/iAM698/a488fret_007.tif,167,816,18,163,817,19,3178,6861,12868,1
49,7,6,2,/Users/anamota/Desktop/iAM698/a488_007.tif,/Users/anamota/Desktop/iAM698/a594_007.tif,/Users/anamota/Desktop/iAM698/a488fret_007.tif,244,802,14,244,796,15,2554,1782,4098,2
51,8,1,2,/Users/anamota/Desktop/iAM698/a488_008.tif,/Users/anamota/Desktop/iAM698/a594_008.tif,/Users/anamota/Desktop/iAM698/a488fret_008.tif,298,141,24,294,143,22,2739,3661,10906,1
51,8,1,2,/Users/anamota/Desktop/iAM698/a488_008.tif,/Users/anamota/Desktop/iAM698/a594_008.tif,/Users/anamota/Desktop/iAM698/a488fret_008.tif,337,143,26,334,139,24,3057,3324,10277,2
54,8,4,2,/Users/anamota/Desktop/iAM698/a488_008.tif,/Users/anamota/Desktop/iAM698/a594_008.tif,/Users/anamota/Desktop/iAM698/a488fret_008.tif,602,727,23,604,730,21,2929,6832,25064,1
54,8,4,2,/Users/anamota/Desktop/iAM698/a488_008.tif,/Users/anamota/Desktop/iAM698/a594_008.tif,/Users/anamota/Desktop/iAM698/a488fret_008.tif,656,792,22,652,795,20,2318,2565,8472,2
57,9,2,2,/Users/anamota/Desktop/iAM698/a488_009.tif,/Users/anamota/Desktop/iAM698/a594_009.tif,/Users/anamota/Desktop/iAM698/a488fret_009.tif,161,431,23,165,435,22,3287,6836,6387,1
57,9,2,2,/Users/anamota/Desktop/iAM698/a488_009.tif,/Users/anamota/Desktop/iAM698/a594_009.tif,/Users/anamota/Desktop/iAM698/a488fret_009.tif,161,370,21,162,366,23,2965,5514,8150,2
