nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair
1,1,1,2,/Volumes/projects/FRET-FISH/iAM620/a488_001.tif,/Volumes/projects/FRET-FISH/iAM620/a594_001.tif,/Volumes/projects/FRET-FISH/iAM620/a488fret_001.tif,363,156,15,357,154,14,2059,1521,4017,1
1,1,1,2,/Volumes/projects/FRET-FISH/iAM620/a488_001.tif,/Volumes/projects/FRET-FISH/iAM620/a594_001.tif,/Volumes/projects/FRET-FISH/iAM620/a488fret_001.tif,420,139,10,416,142,12,1989,1464,3552,2
2,1,2,2,/Volumes/projects/FRET-FISH/iAM620/a488_001.tif,/Volumes/projects/FRET-FISH/iAM620/a594_001.tif,/Volumes/projects/FRET-FISH/iAM620/a488fret_001.tif,716,278,7,721,278,9,2118,1500,16251,1
2,1,2,2,/Volumes/projects/FRET-FISH/iAM620/a488_001.tif,/Volumes/projects/FRET-FISH/iAM620/a594_001.tif,/Volumes/projects/FRET-FISH/iAM620/a488fret_001.tif,747,258,16,743,253,15,2156,1448,4120,2
3,1,3,2,/Volumes/projects/FRET-FISH/iAM620/a488_001.tif,/Volumes/projects/FRET-FISH/iAM620/a594_001.tif,/Volumes/projects/FRET-FISH/iAM620/a488fret_001.tif,788,380,18,794,381,17,2508,3085,9280,1
3,1,3,2,/Volumes/projects/FRET-FISH/iAM620/a488_001.tif,/Volumes/projects/FRET-FISH/iAM620/a594_001.tif,/Volumes/projects/FRET-FISH/iAM620/a488fret_001.tif,805,330,12,811,332,11,2552,1576,4204,2
4,1,4,2,/Volumes/projects/FRET-FISH/iAM620/a488_001.tif,/Volumes/projects/FRET-FISH/iAM620/a594_001.tif,/Volumes/projects/FRET-FISH/iAM620/a488fret_001.tif,133,437,16,130,440,14,2712,3656,12958,1
4,1,4,2,/Volumes/projects/FRET-FISH/iAM620/a488_001.tif,/Volumes/projects/FRET-FISH/iAM620/a594_001.tif,/Volumes/projects/FRET-FISH/iAM620/a488fret_001.tif,165,411,7,160,415,7,2326,1830,4076,2
6,1,6,2,/Volumes/projects/FRET-FISH/iAM620/a488_001.tif,/Volumes/projects/FRET-FISH/iAM620/a594_001.tif,/Volumes/projects/FRET-FISH/iAM620/a488fret_001.tif,512,473,8,514,467,9,2244,1684,4009,1
6,1,6,2,/Volumes/projects/FRET-FISH/iAM620/a488_001.tif,/Volumes/projects/FRET-FISH/iAM620/a594_001.tif,/Volumes/projects/FRET-FISH/iAM620/a488fret_001.tif,524,516,13,520,519,11,2817,3247,20839,2
7,1,7,2,/Volumes/projects/FRET-FISH/iAM620/a488_001.tif,/Volumes/projects/FRET-FISH/iAM620/a594_001.tif,/Volumes/projects/FRET-FISH/iAM620/a488fret_001.tif,355,892,12,351,890,10,2782,4019,11639,1
7,1,7,2,/Volumes/projects/FRET-FISH/iAM620/a488_001.tif,/Volumes/projects/FRET-FISH/iAM620/a594_001.tif,/Volumes/projects/FRET-FISH/iAM620/a488fret_001.tif,338,834,10,339,839,8,2063,1421,3601,2
