nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair
1,1,1,2,/Volumes/projects/FRET-FISH/iAM603/a488_001.tif,/Volumes/projects/FRET-FISH/iAM603/a594_001.tif,/Volumes/projects/FRET-FISH/iAM603/a488fret_001.tif,672,197,12,671,197,15,2866,3222,4435,1
1,1,1,2,/Volumes/projects/FRET-FISH/iAM603/a488_001.tif,/Volumes/projects/FRET-FISH/iAM603/a594_001.tif,/Volumes/projects/FRET-FISH/iAM603/a488fret_001.tif,672,191,24,665,191,24,2819,2555,3909,2
2,1,2,2,/Volumes/projects/FRET-FISH/iAM603/a488_001.tif,/Volumes/projects/FRET-FISH/iAM603/a594_001.tif,/Volumes/projects/FRET-FISH/iAM603/a488fret_001.tif,398,204,19,395,202,21,2707,4643,4422,1
2,1,2,2,/Volumes/projects/FRET-FISH/iAM603/a488_001.tif,/Volumes/projects/FRET-FISH/iAM603/a594_001.tif,/Volumes/projects/FRET-FISH/iAM603/a488fret_001.tif,427,210,20,424,213,18,2634,2577,6210,2
3,1,3,2,/Volumes/projects/FRET-FISH/iAM603/a488_001.tif,/Volumes/projects/FRET-FISH/iAM603/a594_001.tif,/Volumes/projects/FRET-FISH/iAM603/a488fret_001.tif,346,345,7,341,341,8,2854,3138,4035,1
3,1,3,2,/Volumes/projects/FRET-FISH/iAM603/a488_001.tif,/Volumes/projects/FRET-FISH/iAM603/a594_001.tif,/Volumes/projects/FRET-FISH/iAM603/a488fret_001.tif,350,285,14,350,284,17,2912,3147,4451,2
4,1,4,2,/Volumes/projects/FRET-FISH/iAM603/a488_001.tif,/Volumes/projects/FRET-FISH/iAM603/a594_001.tif,/Volumes/projects/FRET-FISH/iAM603/a488fret_001.tif,264,452,12,264,452,15,3472,6079,4404,1
4,1,4,2,/Volumes/projects/FRET-FISH/iAM603/a488_001.tif,/Volumes/projects/FRET-FISH/iAM603/a594_001.tif,/Volumes/projects/FRET-FISH/iAM603/a488fret_001.tif,328,457,9,328,456,12,3009,3067,4131,2
5,1,5,2,/Volumes/projects/FRET-FISH/iAM603/a488_001.tif,/Volumes/projects/FRET-FISH/iAM603/a594_001.tif,/Volumes/projects/FRET-FISH/iAM603/a488fret_001.tif,480,542,12,476,545,10,3226,3261,6218,1
5,1,5,2,/Volumes/projects/FRET-FISH/iAM603/a488_001.tif,/Volumes/projects/FRET-FISH/iAM603/a594_001.tif,/Volumes/projects/FRET-FISH/iAM603/a488fret_001.tif,542,525,10,546,522,8,2883,4106,3967,2
6,1,6,2,/Volumes/projects/FRET-FISH/iAM603/a488_001.tif,/Volumes/projects/FRET-FISH/iAM603/a594_001.tif,/Volumes/projects/FRET-FISH/iAM603/a488fret_001.tif,107,606,10,111,611,9,3217,3160,3807,1
6,1,6,2,/Volumes/projects/FRET-FISH/iAM603/a488_001.tif,/Volumes/projects/FRET-FISH/iAM603/a594_001.tif,/Volumes/projects/FRET-FISH/iAM603/a488fret_001.tif,170,602,10,171,597,12,3300,3015,3928,2
7,1,7,2,/Volumes/projects/FRET-FISH/iAM603/a488_001.tif,/Volumes/projects/FRET-FISH/iAM603/a594_001.tif,/Volumes/projects/FRET-FISH/iAM603/a488fret_001.tif,821,609,15,817,612,17,2364,2721,5792,1
7,1,7,2,/Volumes/projects/FRET-FISH/iAM603/a488_001.tif,/Volumes/projects/FRET-FISH/iAM603/a594_001.tif,/Volumes/projects/FRET-FISH/iAM603/a488fret_001.tif,785,623,12,782,627,10,2499,2751,4353,2
8,1,8,2,/Volumes/projects/FRET-FISH/iAM603/a488_001.tif,/Volumes/projects/FRET-FISH/iAM603/a594_001.tif,/Volumes/projects/FRET-FISH/iAM603/a488fret_001.tif,144,765,16,143,760,14,2528,2665,4558,1
8,1,8,2,/Volumes/projects/FRET-FISH/iAM603/a488_001.tif,/Volumes/projects/FRET-FISH/iAM603/a594_001.tif,/Volumes/projects/FRET-FISH/iAM603/a488fret_001.tif,90,773,14,97,773,14,2772,2956,3547,2
9,1,9,2,/Volumes/projects/FRET-FISH/iAM603/a488_001.tif,/Volumes/projects/FRET-FISH/iAM603/a594_001.tif,/Volumes/projects/FRET-FISH/iAM603/a488fret_001.tif,510,849,13,509,843,14,3064,4355,3539,1
9,1,9,2,/Volumes/projects/FRET-FISH/iAM603/a488_001.tif,/Volumes/projects/FRET-FISH/iAM603/a594_001.tif,/Volumes/projects/FRET-FISH/iAM603/a488fret_001.tif,483,837,8,480,841,10,2552,3035,4443,2
10,1,10,2,/Volumes/projects/FRET-FISH/iAM603/a488_001.tif,/Volumes/projects/FRET-FISH/iAM603/a594_001.tif,/Volumes/projects/FRET-FISH/iAM603/a488fret_001.tif,194,893,13,196,887,14,3018,3905,3585,1
10,1,10,2,/Volumes/projects/FRET-FISH/iAM603/a488_001.tif,/Volumes/projects/FRET-FISH/iAM603/a594_001.tif,/Volumes/projects/FRET-FISH/iAM603/a488fret_001.tif,166,899,14,166,899,17,2789,5712,3905,2
14,2,4,2,/Volumes/projects/FRET-FISH/iAM603/a488_002.tif,/Volumes/projects/FRET-FISH/iAM603/a594_002.tif,/Volumes/projects/FRET-FISH/iAM603/a488fret_002.tif,787,423,11,783,425,13,2408,3677,3948,1
14,2,4,2,/Volumes/projects/FRET-FISH/iAM603/a488_002.tif,/Volumes/projects/FRET-FISH/iAM603/a594_002.tif,/Volumes/projects/FRET-FISH/iAM603/a488fret_002.tif,807,496,18,803,493,16,2668,2832,6151,2
