nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair
2,1,2,2,/Users/anamota/Desktop/iAM723/a488_001.tif,/Users/anamota/Desktop/iAM723/a594_001.tif,/Users/anamota/Desktop/iAM723/a488fret_001.tif,331,317,18,332,319,16,2534,2851,8248,1
2,1,2,2,/Users/anamota/Desktop/iAM723/a488_001.tif,/Users/anamota/Desktop/iAM723/a594_001.tif,/Users/anamota/Desktop/iAM723/a488fret_001.tif,257,256,15,257,249,15,2901,3257,3932,2
3,1,3,2,/Users/anamota/Desktop/iAM723/a488_001.tif,/Users/anamota/Desktop/iAM723/a594_001.tif,/Users/anamota/Desktop/iAM723/a488fret_001.tif,974,704,19,973,699,17,2291,2785,9100,1
3,1,3,2,/Users/anamota/Desktop/iAM723/a488_001.tif,/Users/anamota/Desktop/iAM723/a594_001.tif,/Users/anamota/Desktop/iAM723/a488fret_001.tif,898,670,12,897,675,14,2348,6181,4681,2
4,1,4,2,/Users/anamota/Desktop/iAM723/a488_001.tif,/Users/anamota/Desktop/iAM723/a594_001.tif,/Users/anamota/Desktop/iAM723/a488fret_001.tif,604,762,14,605,768,13,2557,3327,9563,1
4,1,4,2,/Users/anamota/Desktop/iAM723/a488_001.tif,/Users/anamota/Desktop/iAM723/a594_001.tif,/Users/anamota/Desktop/iAM723/a488fret_001.tif,576,739,17,576,734,15,2540,2423,4252,2
10,3,1,2,/Users/anamota/Desktop/iAM723/a488_003.tif,/Users/anamota/Desktop/iAM723/a594_003.tif,/Users/anamota/Desktop/iAM723/a488fret_003.tif,657,357,20,657,352,18,2649,3077,15572,1
10,3,1,2,/Users/anamota/Desktop/iAM723/a488_003.tif,/Users/anamota/Desktop/iAM723/a594_003.tif,/Users/anamota/Desktop/iAM723/a488fret_003.tif,671,269,17,668,273,15,2447,2836,14136,2
14,4,2,2,/Users/anamota/Desktop/iAM723/a488_004.tif,/Users/anamota/Desktop/iAM723/a594_004.tif,/Users/anamota/Desktop/iAM723/a488fret_004.tif,664,442,15,660,439,13,2720,4014,23708,1
14,4,2,2,/Users/anamota/Desktop/iAM723/a488_004.tif,/Users/anamota/Desktop/iAM723/a594_004.tif,/Users/anamota/Desktop/iAM723/a488fret_004.tif,627,445,16,623,448,14,2760,4034,13607,2
15,4,3,2,/Users/anamota/Desktop/iAM723/a488_004.tif,/Users/anamota/Desktop/iAM723/a594_004.tif,/Users/anamota/Desktop/iAM723/a488fret_004.tif,952,485,16,954,485,14,2511,2731,10451,1
15,4,3,2,/Users/anamota/Desktop/iAM723/a488_004.tif,/Users/anamota/Desktop/iAM723/a594_004.tif,/Users/anamota/Desktop/iAM723/a488fret_004.tif,988,509,13,982,508,14,3565,10079,7532,2
17,5,1,2,/Users/anamota/Desktop/iAM723/a488_005.tif,/Users/anamota/Desktop/iAM723/a594_005.tif,/Users/anamota/Desktop/iAM723/a488fret_005.tif,579,344,16,582,340,17,3533,7593,10090,1
17,5,1,2,/Users/anamota/Desktop/iAM723/a488_005.tif,/Users/anamota/Desktop/iAM723/a594_005.tif,/Users/anamota/Desktop/iAM723/a488fret_005.tif,655,392,17,653,388,15,3450,9348,5371,2
18,5,2,2,/Users/anamota/Desktop/iAM723/a488_005.tif,/Users/anamota/Desktop/iAM723/a594_005.tif,/Users/anamota/Desktop/iAM723/a488fret_005.tif,285,569,22,285,571,20,4802,7142,8807,1
18,5,2,2,/Users/anamota/Desktop/iAM723/a488_005.tif,/Users/anamota/Desktop/iAM723/a594_005.tif,/Users/anamota/Desktop/iAM723/a488fret_005.tif,260,527,23,259,523,21,4951,11318,6076,2
