nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair
30,6,5,2,/Volumes/AM/iAM727/a488_006.tif,/Volumes/AM/iAM727/a594_006.tif,/Volumes/AM/iAM727/a488fret_006.tif,304,690,20,304,690,23,3337,9772,5500,2
33,7,2,2,/Volumes/AM/iAM727/a488_007.tif,/Volumes/AM/iAM727/a594_007.tif,/Volumes/AM/iAM727/a488fret_007.tif,923,218,20,925,214,18,2071,2782,15373,1
33,7,2,2,/Volumes/AM/iAM727/a488_007.tif,/Volumes/AM/iAM727/a594_007.tif,/Volumes/AM/iAM727/a488fret_007.tif,950,217,20,946,215,18,2054,1912,8668,2
34,7,3,2,/Volumes/AM/iAM727/a488_007.tif,/Volumes/AM/iAM727/a594_007.tif,/Volumes/AM/iAM727/a488fret_007.tif,409,461,15,406,462,16,4610,19312,16690,1
34,7,3,2,/Volumes/AM/iAM727/a488_007.tif,/Volumes/AM/iAM727/a594_007.tif,/Volumes/AM/iAM727/a488fret_007.tif,383,450,15,383,451,18,3265,7852,4352,2
36,7,5,2,/Volumes/AM/iAM727/a488_007.tif,/Volumes/AM/iAM727/a594_007.tif,/Volumes/AM/iAM727/a488fret_007.tif,103,661,23,98,660,25,2401,2283,3906,1
36,7,5,2,/Volumes/AM/iAM727/a488_007.tif,/Volumes/AM/iAM727/a594_007.tif,/Volumes/AM/iAM727/a488fret_007.tif,92,729,14,92,729,17,2900,7220,4314,2
37,7,6,2,/Volumes/AM/iAM727/a488_007.tif,/Volumes/AM/iAM727/a594_007.tif,/Volumes/AM/iAM727/a488fret_007.tif,231,769,18,228,770,19,4489,18113,18692,1
37,7,6,2,/Volumes/AM/iAM727/a488_007.tif,/Volumes/AM/iAM727/a594_007.tif,/Volumes/AM/iAM727/a488fret_007.tif,227,758,26,227,758,29,2492,2419,4018,2
40,8,3,2,/Volumes/AM/iAM727/a488_008.tif,/Volumes/AM/iAM727/a594_008.tif,/Volumes/AM/iAM727/a488fret_008.tif,659,408,20,664,410,19,2770,10122,5066,1
40,8,3,2,/Volumes/AM/iAM727/a488_008.tif,/Volumes/AM/iAM727/a594_008.tif,/Volumes/AM/iAM727/a488fret_008.tif,688,421,18,689,425,16,2387,2845,24971,2
41,8,4,2,/Volumes/AM/iAM727/a488_008.tif,/Volumes/AM/iAM727/a594_008.tif,/Volumes/AM/iAM727/a488fret_008.tif,279,470,13,277,472,15,4268,17958,19406,1
41,8,4,2,/Volumes/AM/iAM727/a488_008.tif,/Volumes/AM/iAM727/a594_008.tif,/Volumes/AM/iAM727/a488fret_008.tif,243,523,27,246,519,29,5138,2383,5186,2
45,9,2,2,/Volumes/AM/iAM727/a488_009.tif,/Volumes/AM/iAM727/a594_009.tif,/Volumes/AM/iAM727/a488fret_009.tif,667,376,21,666,376,22,4255,15810,17880,1
45,9,2,2,/Volumes/AM/iAM727/a488_009.tif,/Volumes/AM/iAM727/a594_009.tif,/Volumes/AM/iAM727/a488fret_009.tif,656,345,20,651,344,18,2704,3673,21465,2
47,9,4,2,/Volumes/AM/iAM727/a488_009.tif,/Volumes/AM/iAM727/a594_009.tif,/Volumes/AM/iAM727/a488fret_009.tif,673,746,24,674,749,22,2578,7430,14381,1
47,9,4,2,/Volumes/AM/iAM727/a488_009.tif,/Volumes/AM/iAM727/a594_009.tif,/Volumes/AM/iAM727/a488fret_009.tif,650,731,17,655,730,19,2399,2312,4660,2
51,10,4,2,/Volumes/AM/iAM727/a488_010.tif,/Volumes/AM/iAM727/a594_010.tif,/Volumes/AM/iAM727/a488fret_010.tif,781,689,26,779,686,24,2663,3252,13344,1
51,10,4,2,/Volumes/AM/iAM727/a488_010.tif,/Volumes/AM/iAM727/a594_010.tif,/Volumes/AM/iAM727/a488fret_010.tif,749,737,25,745,734,23,2171,2097,7902,2
53,11,1,2,/Volumes/AM/iAM727/a488_011.tif,/Volumes/AM/iAM727/a594_011.tif,/Volumes/AM/iAM727/a488fret_011.tif,316,233,24,313,236,22,2470,2312,7477,1
53,11,1,2,/Volumes/AM/iAM727/a488_011.tif,/Volumes/AM/iAM727/a594_011.tif,/Volumes/AM/iAM727/a488fret_011.tif,333,199,23,327,202,23,2406,3966,12240,2
60,12,2,2,/Volumes/AM/iAM727/a488_012.tif,/Volumes/AM/iAM727/a594_012.tif,/Volumes/AM/iAM727/a488fret_012.tif,167,162,21,163,161,22,2509,7677,9508,1
60,12,2,2,/Volumes/AM/iAM727/a488_012.tif,/Volumes/AM/iAM727/a594_012.tif,/Volumes/AM/iAM727/a488fret_012.tif,238,174,21,235,178,19,2191,2348,8196,2
61,12,3,2,/Volumes/AM/iAM727/a488_012.tif,/Volumes/AM/iAM727/a594_012.tif,/Volumes/AM/iAM727/a488fret_012.tif,698,624,23,694,622,24,2964,8363,13342,1
