nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair
1,1,1,2,/Users/anamota/Desktop/iAM658/a488_001.tif,/Users/anamota/Desktop/iAM658/a594_001.tif,/Users/anamota/Desktop/iAM658/a488fret_001.tif,248,118,20,249,116,18,2439,1068,5430,1
1,1,1,2,/Users/anamota/Desktop/iAM658/a488_001.tif,/Users/anamota/Desktop/iAM658/a594_001.tif,/Users/anamota/Desktop/iAM658/a488fret_001.tif,252,81,23,249,81,25,2809,2907,11185,2
2,1,2,2,/Users/anamota/Desktop/iAM658/a488_001.tif,/Users/anamota/Desktop/iAM658/a594_001.tif,/Users/anamota/Desktop/iAM658/a488fret_001.tif,827,153,20,823,156,22,2566,2015,16362,1
2,1,2,2,/Users/anamota/Desktop/iAM658/a488_001.tif,/Users/anamota/Desktop/iAM658/a594_001.tif,/Users/anamota/Desktop/iAM658/a488fret_001.tif,788,123,23,788,123,26,2662,2467,4233,2
7,1,7,2,/Users/anamota/Desktop/iAM658/a488_001.tif,/Users/anamota/Desktop/iAM658/a594_001.tif,/Users/anamota/Desktop/iAM658/a488fret_001.tif,371,550,17,374,554,19,2869,1137,8890,1
7,1,7,2,/Users/anamota/Desktop/iAM658/a488_001.tif,/Users/anamota/Desktop/iAM658/a594_001.tif,/Users/anamota/Desktop/iAM658/a488fret_001.tif,289,549,21,289,548,24,3460,2211,4177,2
8,1,8,2,/Users/anamota/Desktop/iAM658/a488_001.tif,/Users/anamota/Desktop/iAM658/a594_001.tif,/Users/anamota/Desktop/iAM658/a488fret_001.tif,674,773,21,672,769,23,2490,988,3480,1
8,1,8,2,/Users/anamota/Desktop/iAM658/a488_001.tif,/Users/anamota/Desktop/iAM658/a594_001.tif,/Users/anamota/Desktop/iAM658/a488fret_001.tif,685,789,28,686,789,25,2285,1067,7101,2
9,1,9,2,/Users/anamota/Desktop/iAM658/a488_001.tif,/Users/anamota/Desktop/iAM658/a594_001.tif,/Users/anamota/Desktop/iAM658/a488fret_001.tif,572,938,18,575,941,20,2289,1017,6586,1
9,1,9,2,/Users/anamota/Desktop/iAM658/a488_001.tif,/Users/anamota/Desktop/iAM658/a594_001.tif,/Users/anamota/Desktop/iAM658/a488fret_001.tif,590,895,22,590,890,20,2284,1035,8085,2
