nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair
1,1,1,2,/Users/anamota/Desktop/iAM714/a488_001.tif,/Users/anamota/Desktop/iAM714/a594_001.tif,/Users/anamota/Desktop/iAM714/a488fret_001.tif,492,192,17,488,195,15,2118,2335,9214,1
1,1,1,2,/Users/anamota/Desktop/iAM714/a488_001.tif,/Users/anamota/Desktop/iAM714/a594_001.tif,/Users/anamota/Desktop/iAM714/a488fret_001.tif,581,220,23,580,220,26,5861,3758,8406,2
2,1,2,2,/Users/anamota/Desktop/iAM714/a488_001.tif,/Users/anamota/Desktop/iAM714/a594_001.tif,/Users/anamota/Desktop/iAM714/a488fret_001.tif,699,514,17,696,508,17,2300,2501,4643,1
2,1,2,2,/Users/anamota/Desktop/iAM714/a488_001.tif,/Users/anamota/Desktop/iAM714/a594_001.tif,/Users/anamota/Desktop/iAM714/a488fret_001.tif,677,483,18,675,477,17,2167,2809,5060,2
4,1,4,2,/Users/anamota/Desktop/iAM714/a488_001.tif,/Users/anamota/Desktop/iAM714/a594_001.tif,/Users/anamota/Desktop/iAM714/a488fret_001.tif,674,859,14,676,857,12,2168,2622,8133,1
4,1,4,2,/Users/anamota/Desktop/iAM714/a488_001.tif,/Users/anamota/Desktop/iAM714/a594_001.tif,/Users/anamota/Desktop/iAM714/a488fret_001.tif,701,871,17,699,875,15,2209,4359,19977,2
7,2,3,2,/Users/anamota/Desktop/iAM714/a488_002.tif,/Users/anamota/Desktop/iAM714/a594_002.tif,/Users/anamota/Desktop/iAM714/a488fret_002.tif,185,482,18,181,485,16,2025,2486,8687,1
7,2,3,2,/Users/anamota/Desktop/iAM714/a488_002.tif,/Users/anamota/Desktop/iAM714/a594_002.tif,/Users/anamota/Desktop/iAM714/a488fret_002.tif,183,447,18,187,450,16,2110,3275,3767,2
10,3,2,2,/Users/anamota/Desktop/iAM714/a488_003.tif,/Users/anamota/Desktop/iAM714/a594_003.tif,/Users/anamota/Desktop/iAM714/a488fret_003.tif,229,499,20,232,493,20,2193,7676,3708,1
10,3,2,2,/Users/anamota/Desktop/iAM714/a488_003.tif,/Users/anamota/Desktop/iAM714/a594_003.tif,/Users/anamota/Desktop/iAM714/a488fret_003.tif,273,555,20,268,556,22,2384,6587,9231,2
18,5,2,2,/Users/anamota/Desktop/iAM714/a488_005.tif,/Users/anamota/Desktop/iAM714/a594_005.tif,/Users/anamota/Desktop/iAM714/a488fret_005.tif,181,589,19,181,591,17,1795,2548,9560,1
18,5,2,2,/Users/anamota/Desktop/iAM714/a488_005.tif,/Users/anamota/Desktop/iAM714/a594_005.tif,/Users/anamota/Desktop/iAM714/a488fret_005.tif,196,513,21,193,517,19,1778,2311,6780,2
19,5,3,2,/Users/anamota/Desktop/iAM714/a488_005.tif,/Users/anamota/Desktop/iAM714/a594_005.tif,/Users/anamota/Desktop/iAM714/a488fret_005.tif,400,531,22,394,532,21,1897,2931,6081,1
19,5,3,2,/Users/anamota/Desktop/iAM714/a488_005.tif,/Users/anamota/Desktop/iAM714/a594_005.tif,/Users/anamota/Desktop/iAM714/a488fret_005.tif,434,537,16,434,538,13,2851,8224,4350,2
20,5,4,2,/Users/anamota/Desktop/iAM714/a488_005.tif,/Users/anamota/Desktop/iAM714/a594_005.tif,/Users/anamota/Desktop/iAM714/a488fret_005.tif,702,695,27,700,692,25,2542,2720,8727,1
20,5,4,2,/Users/anamota/Desktop/iAM714/a488_005.tif,/Users/anamota/Desktop/iAM714/a594_005.tif,/Users/anamota/Desktop/iAM714/a488fret_005.tif,686,746,16,681,746,14,2318,2728,8455,2
22,6,2,2,/Users/anamota/Desktop/iAM714/a488_006.tif,/Users/anamota/Desktop/iAM714/a594_006.tif,/Users/anamota/Desktop/iAM714/a488fret_006.tif,697,339,20,698,334,18,1884,2308,8989,1
22,6,2,2,/Users/anamota/Desktop/iAM714/a488_006.tif,/Users/anamota/Desktop/iAM714/a594_006.tif,/Users/anamota/Desktop/iAM714/a488fret_006.tif,733,327,19,728,328,17,2120,2585,7620,2
23,6,3,2,/Users/anamota/Desktop/iAM714/a488_006.tif,/Users/anamota/Desktop/iAM714/a594_006.tif,/Users/anamota/Desktop/iAM714/a488fret_006.tif,337,657,19,339,660,17,2608,2932,14015,1
23,6,3,2,/Users/anamota/Desktop/iAM714/a488_006.tif,/Users/anamota/Desktop/iAM714/a594_006.tif,/Users/anamota/Desktop/iAM714/a488fret_006.tif,315,599,18,320,603,17,2427,2877,4485,2
25,6,5,2,/Users/anamota/Desktop/iAM714/a488_006.tif,/Users/anamota/Desktop/iAM714/a594_006.tif,/Users/anamota/Desktop/iAM714/a488fret_006.tif,159,751,28,158,755,26,2610,3788,8158,1
25,6,5,2,/Users/anamota/Desktop/iAM714/a488_006.tif,/Users/anamota/Desktop/iAM714/a594_006.tif,/Users/anamota/Desktop/iAM714/a488fret_006.tif,144,740,21,144,739,24,2452,3003,4665,2
26,7,1,2,/Users/anamota/Desktop/iAM714/a488_007.tif,/Users/anamota/Desktop/iAM714/a594_007.tif,/Users/anamota/Desktop/iAM714/a488fret_007.tif,726,247,26,726,249,24,1854,2348,8803,1
26,7,1,2,/Users/anamota/Desktop/iAM714/a488_007.tif,/Users/anamota/Desktop/iAM714/a594_007.tif,/Users/anamota/Desktop/iAM714/a488fret_007.tif,656,227,21,656,228,24,2101,3386,3719,2
27,7,2,2,/Users/anamota/Desktop/iAM714/a488_007.tif,/Users/anamota/Desktop/iAM714/a594_007.tif,/Users/anamota/Desktop/iAM714/a488fret_007.tif,487,493,17,487,492,20,2091,6584,7668,1
27,7,2,2,/Users/anamota/Desktop/iAM714/a488_007.tif,/Users/anamota/Desktop/iAM714/a594_007.tif,/Users/anamota/Desktop/iAM714/a488fret_007.tif,478,401,26,479,401,23,1701,2196,7778,2
28,7,3,2,/Users/anamota/Desktop/iAM714/a488_007.tif,/Users/anamota/Desktop/iAM714/a594_007.tif,/Users/anamota/Desktop/iAM714/a488fret_007.tif,827,627,19,829,633,18,1884,6412,3596,1
28,7,3,2,/Users/anamota/Desktop/iAM714/a488_007.tif,/Users/anamota/Desktop/iAM714/a594_007.tif,/Users/anamota/Desktop/iAM714/a488fret_007.tif,778,548,16,783,548,18,1742,1916,4233,2
