nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair
1,1,1,2,/Volumes/projects/FRET-FISH/iAM601/a488_001.tif,/Volumes/projects/FRET-FISH/iAM601/a594_001.tif,/Volumes/projects/FRET-FISH/iAM601/a488fret_001.tif,650,112,17,648,116,15,2961,2400,8051,1
1,1,1,2,/Volumes/projects/FRET-FISH/iAM601/a488_001.tif,/Volumes/projects/FRET-FISH/iAM601/a594_001.tif,/Volumes/projects/FRET-FISH/iAM601/a488fret_001.tif,633,127,20,627,130,20,2991,3480,4244,2
2,1,2,2,/Volumes/projects/FRET-FISH/iAM601/a488_001.tif,/Volumes/projects/FRET-FISH/iAM601/a594_001.tif,/Volumes/projects/FRET-FISH/iAM601/a488fret_001.tif,936,153,12,932,150,14,2730,2525,4863,1
2,1,2,2,/Volumes/projects/FRET-FISH/iAM601/a488_001.tif,/Volumes/projects/FRET-FISH/iAM601/a594_001.tif,/Volumes/projects/FRET-FISH/iAM601/a488fret_001.tif,949,193,18,950,188,20,2653,3277,4144,2
3,1,3,2,/Volumes/projects/FRET-FISH/iAM601/a488_001.tif,/Volumes/projects/FRET-FISH/iAM601/a594_001.tif,/Volumes/projects/FRET-FISH/iAM601/a488fret_001.tif,706,243,26,702,242,24,2679,2742,8930,1
3,1,3,2,/Volumes/projects/FRET-FISH/iAM601/a488_001.tif,/Volumes/projects/FRET-FISH/iAM601/a594_001.tif,/Volumes/projects/FRET-FISH/iAM601/a488fret_001.tif,666,263,18,666,264,21,3290,2538,4371,2
4,1,4,2,/Volumes/projects/FRET-FISH/iAM601/a488_001.tif,/Volumes/projects/FRET-FISH/iAM601/a594_001.tif,/Volumes/projects/FRET-FISH/iAM601/a488fret_001.tif,414,303,17,411,305,15,2690,4682,4172,1
4,1,4,2,/Volumes/projects/FRET-FISH/iAM601/a488_001.tif,/Volumes/projects/FRET-FISH/iAM601/a594_001.tif,/Volumes/projects/FRET-FISH/iAM601/a488fret_001.tif,369,319,22,365,317,20,2659,3389,8964,2
5,1,5,2,/Volumes/projects/FRET-FISH/iAM601/a488_001.tif,/Volumes/projects/FRET-FISH/iAM601/a594_001.tif,/Volumes/projects/FRET-FISH/iAM601/a488fret_001.tif,543,458,17,548,457,19,2879,2806,4678,1
5,1,5,2,/Volumes/projects/FRET-FISH/iAM601/a488_001.tif,/Volumes/projects/FRET-FISH/iAM601/a594_001.tif,/Volumes/projects/FRET-FISH/iAM601/a488fret_001.tif,481,466,19,481,459,19,2759,2646,4527,2
7,1,7,2,/Volumes/projects/FRET-FISH/iAM601/a488_001.tif,/Volumes/projects/FRET-FISH/iAM601/a594_001.tif,/Volumes/projects/FRET-FISH/iAM601/a488fret_001.tif,154,592,26,156,589,24,2532,2349,7656,1
7,1,7,2,/Volumes/projects/FRET-FISH/iAM601/a488_001.tif,/Volumes/projects/FRET-FISH/iAM601/a594_001.tif,/Volumes/projects/FRET-FISH/iAM601/a488fret_001.tif,136,567,13,137,567,16,2717,2337,4091,2
9,1,9,2,/Volumes/projects/FRET-FISH/iAM601/a488_001.tif,/Volumes/projects/FRET-FISH/iAM601/a594_001.tif,/Volumes/projects/FRET-FISH/iAM601/a488fret_001.tif,265,833,21,261,831,19,2925,2657,5821,1
9,1,9,2,/Volumes/projects/FRET-FISH/iAM601/a488_001.tif,/Volumes/projects/FRET-FISH/iAM601/a594_001.tif,/Volumes/projects/FRET-FISH/iAM601/a488fret_001.tif,212,819,21,208,822,19,2535,3461,9285,2
