nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair
1,1,1,2,/Volumes/projects/FRET-FISH/iAM569/a488_001.tif,/Volumes/projects/FRET-FISH/iAM569/a594_001.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_001.tif,257,100,27,254,94,27,2757,8903,6922,1
1,1,1,2,/Volumes/projects/FRET-FISH/iAM569/a488_001.tif,/Volumes/projects/FRET-FISH/iAM569/a594_001.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_001.tif,280,62,26,281,67,24,2912,7950,7422,2
8,1,8,2,/Volumes/projects/FRET-FISH/iAM569/a488_001.tif,/Volumes/projects/FRET-FISH/iAM569/a594_001.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_001.tif,480,664,26,476,661,28,3043,8576,7550,1
8,1,8,2,/Volumes/projects/FRET-FISH/iAM569/a488_001.tif,/Volumes/projects/FRET-FISH/iAM569/a594_001.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_001.tif,506,682,33,506,681,30,2670,8323,11164,2
11,2,2,2,/Volumes/projects/FRET-FISH/iAM569/a488_002.tif,/Volumes/projects/FRET-FISH/iAM569/a594_002.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_002.tif,224,218,31,219,215,30,2660,11421,11281,1
11,2,2,2,/Volumes/projects/FRET-FISH/iAM569/a488_002.tif,/Volumes/projects/FRET-FISH/iAM569/a594_002.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_002.tif,152,179,25,151,184,27,3177,8256,7393,2
12,2,3,2,/Volumes/projects/FRET-FISH/iAM569/a488_002.tif,/Volumes/projects/FRET-FISH/iAM569/a594_002.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_002.tif,570,322,32,574,319,30,2479,9227,9431,1
12,2,3,2,/Volumes/projects/FRET-FISH/iAM569/a488_002.tif,/Volumes/projects/FRET-FISH/iAM569/a594_002.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_002.tif,613,338,32,612,333,30,2994,10208,8260,2
14,2,5,2,/Volumes/projects/FRET-FISH/iAM569/a488_002.tif,/Volumes/projects/FRET-FISH/iAM569/a594_002.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_002.tif,682,524,29,680,521,31,3344,15503,8637,1
14,2,5,2,/Volumes/projects/FRET-FISH/iAM569/a488_002.tif,/Volumes/projects/FRET-FISH/iAM569/a594_002.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_002.tif,638,502,32,631,502,32,3343,10735,7826,2
15,2,6,2,/Volumes/projects/FRET-FISH/iAM569/a488_002.tif,/Volumes/projects/FRET-FISH/iAM569/a594_002.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_002.tif,630,640,30,629,636,28,2935,8658,16577,1
15,2,6,2,/Volumes/projects/FRET-FISH/iAM569/a488_002.tif,/Volumes/projects/FRET-FISH/iAM569/a594_002.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_002.tif,676,681,33,680,679,31,2714,10734,19569,2
16,2,7,2,/Volumes/projects/FRET-FISH/iAM569/a488_002.tif,/Volumes/projects/FRET-FISH/iAM569/a594_002.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_002.tif,262,796,28,260,799,26,2321,7119,15116,1
16,2,7,2,/Volumes/projects/FRET-FISH/iAM569/a488_002.tif,/Volumes/projects/FRET-FISH/iAM569/a594_002.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_002.tif,260,750,31,257,746,29,2608,6809,9039,2
23,3,6,2,/Volumes/projects/FRET-FISH/iAM569/a488_003.tif,/Volumes/projects/FRET-FISH/iAM569/a594_003.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_003.tif,65,397,32,66,391,33,3779,16100,6691,1
23,3,6,2,/Volumes/projects/FRET-FISH/iAM569/a488_003.tif,/Volumes/projects/FRET-FISH/iAM569/a594_003.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_003.tif,66,351,26,65,351,29,3225,9868,6785,2
25,3,8,2,/Volumes/projects/FRET-FISH/iAM569/a488_003.tif,/Volumes/projects/FRET-FISH/iAM569/a594_003.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_003.tif,877,730,28,877,726,30,2850,16088,17601,1
25,3,8,2,/Volumes/projects/FRET-FISH/iAM569/a488_003.tif,/Volumes/projects/FRET-FISH/iAM569/a594_003.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_003.tif,810,774,31,809,770,29,2440,9779,18918,2
26,3,9,2,/Volumes/projects/FRET-FISH/iAM569/a488_003.tif,/Volumes/projects/FRET-FISH/iAM569/a594_003.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_003.tif,376,742,34,374,746,32,3028,10117,14231,1
26,3,9,2,/Volumes/projects/FRET-FISH/iAM569/a488_003.tif,/Volumes/projects/FRET-FISH/iAM569/a594_003.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_003.tif,341,747,31,342,752,33,3043,10640,8922,2
28,4,2,2,/Volumes/projects/FRET-FISH/iAM569/a488_004.tif,/Volumes/projects/FRET-FISH/iAM569/a594_004.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_004.tif,937,261,28,936,255,28,2730,9561,11563,1
28,4,2,2,/Volumes/projects/FRET-FISH/iAM569/a488_004.tif,/Volumes/projects/FRET-FISH/iAM569/a594_004.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_004.tif,958,210,32,959,216,31,2205,6832,13102,2
29,4,3,2,/Volumes/projects/FRET-FISH/iAM569/a488_004.tif,/Volumes/projects/FRET-FISH/iAM569/a594_004.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_004.tif,136,373,35,132,372,36,3545,15569,13157,1
29,4,3,2,/Volumes/projects/FRET-FISH/iAM569/a488_004.tif,/Volumes/projects/FRET-FISH/iAM569/a594_004.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_004.tif,159,384,30,155,381,28,3153,9421,7580,2
31,4,5,2,/Volumes/projects/FRET-FISH/iAM569/a488_004.tif,/Volumes/projects/FRET-FISH/iAM569/a594_004.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_004.tif,206,390,28,205,394,26,3477,14209,12790,1
31,4,5,2,/Volumes/projects/FRET-FISH/iAM569/a488_004.tif,/Volumes/projects/FRET-FISH/iAM569/a594_004.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_004.tif,221,404,31,216,403,33,3268,9796,8616,2
32,4,6,2,/Volumes/projects/FRET-FISH/iAM569/a488_004.tif,/Volumes/projects/FRET-FISH/iAM569/a594_004.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_004.tif,816,404,32,818,400,34,2739,8205,12994,1
32,4,6,2,/Volumes/projects/FRET-FISH/iAM569/a488_004.tif,/Volumes/projects/FRET-FISH/iAM569/a594_004.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_004.tif,838,433,30,838,432,33,2965,8288,12288,2
35,4,9,2,/Volumes/projects/FRET-FISH/iAM569/a488_004.tif,/Volumes/projects/FRET-FISH/iAM569/a594_004.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_004.tif,369,628,34,369,627,37,4006,16557,8900,1
35,4,9,2,/Volumes/projects/FRET-FISH/iAM569/a488_004.tif,/Volumes/projects/FRET-FISH/iAM569/a594_004.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_004.tif,372,607,28,372,608,31,3925,9399,8453,2
38,4,12,2,/Volumes/projects/FRET-FISH/iAM569/a488_004.tif,/Volumes/projects/FRET-FISH/iAM569/a594_004.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_004.tif,735,742,28,734,746,26,3677,12610,12003,1
38,4,12,2,/Volumes/projects/FRET-FISH/iAM569/a488_004.tif,/Volumes/projects/FRET-FISH/iAM569/a594_004.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_004.tif,758,744,39,752,742,38,3450,14707,9349,2
39,5,1,2,/Volumes/projects/FRET-FISH/iAM569/a488_005.tif,/Volumes/projects/FRET-FISH/iAM569/a594_005.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_005.tif,101,399,27,97,399,28,3673,18373,13903,1
39,5,1,2,/Volumes/projects/FRET-FISH/iAM569/a488_005.tif,/Volumes/projects/FRET-FISH/iAM569/a594_005.tif,/Volumes/projects/FRET-FISH/iAM569/a488fret_005.tif,41,362,32,38,359,34,3417,18863,11841,2
