nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair
1,1,1,2,/Volumes/projects/FRET-FISH/iAM732/a488_001.tif,/Volumes/projects/FRET-FISH/iAM732/a594_001.tif,/Volumes/projects/FRET-FISH/iAM732/a488fret_001.tif,231,243,8,228,238,7,2826,10723,3787,1
1,1,1,2,/Volumes/projects/FRET-FISH/iAM732/a488_001.tif,/Volumes/projects/FRET-FISH/iAM732/a594_001.tif,/Volumes/projects/FRET-FISH/iAM732/a488fret_001.tif,174,218,10,171,214,8,3617,10219,3661,2
2,1,2,2,/Volumes/projects/FRET-FISH/iAM732/a488_001.tif,/Volumes/projects/FRET-FISH/iAM732/a594_001.tif,/Volumes/projects/FRET-FISH/iAM732/a488fret_001.tif,647,230,11,644,235,12,2604,4750,3791,1
2,1,2,2,/Volumes/projects/FRET-FISH/iAM732/a488_001.tif,/Volumes/projects/FRET-FISH/iAM732/a594_001.tif,/Volumes/projects/FRET-FISH/iAM732/a488fret_001.tif,695,284,14,694,289,12,2334,2088,5179,2
3,1,3,2,/Volumes/projects/FRET-FISH/iAM732/a488_001.tif,/Volumes/projects/FRET-FISH/iAM732/a594_001.tif,/Volumes/projects/FRET-FISH/iAM732/a488fret_001.tif,735,593,11,733,599,10,2328,3644,8374,1
3,1,3,2,/Volumes/projects/FRET-FISH/iAM732/a488_001.tif,/Volumes/projects/FRET-FISH/iAM732/a594_001.tif,/Volumes/projects/FRET-FISH/iAM732/a488fret_001.tif,665,647,9,660,648,11,2803,7256,7493,2
4,1,4,2,/Volumes/projects/FRET-FISH/iAM732/a488_001.tif,/Volumes/projects/FRET-FISH/iAM732/a594_001.tif,/Volumes/projects/FRET-FISH/iAM732/a488fret_001.tif,251,899,11,251,904,12,2839,7589,4213,1
4,1,4,2,/Volumes/projects/FRET-FISH/iAM732/a488_001.tif,/Volumes/projects/FRET-FISH/iAM732/a594_001.tif,/Volumes/projects/FRET-FISH/iAM732/a488fret_001.tif,180,882,14,175,881,16,3167,6722,5456,2
5,2,1,2,/Volumes/projects/FRET-FISH/iAM732/a488_002.tif,/Volumes/projects/FRET-FISH/iAM732/a594_002.tif,/Volumes/projects/FRET-FISH/iAM732/a488fret_002.tif,438,117,12,435,116,12,4359,17586,13005,1
5,2,1,2,/Volumes/projects/FRET-FISH/iAM732/a488_002.tif,/Volumes/projects/FRET-FISH/iAM732/a594_002.tif,/Volumes/projects/FRET-FISH/iAM732/a488fret_002.tif,488,79,14,484,82,16,2806,2181,3984,2
6,2,2,2,/Volumes/projects/FRET-FISH/iAM732/a488_002.tif,/Volumes/projects/FRET-FISH/iAM732/a594_002.tif,/Volumes/projects/FRET-FISH/iAM732/a488fret_002.tif,392,308,14,392,308,11,2290,2008,3860,1
6,2,2,2,/Volumes/projects/FRET-FISH/iAM732/a488_002.tif,/Volumes/projects/FRET-FISH/iAM732/a594_002.tif,/Volumes/projects/FRET-FISH/iAM732/a488fret_002.tif,433,333,12,433,334,15,2454,1880,3823,2
7,2,3,2,/Volumes/projects/FRET-FISH/iAM732/a488_002.tif,/Volumes/projects/FRET-FISH/iAM732/a594_002.tif,/Volumes/projects/FRET-FISH/iAM732/a488fret_002.tif,59,618,14,56,617,16,3120,6973,3572,1
7,2,3,2,/Volumes/projects/FRET-FISH/iAM732/a488_002.tif,/Volumes/projects/FRET-FISH/iAM732/a594_002.tif,/Volumes/projects/FRET-FISH/iAM732/a488fret_002.tif,53,704,16,52,704,19,3738,11118,4548,2
