nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair
6,1,6,2,/Users/anamota/Desktop/iAM600/a488_001.tif,/Users/anamota/Desktop/iAM600/a594_001.tif,/Users/anamota/Desktop/iAM600/a488fret_001.tif,339,538,30,336,538,31,2888,10511,16325,1
6,1,6,2,/Users/anamota/Desktop/iAM600/a488_001.tif,/Users/anamota/Desktop/iAM600/a594_001.tif,/Users/anamota/Desktop/iAM600/a488fret_001.tif,370,532,28,368,530,30,3019,9994,11527,2
7,1,7,2,/Users/anamota/Desktop/iAM600/a488_001.tif,/Users/anamota/Desktop/iAM600/a594_001.tif,/Users/anamota/Desktop/iAM600/a488fret_001.tif,641,648,24,639,647,26,3360,14291,17855,1
7,1,7,2,/Users/anamota/Desktop/iAM600/a488_001.tif,/Users/anamota/Desktop/iAM600/a594_001.tif,/Users/anamota/Desktop/iAM600/a488fret_001.tif,724,573,28,722,571,30,2970,12001,11845,2
10,1,10,2,/Users/anamota/Desktop/iAM600/a488_001.tif,/Users/anamota/Desktop/iAM600/a594_001.tif,/Users/anamota/Desktop/iAM600/a488fret_001.tif,438,867,26,435,868,27,3350,12597,18791,1
10,1,10,2,/Users/anamota/Desktop/iAM600/a488_001.tif,/Users/anamota/Desktop/iAM600/a594_001.tif,/Users/anamota/Desktop/iAM600/a488fret_001.tif,388,874,24,392,869,24,3178,13008,11957,2
11,1,11,2,/Users/anamota/Desktop/iAM600/a488_001.tif,/Users/anamota/Desktop/iAM600/a594_001.tif,/Users/anamota/Desktop/iAM600/a488fret_001.tif,265,902,28,261,905,26,2929,11222,5506,1
11,1,11,2,/Users/anamota/Desktop/iAM600/a488_001.tif,/Users/anamota/Desktop/iAM600/a594_001.tif,/Users/anamota/Desktop/iAM600/a488fret_001.tif,288,890,32,285,886,30,1983,2613,10137,2
12,2,1,2,/Users/anamota/Desktop/iAM600/a488_002.tif,/Users/anamota/Desktop/iAM600/a594_002.tif,/Users/anamota/Desktop/iAM600/a488fret_002.tif,220,123,29,220,121,27,3331,11587,24889,1
12,2,1,2,/Users/anamota/Desktop/iAM600/a488_002.tif,/Users/anamota/Desktop/iAM600/a594_002.tif,/Users/anamota/Desktop/iAM600/a488fret_002.tif,236,144,23,240,148,22,2234,2799,4857,2
13,2,2,2,/Users/anamota/Desktop/iAM600/a488_002.tif,/Users/anamota/Desktop/iAM600/a594_002.tif,/Users/anamota/Desktop/iAM600/a488fret_002.tif,254,341,34,249,340,32,2692,3540,10585,1
13,2,2,2,/Users/anamota/Desktop/iAM600/a488_002.tif,/Users/anamota/Desktop/iAM600/a594_002.tif,/Users/anamota/Desktop/iAM600/a488fret_002.tif,279,465,29,279,465,32,3624,12516,4924,2
17,2,6,2,/Users/anamota/Desktop/iAM600/a488_002.tif,/Users/anamota/Desktop/iAM600/a594_002.tif,/Users/anamota/Desktop/iAM600/a488fret_002.tif,361,554,24,355,556,24,3775,10618,7543,1
17,2,6,2,/Users/anamota/Desktop/iAM600/a488_002.tif,/Users/anamota/Desktop/iAM600/a594_002.tif,/Users/anamota/Desktop/iAM600/a488fret_002.tif,342,546,20,337,546,22,2724,4945,5279,2
18,2,7,2,/Users/anamota/Desktop/iAM600/a488_002.tif,/Users/anamota/Desktop/iAM600/a594_002.tif,/Users/anamota/Desktop/iAM600/a488fret_002.tif,486,698,26,488,692,27,2903,3286,5477,1
18,2,7,2,/Users/anamota/Desktop/iAM600/a488_002.tif,/Users/anamota/Desktop/iAM600/a594_002.tif,/Users/anamota/Desktop/iAM600/a488fret_002.tif,493,667,23,489,670,25,3624,10166,12288,2
20,2,9,2,/Users/anamota/Desktop/iAM600/a488_002.tif,/Users/anamota/Desktop/iAM600/a594_002.tif,/Users/anamota/Desktop/iAM600/a488fret_002.tif,386,918,25,387,919,23,2428,3369,20796,1
20,2,9,2,/Users/anamota/Desktop/iAM600/a488_002.tif,/Users/anamota/Desktop/iAM600/a594_002.tif,/Users/anamota/Desktop/iAM600/a488fret_002.tif,408,863,34,408,866,32,2476,3718,14625,2
21,2,10,2,/Users/anamota/Desktop/iAM600/a488_002.tif,/Users/anamota/Desktop/iAM600/a594_002.tif,/Users/anamota/Desktop/iAM600/a488fret_002.tif,561,869,32,559,872,34,2992,6606,8122,1
21,2,10,2,/Users/anamota/Desktop/iAM600/a488_002.tif,/Users/anamota/Desktop/iAM600/a594_002.tif,/Users/anamota/Desktop/iAM600/a488fret_002.tif,596,875,25,597,875,22,2318,2605,5234,2
30,3,9,2,/Users/anamota/Desktop/iAM600/a488_003.tif,/Users/anamota/Desktop/iAM600/a594_003.tif,/Users/anamota/Desktop/iAM600/a488fret_003.tif,860,940,32,859,942,33,2733,8875,15672,1
30,3,9,2,/Users/anamota/Desktop/iAM600/a488_003.tif,/Users/anamota/Desktop/iAM600/a594_003.tif,/Users/anamota/Desktop/iAM600/a488fret_003.tif,895,897,36,893,901,34,1995,3208,14826,2
35,4,5,2,/Users/anamota/Desktop/iAM600/a488_004.tif,/Users/anamota/Desktop/iAM600/a594_004.tif,/Users/anamota/Desktop/iAM600/a488fret_004.tif,368,537,25,365,537,26,2555,6031,10664,1
35,4,5,2,/Users/anamota/Desktop/iAM600/a488_004.tif,/Users/anamota/Desktop/iAM600/a594_004.tif,/Users/anamota/Desktop/iAM600/a488fret_004.tif,389,555,30,386,551,28,2324,3377,17525,2
38,4,8,2,/Users/anamota/Desktop/iAM600/a488_004.tif,/Users/anamota/Desktop/iAM600/a594_004.tif,/Users/anamota/Desktop/iAM600/a488fret_004.tif,499,832,25,494,831,23,2019,3089,16901,1
38,4,8,2,/Users/anamota/Desktop/iAM600/a488_004.tif,/Users/anamota/Desktop/iAM600/a594_004.tif,/Users/anamota/Desktop/iAM600/a488fret_004.tif,518,829,28,519,834,30,2516,8079,4428,2
