nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair,dlamin_A,dlamin_D
1,1,1,2,/Volumes/projects/FRET-FISH/iAM682/a488_001.tif,/Volumes/projects/FRET-FISH/iAM682/a594_001.tif,/Volumes/projects/FRET-FISH/iAM682/a488fret_001.tif,163,126,23,161,122,25,1997,1570,4146,1,29.2745628356934,29.2745628356934
1,1,1,2,/Volumes/projects/FRET-FISH/iAM682/a488_001.tif,/Volumes/projects/FRET-FISH/iAM682/a594_001.tif,/Volumes/projects/FRET-FISH/iAM682/a488fret_001.tif,111,132,32,114,128,34,2275,1607,4429,2,16.5529460906982,16.5529460906982
2,1,2,2,/Volumes/projects/FRET-FISH/iAM682/a488_001.tif,/Volumes/projects/FRET-FISH/iAM682/a594_001.tif,/Volumes/projects/FRET-FISH/iAM682/a488fret_001.tif,713,144,36,708,144,34,2799,2083,6527,1,13,13
2,1,2,2,/Volumes/projects/FRET-FISH/iAM682/a488_001.tif,/Volumes/projects/FRET-FISH/iAM682/a594_001.tif,/Volumes/projects/FRET-FISH/iAM682/a488fret_001.tif,713,114,36,713,114,33,2439,1656,5388,2,5.65685415267944,5.65685415267944
4,1,4,2,/Volumes/projects/FRET-FISH/iAM682/a488_001.tif,/Volumes/projects/FRET-FISH/iAM682/a594_001.tif,/Volumes/projects/FRET-FISH/iAM682/a488fret_001.tif,760,197,26,765,196,28,2059,1495,3201,1,35,35
4,1,4,2,/Volumes/projects/FRET-FISH/iAM682/a488_001.tif,/Volumes/projects/FRET-FISH/iAM682/a594_001.tif,/Volumes/projects/FRET-FISH/iAM682/a488fret_001.tif,738,186,30,738,185,33,2622,2919,3567,2,14.0356683731079,14.0356683731079
5,1,5,2,/Volumes/projects/FRET-FISH/iAM682/a488_001.tif,/Volumes/projects/FRET-FISH/iAM682/a594_001.tif,/Volumes/projects/FRET-FISH/iAM682/a488fret_001.tif,202,333,29,202,333,32,2566,4213,3350,1,8.48528099060059,8.48528099060059
5,1,5,2,/Volumes/projects/FRET-FISH/iAM682/a488_001.tif,/Volumes/projects/FRET-FISH/iAM682/a594_001.tif,/Volumes/projects/FRET-FISH/iAM682/a488fret_001.tif,156,333,32,156,332,35,2233,2773,2807,2,35.7770881652832,35.7770881652832
6,1,6,2,/Volumes/projects/FRET-FISH/iAM682/a488_001.tif,/Volumes/projects/FRET-FISH/iAM682/a594_001.tif,/Volumes/projects/FRET-FISH/iAM682/a488fret_001.tif,608,366,27,609,361,29,2477,1597,3327,1,37.6563415527344,37.6563415527344
6,1,6,2,/Volumes/projects/FRET-FISH/iAM682/a488_001.tif,/Volumes/projects/FRET-FISH/iAM682/a594_001.tif,/Volumes/projects/FRET-FISH/iAM682/a488fret_001.tif,621,380,35,622,380,38,2935,4010,3934,2,35,35
8,1,8,2,/Volumes/projects/FRET-FISH/iAM682/a488_001.tif,/Volumes/projects/FRET-FISH/iAM682/a594_001.tif,/Volumes/projects/FRET-FISH/iAM682/a488fret_001.tif,712,476,29,713,481,31,10220,3115,7336,1,2.82842707633972,2.82842707633972
8,1,8,2,/Volumes/projects/FRET-FISH/iAM682/a488_001.tif,/Volumes/projects/FRET-FISH/iAM682/a594_001.tif,/Volumes/projects/FRET-FISH/iAM682/a488fret_001.tif,715,508,25,714,513,23,2853,2337,6714,2,9.43398094177246,9.43398094177246
10,1,10,2,/Volumes/projects/FRET-FISH/iAM682/a488_001.tif,/Volumes/projects/FRET-FISH/iAM682/a594_001.tif,/Volumes/projects/FRET-FISH/iAM682/a488fret_001.tif,882,525,26,885,529,24,5171,1900,7066,1,1,1
10,1,10,2,/Volumes/projects/FRET-FISH/iAM682/a488_001.tif,/Volumes/projects/FRET-FISH/iAM682/a594_001.tif,/Volumes/projects/FRET-FISH/iAM682/a488fret_001.tif,885,521,13,882,525,15,3871,1511,4558,2,5.38516473770142,5.38516473770142
11,1,11,2,/Volumes/projects/FRET-FISH/iAM682/a488_001.tif,/Volumes/projects/FRET-FISH/iAM682/a594_001.tif,/Volumes/projects/FRET-FISH/iAM682/a488fret_001.tif,362,497,26,361,492,28,2266,1619,6362,1,8,8
11,1,11,2,/Volumes/projects/FRET-FISH/iAM682/a488_001.tif,/Volumes/projects/FRET-FISH/iAM682/a594_001.tif,/Volumes/projects/FRET-FISH/iAM682/a488fret_001.tif,330,527,27,330,528,24,2512,3687,3010,2,6,6
