nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair
3,1,3,2,/Volumes/projects/FRET-FISH/iAM624/a488_001.tif,/Volumes/projects/FRET-FISH/iAM624/a594_001.tif,/Volumes/projects/FRET-FISH/iAM624/a488fret_001.tif,100,313,16,96,311,14,2982,4649,3303,1
3,1,3,2,/Volumes/projects/FRET-FISH/iAM624/a488_001.tif,/Volumes/projects/FRET-FISH/iAM624/a594_001.tif,/Volumes/projects/FRET-FISH/iAM624/a488fret_001.tif,58,324,16,56,318,15,2156,1544,3334,2
9,1,9,2,/Volumes/projects/FRET-FISH/iAM624/a488_001.tif,/Volumes/projects/FRET-FISH/iAM624/a594_001.tif,/Volumes/projects/FRET-FISH/iAM624/a488fret_001.tif,718,796,12,722,799,14,2286,1661,3962,1
9,1,9,2,/Volumes/projects/FRET-FISH/iAM624/a488_001.tif,/Volumes/projects/FRET-FISH/iAM624/a594_001.tif,/Volumes/projects/FRET-FISH/iAM624/a488fret_001.tif,648,796,16,647,791,14,2495,1783,11543,2
10,1,10,2,/Volumes/projects/FRET-FISH/iAM624/a488_001.tif,/Volumes/projects/FRET-FISH/iAM624/a594_001.tif,/Volumes/projects/FRET-FISH/iAM624/a488fret_001.tif,217,930,13,213,927,11,2290,2253,10699,1
10,1,10,2,/Volumes/projects/FRET-FISH/iAM624/a488_001.tif,/Volumes/projects/FRET-FISH/iAM624/a594_001.tif,/Volumes/projects/FRET-FISH/iAM624/a488fret_001.tif,203,871,9,203,876,11,2089,1468,3398,2
12,2,2,2,/Volumes/projects/FRET-FISH/iAM624/a488_002.tif,/Volumes/projects/FRET-FISH/iAM624/a594_002.tif,/Volumes/projects/FRET-FISH/iAM624/a488fret_002.tif,752,217,10,756,214,12,1881,1869,3556,1
12,2,2,2,/Volumes/projects/FRET-FISH/iAM624/a488_002.tif,/Volumes/projects/FRET-FISH/iAM624/a594_002.tif,/Volumes/projects/FRET-FISH/iAM624/a488fret_002.tif,750,184,14,755,183,12,1949,1491,3821,2
15,2,5,2,/Volumes/projects/FRET-FISH/iAM624/a488_002.tif,/Volumes/projects/FRET-FISH/iAM624/a594_002.tif,/Volumes/projects/FRET-FISH/iAM624/a488fret_002.tif,280,504,12,281,508,10,2606,2211,11019,1
15,2,5,2,/Volumes/projects/FRET-FISH/iAM624/a488_002.tif,/Volumes/projects/FRET-FISH/iAM624/a594_002.tif,/Volumes/projects/FRET-FISH/iAM624/a488fret_002.tif,288,527,9,293,527,11,2474,1719,3412,2
20,2,10,2,/Volumes/projects/FRET-FISH/iAM624/a488_002.tif,/Volumes/projects/FRET-FISH/iAM624/a594_002.tif,/Volumes/projects/FRET-FISH/iAM624/a488fret_002.tif,251,966,15,248,967,15,3374,6005,10820,1
20,2,10,2,/Volumes/projects/FRET-FISH/iAM624/a488_002.tif,/Volumes/projects/FRET-FISH/iAM624/a594_002.tif,/Volumes/projects/FRET-FISH/iAM624/a488fret_002.tif,214,907,12,214,906,9,2326,1510,3428,2
21,2,11,2,/Volumes/projects/FRET-FISH/iAM624/a488_002.tif,/Volumes/projects/FRET-FISH/iAM624/a594_002.tif,/Volumes/projects/FRET-FISH/iAM624/a488fret_002.tif,753,942,14,748,946,14,3065,4744,13666,1
21,2,11,2,/Volumes/projects/FRET-FISH/iAM624/a488_002.tif,/Volumes/projects/FRET-FISH/iAM624/a594_002.tif,/Volumes/projects/FRET-FISH/iAM624/a488fret_002.tif,734,940,17,730,935,16,2112,1485,3689,2
25,3,3,2,/Volumes/projects/FRET-FISH/iAM624/a488_003.tif,/Volumes/projects/FRET-FISH/iAM624/a594_003.tif,/Volumes/projects/FRET-FISH/iAM624/a488fret_003.tif,137,345,13,133,348,11,2283,1918,8719,1
25,3,3,2,/Volumes/projects/FRET-FISH/iAM624/a488_003.tif,/Volumes/projects/FRET-FISH/iAM624/a594_003.tif,/Volumes/projects/FRET-FISH/iAM624/a488fret_003.tif,163,359,11,168,360,13,2358,1570,3321,2
27,3,5,2,/Volumes/projects/FRET-FISH/iAM624/a488_003.tif,/Volumes/projects/FRET-FISH/iAM624/a594_003.tif,/Volumes/projects/FRET-FISH/iAM624/a488fret_003.tif,253,487,15,250,487,15,3714,7802,11122,1
27,3,5,2,/Volumes/projects/FRET-FISH/iAM624/a488_003.tif,/Volumes/projects/FRET-FISH/iAM624/a594_003.tif,/Volumes/projects/FRET-FISH/iAM624/a488fret_003.tif,232,468,13,238,465,13,2503,2537,3273,2
28,3,6,2,/Volumes/projects/FRET-FISH/iAM624/a488_003.tif,/Volumes/projects/FRET-FISH/iAM624/a594_003.tif,/Volumes/projects/FRET-FISH/iAM624/a488fret_003.tif,338,544,17,341,542,15,1996,1581,7517,1
28,3,6,2,/Volumes/projects/FRET-FISH/iAM624/a488_003.tif,/Volumes/projects/FRET-FISH/iAM624/a594_003.tif,/Volumes/projects/FRET-FISH/iAM624/a488fret_003.tif,358,557,12,360,553,10,2275,1441,3781,2
30,3,8,2,/Volumes/projects/FRET-FISH/iAM624/a488_003.tif,/Volumes/projects/FRET-FISH/iAM624/a594_003.tif,/Volumes/projects/FRET-FISH/iAM624/a488fret_003.tif,583,836,17,580,832,15,2040,1471,5362,1
30,3,8,2,/Volumes/projects/FRET-FISH/iAM624/a488_003.tif,/Volumes/projects/FRET-FISH/iAM624/a594_003.tif,/Volumes/projects/FRET-FISH/iAM624/a488fret_003.tif,562,752,10,562,753,13,2289,1540,3924,2
