nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair
8,1,8,2,/Volumes/projects/FRET-FISH/iAM568/a488_001.tif,/Volumes/projects/FRET-FISH/iAM568/a594_001.tif,/Volumes/projects/FRET-FISH/iAM568/a488fret_001.tif,67,668,22,63,668,24,2206,4116,5708,1
8,1,8,2,/Volumes/projects/FRET-FISH/iAM568/a488_001.tif,/Volumes/projects/FRET-FISH/iAM568/a594_001.tif,/Volumes/projects/FRET-FISH/iAM568/a488fret_001.tif,88,681,20,85,677,22,2139,3487,8086,2
11,2,1,2,/Volumes/projects/FRET-FISH/iAM568/a488_002.tif,/Volumes/projects/FRET-FISH/iAM568/a594_002.tif,/Volumes/projects/FRET-FISH/iAM568/a488fret_002.tif,793,184,23,788,188,22,1910,3724,6287,1
11,2,1,2,/Volumes/projects/FRET-FISH/iAM568/a488_002.tif,/Volumes/projects/FRET-FISH/iAM568/a594_002.tif,/Volumes/projects/FRET-FISH/iAM568/a488fret_002.tif,799,209,25,798,214,23,1789,3620,19889,2
15,2,5,2,/Volumes/projects/FRET-FISH/iAM568/a488_002.tif,/Volumes/projects/FRET-FISH/iAM568/a594_002.tif,/Volumes/projects/FRET-FISH/iAM568/a488fret_002.tif,606,538,23,606,533,21,2209,4785,7633,1
15,2,5,2,/Volumes/projects/FRET-FISH/iAM568/a488_002.tif,/Volumes/projects/FRET-FISH/iAM568/a594_002.tif,/Volumes/projects/FRET-FISH/iAM568/a488fret_002.tif,605,492,20,601,487,21,2309,4151,7431,2
16,2,6,2,/Volumes/projects/FRET-FISH/iAM568/a488_002.tif,/Volumes/projects/FRET-FISH/iAM568/a594_002.tif,/Volumes/projects/FRET-FISH/iAM568/a488fret_002.tif,133,540,24,131,546,25,1842,3779,15912,1
16,2,6,2,/Volumes/projects/FRET-FISH/iAM568/a488_002.tif,/Volumes/projects/FRET-FISH/iAM568/a594_002.tif,/Volumes/projects/FRET-FISH/iAM568/a488fret_002.tif,188,586,22,188,581,20,2093,3390,5767,2
21,3,2,2,/Volumes/projects/FRET-FISH/iAM568/a488_003.tif,/Volumes/projects/FRET-FISH/iAM568/a594_003.tif,/Volumes/projects/FRET-FISH/iAM568/a488fret_003.tif,312,213,23,315,218,23,3676,15298,8994,1
21,3,2,2,/Volumes/projects/FRET-FISH/iAM568/a488_003.tif,/Volumes/projects/FRET-FISH/iAM568/a594_003.tif,/Volumes/projects/FRET-FISH/iAM568/a488fret_003.tif,354,194,27,350,193,29,3393,12246,15272,2
22,3,3,2,/Volumes/projects/FRET-FISH/iAM568/a488_003.tif,/Volumes/projects/FRET-FISH/iAM568/a594_003.tif,/Volumes/projects/FRET-FISH/iAM568/a488fret_003.tif,428,334,26,430,338,24,2062,5003,10324,1
22,3,3,2,/Volumes/projects/FRET-FISH/iAM568/a488_003.tif,/Volumes/projects/FRET-FISH/iAM568/a594_003.tif,/Volumes/projects/FRET-FISH/iAM568/a488fret_003.tif,436,314,23,429,314,23,2540,6430,14587,2
27,4,1,2,/Volumes/projects/FRET-FISH/iAM568/a488_004.tif,/Volumes/projects/FRET-FISH/iAM568/a594_004.tif,/Volumes/projects/FRET-FISH/iAM568/a488fret_004.tif,241,170,27,240,173,29,2755,8857,8632,1
