nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair
3,1,3,2,/Users/anamota/Desktop/iAM682/a488_001.tif,/Users/anamota/Desktop/iAM682/a594_001.tif,/Users/anamota/Desktop/iAM682/a488fret_001.tif,441,207,20,435,209,21,2906,3790,7512,1
3,1,3,2,/Users/anamota/Desktop/iAM682/a488_001.tif,/Users/anamota/Desktop/iAM682/a594_001.tif,/Users/anamota/Desktop/iAM682/a488fret_001.tif,436,203,37,432,200,35,2665,2063,6648,2
7,1,7,2,/Users/anamota/Desktop/iAM682/a488_001.tif,/Users/anamota/Desktop/iAM682/a594_001.tif,/Users/anamota/Desktop/iAM682/a488fret_001.tif,264,427,26,258,428,25,2537,3131,3825,1
7,1,7,2,/Users/anamota/Desktop/iAM682/a488_001.tif,/Users/anamota/Desktop/iAM682/a594_001.tif,/Users/anamota/Desktop/iAM682/a488fret_001.tif,241,399,30,241,399,27,2604,1852,6270,2
9,1,9,2,/Users/anamota/Desktop/iAM682/a488_001.tif,/Users/anamota/Desktop/iAM682/a594_001.tif,/Users/anamota/Desktop/iAM682/a488fret_001.tif,454,525,22,455,522,20,3172,4377,4178,1
9,1,9,2,/Users/anamota/Desktop/iAM682/a488_001.tif,/Users/anamota/Desktop/iAM682/a594_001.tif,/Users/anamota/Desktop/iAM682/a488fret_001.tif,478,526,28,473,526,30,2792,2435,4501,2
12,1,12,2,/Users/anamota/Desktop/iAM682/a488_001.tif,/Users/anamota/Desktop/iAM682/a594_001.tif,/Users/anamota/Desktop/iAM682/a488fret_001.tif,11,598,21,7,598,22,2904,3955,5971,1
12,1,12,2,/Users/anamota/Desktop/iAM682/a488_001.tif,/Users/anamota/Desktop/iAM682/a594_001.tif,/Users/anamota/Desktop/iAM682/a488fret_001.tif,52,582,23,52,577,21,2394,1674,2938,2
17,1,17,2,/Users/anamota/Desktop/iAM682/a488_001.tif,/Users/anamota/Desktop/iAM682/a594_001.tif,/Users/anamota/Desktop/iAM682/a488fret_001.tif,253,898,26,250,895,24,2336,1979,5041,1
17,1,17,2,/Users/anamota/Desktop/iAM682/a488_001.tif,/Users/anamota/Desktop/iAM682/a594_001.tif,/Users/anamota/Desktop/iAM682/a488fret_001.tif,260,870,30,259,870,27,2529,1947,5246,2
19,1,19,2,/Users/anamota/Desktop/iAM682/a488_001.tif,/Users/anamota/Desktop/iAM682/a594_001.tif,/Users/anamota/Desktop/iAM682/a488fret_001.tif,63,990,27,62,994,25,2534,1691,4997,1
19,1,19,2,/Users/anamota/Desktop/iAM682/a488_001.tif,/Users/anamota/Desktop/iAM682/a594_001.tif,/Users/anamota/Desktop/iAM682/a488fret_001.tif,86,884,28,86,885,25,2545,1940,5879,2
21,2,2,2,/Users/anamota/Desktop/iAM682/a488_002.tif,/Users/anamota/Desktop/iAM682/a594_002.tif,/Users/anamota/Desktop/iAM682/a488fret_002.tif,172,163,25,174,157,26,2847,3187,3550,1
