nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair
3,1,3,2,/Volumes/projects/FRET-FISH/iAM660/a488_001.tif,/Volumes/projects/FRET-FISH/iAM660/a594_001.tif,/Volumes/projects/FRET-FISH/iAM660/a488fret_001.tif,424,323,27,428,323,25,2882,1477,17354,1
3,1,3,2,/Volumes/projects/FRET-FISH/iAM660/a488_001.tif,/Volumes/projects/FRET-FISH/iAM660/a594_001.tif,/Volumes/projects/FRET-FISH/iAM660/a488fret_001.tif,499,376,29,501,370,30,2378,1327,3915,2
8,1,8,2,/Volumes/projects/FRET-FISH/iAM660/a488_001.tif,/Volumes/projects/FRET-FISH/iAM660/a594_001.tif,/Volumes/projects/FRET-FISH/iAM660/a488fret_001.tif,819,903,23,823,901,24,1832,2148,12512,1
8,1,8,2,/Volumes/projects/FRET-FISH/iAM660/a488_001.tif,/Volumes/projects/FRET-FISH/iAM660/a594_001.tif,/Volumes/projects/FRET-FISH/iAM660/a488fret_001.tif,806,830,21,802,827,23,1686,1181,3701,2
10,2,1,2,/Volumes/projects/FRET-FISH/iAM660/a488_002.tif,/Volumes/projects/FRET-FISH/iAM660/a594_002.tif,/Volumes/projects/FRET-FISH/iAM660/a488fret_002.tif,778,100,27,780,103,25,1905,1158,5899,1
10,2,1,2,/Volumes/projects/FRET-FISH/iAM660/a488_002.tif,/Volumes/projects/FRET-FISH/iAM660/a594_002.tif,/Volumes/projects/FRET-FISH/iAM660/a488fret_002.tif,786,73,25,781,70,26,1889,1370,11911,2
11,2,2,2,/Volumes/projects/FRET-FISH/iAM660/a488_002.tif,/Volumes/projects/FRET-FISH/iAM660/a594_002.tif,/Volumes/projects/FRET-FISH/iAM660/a488fret_002.tif,672,121,28,673,123,26,1938,1250,9332,1
11,2,2,2,/Volumes/projects/FRET-FISH/iAM660/a488_002.tif,/Volumes/projects/FRET-FISH/iAM660/a594_002.tif,/Volumes/projects/FRET-FISH/iAM660/a488fret_002.tif,650,142,22,653,148,22,1957,1136,3640,2
12,2,3,2,/Volumes/projects/FRET-FISH/iAM660/a488_002.tif,/Volumes/projects/FRET-FISH/iAM660/a594_002.tif,/Volumes/projects/FRET-FISH/iAM660/a488fret_002.tif,246,203,23,244,200,21,1767,1111,7674,1
12,2,3,2,/Volumes/projects/FRET-FISH/iAM660/a488_002.tif,/Volumes/projects/FRET-FISH/iAM660/a594_002.tif,/Volumes/projects/FRET-FISH/iAM660/a488fret_002.tif,271,151,21,276,147,22,1662,1095,3538,2
13,2,4,2,/Volumes/projects/FRET-FISH/iAM660/a488_002.tif,/Volumes/projects/FRET-FISH/iAM660/a594_002.tif,/Volumes/projects/FRET-FISH/iAM660/a488fret_002.tif,414,180,20,417,176,22,2280,1178,9884,1
13,2,4,2,/Volumes/projects/FRET-FISH/iAM660/a488_002.tif,/Volumes/projects/FRET-FISH/iAM660/a594_002.tif,/Volumes/projects/FRET-FISH/iAM660/a488fret_002.tif,395,202,24,398,198,26,2144,1512,3273,2
14,2,5,2,/Volumes/projects/FRET-FISH/iAM660/a488_002.tif,/Volumes/projects/FRET-FISH/iAM660/a594_002.tif,/Volumes/projects/FRET-FISH/iAM660/a488fret_002.tif,142,351,28,139,353,26,2080,1316,6210,1
14,2,5,2,/Volumes/projects/FRET-FISH/iAM660/a488_002.tif,/Volumes/projects/FRET-FISH/iAM660/a594_002.tif,/Volumes/projects/FRET-FISH/iAM660/a488fret_002.tif,66,481,25,63,484,23,1995,1299,11222,2
15,2,6,2,/Volumes/projects/FRET-FISH/iAM660/a488_002.tif,/Volumes/projects/FRET-FISH/iAM660/a594_002.tif,/Volumes/projects/FRET-FISH/iAM660/a488fret_002.tif,491,500,29,486,500,27,2027,1406,10545,1
15,2,6,2,/Volumes/projects/FRET-FISH/iAM660/a488_002.tif,/Volumes/projects/FRET-FISH/iAM660/a594_002.tif,/Volumes/projects/FRET-FISH/iAM660/a488fret_002.tif,499,481,24,499,482,21,2133,1284,3600,2
17,2,8,2,/Volumes/projects/FRET-FISH/iAM660/a488_002.tif,/Volumes/projects/FRET-FISH/iAM660/a594_002.tif,/Volumes/projects/FRET-FISH/iAM660/a488fret_002.tif,645,569,30,643,572,28,3705,1691,12905,1
17,2,8,2,/Volumes/projects/FRET-FISH/iAM660/a488_002.tif,/Volumes/projects/FRET-FISH/iAM660/a594_002.tif,/Volumes/projects/FRET-FISH/iAM660/a488fret_002.tif,638,627,35,634,625,33,2717,1722,7768,2
22,3,2,2,/Volumes/projects/FRET-FISH/iAM660/a488_003.tif,/Volumes/projects/FRET-FISH/iAM660/a594_003.tif,/Volumes/projects/FRET-FISH/iAM660/a488fret_003.tif,317,338,21,315,339,23,2348,2487,8424,1
22,3,2,2,/Volumes/projects/FRET-FISH/iAM660/a488_003.tif,/Volumes/projects/FRET-FISH/iAM660/a594_003.tif,/Volumes/projects/FRET-FISH/iAM660/a488fret_003.tif,277,393,24,282,394,26,2153,1226,3468,2
24,3,4,2,/Volumes/projects/FRET-FISH/iAM660/a488_003.tif,/Volumes/projects/FRET-FISH/iAM660/a594_003.tif,/Volumes/projects/FRET-FISH/iAM660/a488fret_003.tif,180,481,23,176,481,24,2064,1856,5472,1
24,3,4,2,/Volumes/projects/FRET-FISH/iAM660/a488_003.tif,/Volumes/projects/FRET-FISH/iAM660/a594_003.tif,/Volumes/projects/FRET-FISH/iAM660/a488fret_003.tif,131,402,19,131,407,21,2069,1195,3543,2
25,3,5,2,/Volumes/projects/FRET-FISH/iAM660/a488_003.tif,/Volumes/projects/FRET-FISH/iAM660/a594_003.tif,/Volumes/projects/FRET-FISH/iAM660/a488fret_003.tif,780,641,27,780,645,25,1827,1134,7939,1
25,3,5,2,/Volumes/projects/FRET-FISH/iAM660/a488_003.tif,/Volumes/projects/FRET-FISH/iAM660/a594_003.tif,/Volumes/projects/FRET-FISH/iAM660/a488fret_003.tif,692,679,23,687,675,24,1677,1110,3532,2
