nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair
1,1,1,2,/Volumes/projects/FRET-FISH/iAM632/a488_001.tif,/Volumes/projects/FRET-FISH/iAM632/a594_001.tif,/Volumes/projects/FRET-FISH/iAM632/a488fret_001.tif,191,67,22,186,64,21,2713,2681,7393,1
1,1,1,2,/Volumes/projects/FRET-FISH/iAM632/a488_001.tif,/Volumes/projects/FRET-FISH/iAM632/a594_001.tif,/Volumes/projects/FRET-FISH/iAM632/a488fret_001.tif,273,88,24,268,87,22,2681,1928,6055,2
2,1,2,2,/Volumes/projects/FRET-FISH/iAM632/a488_001.tif,/Volumes/projects/FRET-FISH/iAM632/a594_001.tif,/Volumes/projects/FRET-FISH/iAM632/a488fret_001.tif,555,256,16,554,252,14,3254,2786,14220,1
2,1,2,2,/Volumes/projects/FRET-FISH/iAM632/a488_001.tif,/Volumes/projects/FRET-FISH/iAM632/a594_001.tif,/Volumes/projects/FRET-FISH/iAM632/a488fret_001.tif,579,244,13,582,248,15,2599,1985,5471,2
3,1,3,2,/Volumes/projects/FRET-FISH/iAM632/a488_001.tif,/Volumes/projects/FRET-FISH/iAM632/a594_001.tif,/Volumes/projects/FRET-FISH/iAM632/a488fret_001.tif,318,318,11,322,316,13,3006,2434,25706,1
3,1,3,2,/Volumes/projects/FRET-FISH/iAM632/a488_001.tif,/Volumes/projects/FRET-FISH/iAM632/a594_001.tif,/Volumes/projects/FRET-FISH/iAM632/a488fret_001.tif,338,331,15,345,331,15,2603,2422,5511,2
9,2,1,2,/Volumes/projects/FRET-FISH/iAM632/a488_002.tif,/Volumes/projects/FRET-FISH/iAM632/a594_002.tif,/Volumes/projects/FRET-FISH/iAM632/a488fret_002.tif,192,123,21,187,127,22,2826,3810,8439,1
9,2,1,2,/Volumes/projects/FRET-FISH/iAM632/a488_002.tif,/Volumes/projects/FRET-FISH/iAM632/a594_002.tif,/Volumes/projects/FRET-FISH/iAM632/a488fret_002.tif,179,98,24,179,99,21,2453,2336,4765,2
11,2,3,2,/Volumes/projects/FRET-FISH/iAM632/a488_002.tif,/Volumes/projects/FRET-FISH/iAM632/a594_002.tif,/Volumes/projects/FRET-FISH/iAM632/a488fret_002.tif,345,317,15,345,312,13,2078,1881,7620,1
11,2,3,2,/Volumes/projects/FRET-FISH/iAM632/a488_002.tif,/Volumes/projects/FRET-FISH/iAM632/a594_002.tif,/Volumes/projects/FRET-FISH/iAM632/a488fret_002.tif,321,304,16,328,304,16,2300,1850,4696,2
13,2,5,2,/Volumes/projects/FRET-FISH/iAM632/a488_002.tif,/Volumes/projects/FRET-FISH/iAM632/a594_002.tif,/Volumes/projects/FRET-FISH/iAM632/a488fret_002.tif,240,320,12,244,317,14,2758,3105,5929,1
13,2,5,2,/Volumes/projects/FRET-FISH/iAM632/a488_002.tif,/Volumes/projects/FRET-FISH/iAM632/a594_002.tif,/Volumes/projects/FRET-FISH/iAM632/a488fret_002.tif,224,332,15,228,329,13,2169,1947,4213,2
16,2,8,2,/Volumes/projects/FRET-FISH/iAM632/a488_002.tif,/Volumes/projects/FRET-FISH/iAM632/a594_002.tif,/Volumes/projects/FRET-FISH/iAM632/a488fret_002.tif,171,618,13,177,619,14,2445,1861,4001,1
16,2,8,2,/Volumes/projects/FRET-FISH/iAM632/a488_002.tif,/Volumes/projects/FRET-FISH/iAM632/a594_002.tif,/Volumes/projects/FRET-FISH/iAM632/a488fret_002.tif,169,597,20,163,599,19,2717,2390,8876,2
18,2,10,2,/Volumes/projects/FRET-FISH/iAM632/a488_002.tif,/Volumes/projects/FRET-FISH/iAM632/a594_002.tif,/Volumes/projects/FRET-FISH/iAM632/a488fret_002.tif,577,741,10,577,740,13,2465,1835,10925,1
18,2,10,2,/Volumes/projects/FRET-FISH/iAM632/a488_002.tif,/Volumes/projects/FRET-FISH/iAM632/a594_002.tif,/Volumes/projects/FRET-FISH/iAM632/a488fret_002.tif,571,739,19,571,740,22,2250,1913,4647,2
20,3,1,2,/Volumes/projects/FRET-FISH/iAM632/a488_003.tif,/Volumes/projects/FRET-FISH/iAM632/a594_003.tif,/Volumes/projects/FRET-FISH/iAM632/a488fret_003.tif,347,257,15,345,259,17,3135,5093,6207,1
20,3,1,2,/Volumes/projects/FRET-FISH/iAM632/a488_003.tif,/Volumes/projects/FRET-FISH/iAM632/a594_003.tif,/Volumes/projects/FRET-FISH/iAM632/a488fret_003.tif,339,287,17,345,289,16,2484,2133,5337,2
21,3,2,2,/Volumes/projects/FRET-FISH/iAM632/a488_003.tif,/Volumes/projects/FRET-FISH/iAM632/a594_003.tif,/Volumes/projects/FRET-FISH/iAM632/a488fret_003.tif,694,431,19,692,435,17,2671,1825,8382,1
21,3,2,2,/Volumes/projects/FRET-FISH/iAM632/a488_003.tif,/Volumes/projects/FRET-FISH/iAM632/a594_003.tif,/Volumes/projects/FRET-FISH/iAM632/a488fret_003.tif,698,401,12,700,405,10,2837,1817,6134,2
22,3,3,2,/Volumes/projects/FRET-FISH/iAM632/a488_003.tif,/Volumes/projects/FRET-FISH/iAM632/a594_003.tif,/Volumes/projects/FRET-FISH/iAM632/a488fret_003.tif,289,409,17,285,409,18,2940,3866,10392,1
22,3,3,2,/Volumes/projects/FRET-FISH/iAM632/a488_003.tif,/Volumes/projects/FRET-FISH/iAM632/a594_003.tif,/Volumes/projects/FRET-FISH/iAM632/a488fret_003.tif,289,453,15,288,453,18,2496,2125,4543,2
