nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair,dlamin_A,dlamin_D
4,1,4,2,/Volumes/projects/FRET-FISH/iAM618/a488_001.tif,/Volumes/projects/FRET-FISH/iAM618/a594_001.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_001.tif,420,501,33,417,503,31,3044,2473,13633,1,24.6981773376465,24.6981773376465
4,1,4,2,/Volumes/projects/FRET-FISH/iAM618/a488_001.tif,/Volumes/projects/FRET-FISH/iAM618/a594_001.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_001.tif,415,510,18,416,510,21,2663,1387,3180,2,14.5602197647095,14.5602197647095
14,2,5,2,/Volumes/projects/FRET-FISH/iAM618/a488_002.tif,/Volumes/projects/FRET-FISH/iAM618/a594_002.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_002.tif,739,450,30,733,451,31,2171,1264,3320,1,24.0416297912598,24.0416297912598
14,2,5,2,/Volumes/projects/FRET-FISH/iAM618/a488_002.tif,/Volumes/projects/FRET-FISH/iAM618/a594_002.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_002.tif,724,440,26,721,444,24,2215,1676,10072,2,8.9442720413208,8.9442720413208
19,2,10,2,/Volumes/projects/FRET-FISH/iAM618/a488_002.tif,/Volumes/projects/FRET-FISH/iAM618/a594_002.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_002.tif,795,895,32,790,896,30,2239,1443,6554,1,3.60555124282837,3.60555124282837
19,2,10,2,/Volumes/projects/FRET-FISH/iAM618/a488_002.tif,/Volumes/projects/FRET-FISH/iAM618/a594_002.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_002.tif,774,813,22,774,814,25,3466,1122,3059,2,1,1
20,3,1,2,/Volumes/projects/FRET-FISH/iAM618/a488_003.tif,/Volumes/projects/FRET-FISH/iAM618/a594_003.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_003.tif,751,93,28,749,89,26,2066,1313,5677,1,32.3882713317871,32.3882713317871
20,3,1,2,/Volumes/projects/FRET-FISH/iAM618/a488_003.tif,/Volumes/projects/FRET-FISH/iAM618/a594_003.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_003.tif,771,92,32,768,96,30,1909,1418,10140,2,22.472204208374,22.472204208374
21,3,2,2,/Volumes/projects/FRET-FISH/iAM618/a488_003.tif,/Volumes/projects/FRET-FISH/iAM618/a594_003.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_003.tif,434,268,25,428,266,24,2584,1287,3184,1,3.60555124282837,3.60555124282837
21,3,2,2,/Volumes/projects/FRET-FISH/iAM618/a488_003.tif,/Volumes/projects/FRET-FISH/iAM618/a594_003.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_003.tif,441,188,24,436,187,26,3610,4474,4716,2,32.6496543884277,32.6496543884277
27,3,8,2,/Volumes/projects/FRET-FISH/iAM618/a488_003.tif,/Volumes/projects/FRET-FISH/iAM618/a594_003.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_003.tif,370,670,34,367,667,32,2236,1526,6278,1,19.9248580932617,19.9248580932617
27,3,8,2,/Volumes/projects/FRET-FISH/iAM618/a488_003.tif,/Volumes/projects/FRET-FISH/iAM618/a594_003.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_003.tif,369,691,33,365,688,31,2561,1446,5506,2,16.2788200378418,16.2788200378418
31,4,2,2,/Volumes/projects/FRET-FISH/iAM618/a488_004.tif,/Volumes/projects/FRET-FISH/iAM618/a594_004.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_004.tif,680,101,30,678,100,30,3661,7835,14658,1,10.0498752593994,10.0498752593994
31,4,2,2,/Volumes/projects/FRET-FISH/iAM618/a488_004.tif,/Volumes/projects/FRET-FISH/iAM618/a594_004.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_004.tif,693,105,39,691,99,38,1963,1196,2959,2,14.3178215026855,14.3178215026855
33,4,4,2,/Volumes/projects/FRET-FISH/iAM618/a488_004.tif,/Volumes/projects/FRET-FISH/iAM618/a594_004.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_004.tif,100,289,26,101,289,23,2532,1579,6482,1,22.472204208374,22.472204208374
33,4,4,2,/Volumes/projects/FRET-FISH/iAM618/a488_004.tif,/Volumes/projects/FRET-FISH/iAM618/a594_004.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_004.tif,104,316,25,105,316,22,2325,1271,5215,2,29,29
41,4,12,2,/Volumes/projects/FRET-FISH/iAM618/a488_004.tif,/Volumes/projects/FRET-FISH/iAM618/a594_004.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_004.tif,483,947,23,485,943,25,3484,3970,11426,1,27.4590606689453,27.4590606689453
41,4,12,2,/Volumes/projects/FRET-FISH/iAM618/a488_004.tif,/Volumes/projects/FRET-FISH/iAM618/a594_004.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_004.tif,477,942,31,473,947,32,2132,1326,2894,2,23.5372047424316,23.5372047424316
44,5,3,2,/Volumes/projects/FRET-FISH/iAM618/a488_005.tif,/Volumes/projects/FRET-FISH/iAM618/a594_005.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_005.tif,564,257,13,561,255,15,2005,1264,2814,1,30.8058433532715,30.8058433532715
44,5,3,2,/Volumes/projects/FRET-FISH/iAM618/a488_005.tif,/Volumes/projects/FRET-FISH/iAM618/a594_005.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_005.tif,561,255,26,565,254,24,2288,1629,12556,2,29.4278774261475,29.4278774261475
46,5,5,2,/Volumes/projects/FRET-FISH/iAM618/a488_005.tif,/Volumes/projects/FRET-FISH/iAM618/a594_005.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_005.tif,797,329,33,796,327,35,3030,4418,8364,1,24.0416297912598,24.0416297912598
46,5,5,2,/Volumes/projects/FRET-FISH/iAM618/a488_005.tif,/Volumes/projects/FRET-FISH/iAM618/a594_005.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_005.tif,826,387,22,827,387,25,4224,1478,3560,2,1.41421353816986,1.41421353816986
47,5,6,2,/Volumes/projects/FRET-FISH/iAM618/a488_005.tif,/Volumes/projects/FRET-FISH/iAM618/a594_005.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_005.tif,312,536,15,316,533,17,2293,1277,2744,1,7.07106781005859,7.07106781005859
47,5,6,2,/Volumes/projects/FRET-FISH/iAM618/a488_005.tif,/Volumes/projects/FRET-FISH/iAM618/a594_005.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_005.tif,305,500,27,305,499,30,4405,8436,4675,2,11.4017543792725,11.4017543792725
50,5,9,2,/Volumes/projects/FRET-FISH/iAM618/a488_005.tif,/Volumes/projects/FRET-FISH/iAM618/a594_005.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_005.tif,797,717,30,796,713,28,2406,1362,5881,1,9,9
50,5,9,2,/Volumes/projects/FRET-FISH/iAM618/a488_005.tif,/Volumes/projects/FRET-FISH/iAM618/a594_005.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_005.tif,703,711,15,698,710,17,2254,1186,3125,2,14.5602197647095,14.5602197647095
51,5,10,2,/Volumes/projects/FRET-FISH/iAM618/a488_005.tif,/Volumes/projects/FRET-FISH/iAM618/a594_005.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_005.tif,693,862,14,691,868,14,2277,1163,2919,1,19.6468830108643,19.6468830108643
51,5,10,2,/Volumes/projects/FRET-FISH/iAM618/a488_005.tif,/Volumes/projects/FRET-FISH/iAM618/a594_005.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_005.tif,695,863,27,689,866,27,2318,1665,3737,2,19,19
52,5,11,2,/Volumes/projects/FRET-FISH/iAM618/a488_005.tif,/Volumes/projects/FRET-FISH/iAM618/a594_005.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_005.tif,432,905,30,428,908,28,1928,1344,3882,1,49.5176734924316,49.5176734924316
52,5,11,2,/Volumes/projects/FRET-FISH/iAM618/a488_005.tif,/Volumes/projects/FRET-FISH/iAM618/a594_005.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_005.tif,425,944,32,426,944,29,2151,1412,8426,2,22,22
55,6,3,2,/Volumes/projects/FRET-FISH/iAM618/a488_006.tif,/Volumes/projects/FRET-FISH/iAM618/a594_006.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_006.tif,565,144,30,563,143,31,3687,6083,12728,1,27.4590606689453,27.4590606689453
55,6,3,2,/Volumes/projects/FRET-FISH/iAM618/a488_006.tif,/Volumes/projects/FRET-FISH/iAM618/a594_006.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_006.tif,565,145,39,561,140,40,2333,1505,3050,2,28.4429244995117,28.4429244995117
56,6,4,2,/Volumes/projects/FRET-FISH/iAM618/a488_006.tif,/Volumes/projects/FRET-FISH/iAM618/a594_006.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_006.tif,700,362,30,696,364,28,2772,2173,11761,1,35.8050270080566,35.8050270080566
56,6,4,2,/Volumes/projects/FRET-FISH/iAM618/a488_006.tif,/Volumes/projects/FRET-FISH/iAM618/a594_006.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_006.tif,716,382,17,714,376,18,2341,1264,2931,2,27.4590606689453,27.4590606689453
61,6,9,2,/Volumes/projects/FRET-FISH/iAM618/a488_006.tif,/Volumes/projects/FRET-FISH/iAM618/a594_006.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_006.tif,687,883,16,684,877,16,2130,1148,2775,1,34.5398330688477,34.5398330688477
61,6,9,2,/Volumes/projects/FRET-FISH/iAM618/a488_006.tif,/Volumes/projects/FRET-FISH/iAM618/a594_006.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_006.tif,684,879,28,680,882,26,2107,1459,6776,2,39.3954315185547,39.3954315185547
71,7,10,2,/Volumes/projects/FRET-FISH/iAM618/a488_007.tif,/Volumes/projects/FRET-FISH/iAM618/a594_007.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_007.tif,423,601,26,428,600,28,2875,1409,3112,1,42.2018966674805,42.2018966674805
71,7,10,2,/Volumes/projects/FRET-FISH/iAM618/a488_007.tif,/Volumes/projects/FRET-FISH/iAM618/a594_007.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_007.tif,403,639,32,402,639,35,3578,3805,8358,2,12,12
72,7,11,2,/Volumes/projects/FRET-FISH/iAM618/a488_007.tif,/Volumes/projects/FRET-FISH/iAM618/a594_007.tif,/Volumes/projects/FRET-FISH/iAM618/a488fret_007.tif,486,654,30,482,656,28,2946,2231,10671,1,13.6014709472656,13.6014709472656
