File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,NSNR,Label
/Volumes/AM/iAM416_20200603_002_calc/001.NM,Cy5,1,162.452097207426,41.1403853461687,21.700235198946,9.38499955729185,2.65094540207869,130.342193501987,11.2339300244101,2
/Volumes/AM/iAM416_20200603_002_calc/001.NM,Cy5,3,344.382731626678,85.789903083207,35.2957164775271,1.60223525489391,2.74986441813232,33.5990638545205,2.56606012658228,2
/Volumes/AM/iAM416_20200603_002_calc/001.NM,Cy5,4,783.526098396185,81.3885694035225,24.5589655168171,6.00154256733003,2.61967709729951,98.5991823820029,7.18669778296383,2
/Volumes/AM/iAM416_20200603_002_calc/001.NM,Cy5,9,803,186,25,1.89312432034239,2.73369597690694,7.03942319121913,3.20786516853933,2
/Volumes/AM/iAM416_20200603_002_calc/001.NM,Cy5,9,833.059367642283,200.59717918498,24.9609511259623,1.61581604570665,2.70683633298024,22.525902710174,2.85553772070626,2
/Volumes/AM/iAM416_20200603_002_calc/001.NM,Cy5,11,618.290358298855,255.598996602114,22.8818383022709,6.19981386970267,2.85325612208382,110.193881148062,7.83430962343096,2
/Volumes/AM/iAM416_20200603_002_calc/001.NM,Cy5,11,672.950084099831,235.477940697242,27.6634777449516,2.69876276790455,2.77128850989224,64.6941605562092,3.7928870292887,2
/Volumes/AM/iAM416_20200603_002_calc/001.NM,Cy5,12,162.266898395726,201.939920432175,43.0291374307715,3.10109223211748,2.69697563258957,39.2442408036837,4.44607637431809,2
/Volumes/AM/iAM416_20200603_002_calc/001.NM,Cy5,12,179.859620285435,233.715587042235,35.1729086452313,2.41682654110582,2.62349324772305,60.3304542285235,3.53923625681914,2
/Volumes/AM/iAM416_20200603_002_calc/001.NM,Cy5,12,110.104071318707,196.103004594242,21.5755086561996,1.35067094548458,2.78708274749433,33.0931618324153,2.60302140159463,2
/Volumes/AM/iAM416_20200603_002_calc/001.NM,Cy5,13,503.200185903986,227.869523754134,21.2587679049758,4.42280654849401,3.02816989914383,28.0373262307924,5.79313131313131,2
/Volumes/AM/iAM416_20200603_002_calc/001.NM,Cy5,14,224.39101051392,141.716797109443,20.1592576095952,7.92138165119195,2.73765948413926,70.6320396686848,9.82980456026059,2
/Volumes/AM/iAM416_20200603_002_calc/001.NM,Cy5,14,265.038748229041,115.477135440624,26.3617876169066,2.30731322757174,2.97645692020075,28.1526785820489,3.48127035830619,2
/Volumes/AM/iAM416_20200603_002_calc/001.NM,Cy5,14,267.214826164238,238.703296733012,33.1208494868589,0.937285641533208,3.45579705119074,19.9058689872844,1.8692996742671,2
/Volumes/AM/iAM416_20200603_002_calc/001.NM,Cy5,15,67.6332934018406,247.153339351264,20.6954775095547,1.98848043048565,2.57584014195119,43.4217565852343,3.58162801273306,2
/Volumes/AM/iAM416_20200603_002_calc/001.NM,Cy5,16,454.062506245956,264.474487653336,39.0295914672122,2.17046807424822,2.8682039841463,44.8772939535924,3.26794453507341,2
/Volumes/AM/iAM416_20200603_002_calc/001.NM,Cy5,17,308.642671627056,281.716477098773,26.2087119017954,3.55090100238431,2.86757361844294,78.9533014989163,5.13169257340242,2
/Volumes/AM/iAM416_20200603_002_calc/001.NM,Cy5,19,289.280886683594,343.961744369906,36.3604723407456,2.23456072566796,2.94197153506572,43.1822277599032,3.27595419847328,2
/Volumes/AM/iAM416_20200603_002_calc/001.NM,Cy5,21,406.962376735183,318.294753778719,28.8758894765815,2.84924855672625,2.90174868304365,51.5976890259479,3.79458333333333,2
/Volumes/AM/iAM416_20200603_002_calc/001.NM,Cy5,21,477.839923652566,435.563213989464,27.5882194576692,2.37904771422518,2.57844208151118,26.4642201542424,3.77291666666667,2
/Volumes/AM/iAM416_20200603_002_calc/001.NM,Cy5,21,494.776719958916,450.390243305298,31.045569873073,1.30445319537421,2.02801711603311,18.5452857113756,2.74458333333333,2
/Volumes/AM/iAM416_20200603_002_calc/001.NM,Cy5,23,517.843333230318,354.48021791227,31.8700442026378,2.58634682701677,2.55336623468895,42.2604389779598,4.07847435335379,2
/Volumes/AM/iAM416_20200603_002_calc/001.NM,Cy5,25,321.950942503365,369.876835929397,27.6931950219293,3.192666002843,2.74679224529622,11.0351659557563,5.28216797683078,2
/Volumes/AM/iAM416_20200603_002_calc/001.NM,Cy5,25,327.034228421581,369.642885691737,26.2368069307505,1.89235524671676,2.90949440283707,45.9126972109278,3.20314439387671,2
/Volumes/AM/iAM416_20200603_002_calc/001.NM,Cy5,25,317.968544912447,368.765243136493,28.7083090521967,1.83388558006845,2.9104632129689,3.22507344870715,3.98427803061647,2
/Volumes/AM/iAM416_20200603_002_calc/001.NM,Cy5,28,428.808514261996,480.800140639768,34.584887414353,1.7159609772807,3.12507469790381,36.3007091163689,2.62766385203056,2
/Volumes/AM/iAM416_20200603_002_calc/001.NM,Cy5,28,439.990512770128,454.121767908488,22.4114172925575,1.59361393616336,2.21144260604965,37.9201584391172,3.1978287092883,2
/Volumes/AM/iAM416_20200603_002_calc/001.NM,Cy5,29,629.652909840904,460.824449145206,22.1671722147928,3.44221868880049,2.69338867767421,49.8221556824554,4.71353482260184,2
/Volumes/AM/iAM416_20200603_002_calc/001.NM,Cy5,34,713.505500025998,567.660511641735,22.8345312583387,2.0044013839065,2.72051160657282,41.1667828889072,3.16666666666667,2
/Volumes/AM/iAM416_20200603_002_calc/001.NM,Cy5,35,232.016760856715,616.197725083944,35.108467508081,1.15560947367658,2.76491235154616,25.3673680610613,2.24183006535948,2
