File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,Label
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,1,171.120880697914,50.5016767601595,21.0473792927467,3.84227277297941,2.56459827229605,42.3078400439047,0
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,1,196,107,28,2.64500840614164,3.78606145016415,11.5690061354925,0
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,2,224.538314518134,111.408553372926,25.0349593943525,3.75319303216656,2.67374038008398,8.52118560909002,0
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,3,565.978230447972,208.025257294559,25.6354261893447,3.57468737937506,3.08394102356737,25.497582460032,0
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,3,575.547832488269,160.207105299345,18.9950341695591,2.2733296743163,2.60420676100662,19.300703630249,0
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,4,694.992799645613,117.319694692419,23.811192942576,6.30763505388495,3.28714249046237,8.79521281894115,0
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,4,681.448067761663,159.156963969789,22.9165974402073,6.08593213746917,3.3885282022716,15.0842266326539,0
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,4,687.763471678849,156.26991046013,20.6124941513872,4.84183758536165,2.6801995700563,47.8093429751166,0
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,5,191.80960179726,199.800090443545,21.6841154230342,10.7399498021532,2.74847603390165,71.5574991758765,0
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,5,262.984844238414,173.860430807872,30.2108313512985,8.65665389723654,3.32095351836391,75.094986725447,0
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,5,277.798758498861,226.083775195484,30.5805062288459,6.41294225663478,2.79296738813136,48.2372951423334,0
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,5,212.508945109489,218.391932896557,23.313334277768,5.5455262237665,3.31831937044446,34.8882738596326,0
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,6,504.899896730455,301.587051319222,27.9622182497613,6.37303781073206,2.83748863649375,15.2408446128754,0
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,6,524.49100561957,289.609645341585,26.7912912446357,4.59779118896677,3.01613592006352,15.1999632545737,0
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,7,79.7896415656957,288.075878864058,30.5646570459547,7.01235728711799,2.99572808635099,41.802236495301,0
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,7,22.7689617668842,250.574735220248,34.8068635997733,4.33169664003435,3.00410222557939,11.5045384103061,0
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,7,40.1532766932333,283.568577020006,18.715771449975,3.6011716916164,2.75698516711236,23.3691324960004,0
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,7,68.1176396324373,224.88610561782,35.2124512295022,3.29665011159159,3.61619681584586,29.6888656224354,0
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,7,21.7796831656862,246.936258570788,34.0477508557476,3.03372385646708,3.42557259309276,3.5340902645907,0
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,8,334.99637222514,382.253871785318,26.0907181142072,8.74552134983969,2.921907441884,26.8057757821294,0
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,9,612.912193896543,384.322177375747,28.4786127034739,8.85066127759455,3.31774043898393,70.8789457871512,0
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,9,643.883726180918,392.506342909167,29.0472207736737,7.72643416917526,3.12453021036534,55.9975793299286,0
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,9,643.829854436743,382.060592269115,19.5412284061974,5.14370654158211,2.6962890625,25.7087490800359,0
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,9,614.446774619737,374.876139471278,29.4481999759322,4.16228070025045,1.80417039822504,19.1700838532126,0
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,10,438.188092134059,396.840438951581,23.5191974182798,6.51688413615557,3.1990540006497,36.0787670277197,0
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,10,457.938079940109,404.632403447466,20.5626295296283,3.6141907142046,2.72055710231637,34.4416415375392,0
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,10,448.65389407208,413.041158559933,21.3126492376704,2.18641322844815,2.41353388063062,17.9312167042026,0
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,11,738.925316435125,379.602814630789,25.4491775197984,5.34698007751376,3.40694374848087,27.1526033725526,0
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,11,742.81583598233,390.4740254283,24.6628095956242,3.40490589309502,2.68254931769406,20.338147349275,0
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,12,189.716200902172,462.828339277808,30.7549220329459,9.16430935603967,2.9326171875,88.6523238256641,0
/Volumes/BC-AM-B/iAM324_20190807_004_calc/001.NM,Cy5,12,179.269655297419,409.380468830605,29.9348410757521,5.22108401724836,3.21270333586762,64.1304033798051,0
