File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,Label,dilation,version,xi,yi,zi,cell_ID,lamin_dist,lamin_dist_norm,centr_dist,centr_dist_norm,compartment,xnorm,ynorm,znorm,G1,Allele,angle
1,Cy5,13,710.9774454,682.5441755,18.31278625,10000000,2.416992188,5.053559685,0,0,7.0.2,711,683,18,10,3364.395843,0.753275385,1101.940911,0.246724615,2,-0.672419372,-0.3419641,0.031879801,0,-1,
1,Cy5,14,388.205858,809.3742953,22.87191954,10000001,2.621191068,10.35187467,0,0,7.0.2,388,809,23,4,2542.082004,0.585320634,1800.96891,0.414679366,0,0.055618265,-0.566924747,0.327402607,0,-1,
1,Cy5,14,378.5939941,795.9285889,24,10000000,4.082456091,5.001815449,0,0,7.0.2,379,796,24,4,973.8180258,0.214266287,3571.028901,0.785733713,0,-0.033641329,-0.480816409,0.393760281,0,-1,
1,Cy5,15,565.137146,829.8057251,20,16.20987289,3.983206331,3.192177719,0,0,7.0.2,565,830,20,8,2548.022376,0.544588586,2130.778262,0.455411414,2,-0.537613856,-0.310199087,0.086261462,0,-1,
1,Cy5,15,562.2228394,820.7714233,21,15.20987289,7.364671998,3.063556288,0,0,7.0.2,562,821,21,8,1677.161505,0.344442196,3192.050086,0.655557804,2,-0.671964526,-0.287552627,0.145084991,0,-1,
1,Cy5,15,568.0514526,821.0628662,20,14.20987289,3.43421727,7.296971518,0,0,7.0.2,568,821,20,8,1416.183927,0.298574105,3326.996791,0.701425895,2,-0.653315516,-0.387342376,0.086261462,0,-1,
1,Cy5,15,576.6036539,904.7799247,23.7532752,13.20987289,3.365175005,9.092657221,0,0,7.0.2,577,905,24,8,2283.510149,0.467452775,2602.037321,0.532547225,2,0.545591234,-0.278433599,0.307042355,0,-1,
1,Cy5,16,303,875,24,6.178577531,3.892230764,5.669644263,0,0,7.0.2,303,875,24,4,1914.706244,0.456324206,2281.22774,0.543675794,0,0.41862641,0.362646969,0.393760281,0,-1,
1,Cy5,16,273,890,25,7.095142275,3.581098502,6.090403875,0,0,7.0.2,273,890,25,4,780,0.167215144,3884.649276,0.832784856,0,0.495811581,0.68264671,0.452583811,0,-1,
1,tmr,1,918.7976547,51.71837748,16.85535613,3.487210227,2.791564094,12.6940525,0,0,7.0.2,919,52,17,,,,,,,,,,,,
1,tmr,1,924.3368133,105.8092642,20.10175848,3.431143286,2.663602329,11.46975084,0,0,7.0.2,924,106,20,,,,,,,,,,,,
1,tmr,2,681.9551107,161.5371864,19.45653087,4.965002687,2.780088151,13.58367995,0,0,7.0.2,682,162,19,9,1330.853114,0.265542453,3681.395952,0.734457547,2,0.641091798,0.292579501,0.076238587,0,0,
1,tmr,3,778.1753864,203.9896683,21.54593266,3.760240946,3.151411339,14.6497426,0,0,7.0.2,778,204,22,12,4336.220202,0.903379209,463.7797978,0.096620791,0,-0.343737752,-0.006428786,0.216587622,0,1,123.5583567
1,tmr,3,778.4339739,259.6602609,25.80813564,2.700609868,2.586608666,38.27823499,0,0,7.0.2,778,260,26,12,3057.559307,0.635074852,1756.895556,0.364925148,0,0.363821934,0.041897111,0.467305445,0,2,123.5583567
1,tmr,4,198,236,29,1.828696225,3.086383459,7.886298448,0,0,7.0.2,198,236,29,3,2100,0.434797448,2729.83516,0.565202552,0,-0.4833825,0.105246554,0.63473778,0,1,62.47557074
1,tmr,4,220,250,17,1.686719332,3.187488848,10.12996758,0,0,7.0.2,220,250,17,3,1545.44492,0.355796292,2798.177979,0.644203708,1,-0.383522821,0.626350042,-0.071144573,0,2,62.47557074
1,tmr,5,468.2229175,290.8229697,19.89730081,3.614621324,3.36168715,21.59263595,0,0,7.0.2,468,291,20,7,2237.39744,0.49283678,2302.385853,0.50716322,0,-0.193930904,-0.534606313,0.116458145,0,0,
1,tmr,6,355.3150788,427.746458,20.43623487,3.452953942,3.061094675,26.4913499,0,0,7.0.2,355,428,20,5,2089.730809,0.461353579,2439.581909,0.538646421,0,-0.490568049,0.312161602,0.151803108,0,-1,
1,tmr,6,374.3435493,489.3103559,19.10200221,3.210584199,2.714713781,24.0385084,0,0,7.0.2,374,489,19,5,3146.220839,0.68795024,1427.0832,0.31204976,0,0.468514879,0.126668246,0.073318834,0,-1,
1,tmr,6,352,418,21,2.541235555,3.620387314,4.334601687,0,0,7.0.2,352,418,21,5,966.9539803,0.20767344,3689.173349,0.79232656,2,-0.642915156,0.346154279,0.184965763,0,-1,
1,tmr,7,756.0135499,448.7596126,20.74405236,5.515871831,2.685306973,26.71795712,0,0,7.0.2,756,449,21,11,3691.74075,0.747342625,1248.053729,0.252657375,0,-0.399974536,-0.284115898,0.163713854,0,1,153.2040933
1,tmr,7,705.2549529,517.6067748,21.72291163,2.832117188,2.993859213,10.99057253,0,0,7.0.2,705,518,22,11,1594.799162,0.328500005,3259.75502,0.671499995,2,0.62038163,0.383344456,0.221293811,0,2,153.2040933
1,tmr,8,168.760691,494.1750981,23.71447096,3.316608361,2.59880241,8.429978973,0,0,7.0.2,169,494,24,2,3659.298049,0.759165103,1160.943501,0.240834897,0,-0.452015881,0.135704051,0.287886815,0,0,
