File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,NSNR,Label
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,1,151,22,13,3.58574665149717,4.91014437056123,8.06089983904834,1.4144754676064,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,1,158,74,18,3.44316740166869,3.45653457162988,2.24022640662699,1.08489202132466,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,2,649.083711785887,165.753677959239,25.0441700960219,7.2529711195748,2.99751957768647,11.9451762241878,1.74872920095081,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,2,623,95,35,6.35241298587425,2.57487934425465,10.2065217459634,1.72495885902359,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,2,745.23774057729,29.7032586534938,34.3893840038398,5.91504919130603,3.34152254195147,8.33521842303322,1.83806911684037,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,2,688.805273853895,36.3788223678657,18.3478194391584,4.99970031450721,2.84659710913427,13.1419312013667,1.48805997440117,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,2,542,196,22,4.89337088252614,2.6314339022641,4.29294015211679,1.23327847869812,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,2,733,224,13,4.6205842588588,2.76960888462497,5.48148034322954,1.02856098006948,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,2,897.732389535057,169.592553792003,19.8449505485154,4.38701476097413,2.57571360510465,8.46801286678804,0.97739989029073,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,2,764,145,29,4.2115600029756,2.92507526054253,5.03310510272706,1.00910586944597,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,2,668,195,15,3.25232589190637,2.94141625728947,4.72450805767272,1.11237886268056,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,2,553.214986480952,156.371192657079,14.3014917002477,3.2472732497481,4.03370584404294,7.00456761449296,1.4605229475224,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,2,550,134,12,3.18143187358146,3.42923873502723,7.63315029962985,1.32144816236972,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,2,544,188,16,3.07393673981096,3.54868361835234,3.84346921530297,1.30382153958676,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,2,573,205,15,3.07129209016603,2.14346682960529,5.29512623805663,1.29775095995612,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,2,559.155887483691,206.488018749606,16.1312814479998,3.06864343375855,2.91202631808035,5.8729597155475,1.24589504479795,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,3,145,150,16,3.9186256497087,3.53012333064979,3.49154418796217,1.67174575533304,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,3,142,167,15,3.59543539886727,2.00286077452305,9.4047817392158,1.56215617208216,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,3,141,167,16,3.59543539886727,2.90849604034925,8.52791589247053,1.5577630901967,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,3,58,107,18,3.48830484552309,4.74900124805141,5.83192850459186,1.72766850041556,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,3,136,168,20,3.38716089986337,4.77847792500983,2.93300532571593,1.52819883642696,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,3,115,147,25,3.25443041865947,4.57013799810807,5.45992383974884,1.63782799699212,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,3,125,100,16,3.15491565694538,4.82528864134767,9.57996645848614,1.53817231962639,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,3,113,128,13,3.08932150879627,4.22648954634412,3.19205533278678,1.40163058534848,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,3,152.564293263541,155.438234372446,20.1462781342047,3.0675110476368,4.48373003759037,2.67492497593052,1.41761982031899,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,4,188,121,19,3.79524411784223,4.33342573706903,6.69136155054866,1.43327863188806,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,4,209,134,13,3.75673224961429,2.70030049266875,2.67257197884711,1.4870875798929,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,4,203,122,13,3.21437337069437,3.44424829084771,3.78362029930183,1.63456555536362,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,5,969.805468732145,271.611524372981,34.3174882398939,5.30100428895457,2.77014674128129,11.472486584431,2.12808144467337,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,5,986,381,25,4.57713508714187,1.38920613223887,3.667118640932,1.63117197915404,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,5,880,273,13,3.79975962117715,3.93514575301707,3.94413513633848,1.67519088595322,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,5,887,283,16,3.15443967672763,4.09401004519606,4.7905805907115,1.76478002666343,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,5,886,283,17,3.15443967672763,4.66736014890411,5.37065330118508,1.78921342867531,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,5,1003,326,17,3.11441847825154,2.44571542298783,9.27068029793463,1.08369894558235,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,5,959,350,16,3.07092153470148,3.48771722134493,5.34932641096761,1.80123621379227,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,6,685,381,13,11.7982325506819,3.57697379695915,30.5987498481579,2.68693457765927,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,6,564.780210864542,480.189347059426,27.4829553247025,6.12313930153323,2.27982013763994,4.12788801266291,1.51280830397105,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,6,571,340,16,4.60087837791798,4.4285262440235,4.62684400217991,1.83515855632797,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,6,514,315,20,4.42739456081472,3.1200592736069,9.50349050683811,2.2561184649081,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,6,649,370,17,4.37195371656344,3.81303143799916,7.26577378260031,2.06804113893915,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,6,561,441,37,4.06999538894161,2.23379550528078,20.2210565675061,2.08646795543282,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,6,516.47529939515,314.808071821425,22.5391967196448,3.94534039785503,3.53401217666247,3.167524738895,2.12622607370727,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,6,647.412973106898,391.558787250721,22.4956687074949,3.88822040986997,3.85494430360392,5.4991815701604,2.3302542614989,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,6,577.557494931531,300.497976502239,22.0093929914942,3.76305575785955,2.36190356344397,6.05168708175626,1.62108370631368,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,6,524.766187686933,397.933919861253,14.9111052144979,3.65429413464153,3.68949253971493,8.46621049256366,1.65246167031711,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,6,549,447,17,3.64364980716346,3.27642873271302,4.80981165398463,1.8988667745929,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,6,578,300,22,3.3922822528566,1.95824810619534,4.57127615695092,1.56908865822303,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,6,565,335,14,3.36524462003581,4.17198984365197,4.50940421254715,1.84115798495381,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,6,652,391,17,3.36326867916068,2.85298208622315,9.47437680496769,2.11922674031045,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,6,497.912413482739,322.130716123349,18.3658730861311,3.26144582660345,2.81441198081711,2.82776514401764,1.90105704218646,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,6,566,336,14,3.21687780833236,4.51530563967871,5.12910482790873,1.78921055137606,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,6,570,410,28,3.19970635935169,3.13491065419646,5.7804574265664,2.01380820874202,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,6,539.806595380228,354.800008415587,20.3646416758399,3.18349304059484,3.93315267916659,7.78902368420686,1.52618798209694,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,6,551,454,27,3.17830726745524,4.28334508366789,5.20390568577657,1.94548138272545,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,6,569.300263876849,318.510476177984,14.6735822530173,3.17755804175977,1.97586007580054,8.70688646935557,1.83506332730216,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,7,149,297,21,4.13122685935741,3.77887706528184,4.28477453168151,1.90143584993052,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,7,135,330,16,3.55739746491417,4.77035786945252,4.22503887771371,1.73645206113942,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,7,150,298,23,3.3039641017931,4.32006413001246,5.90887918810882,2.04691987031033,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,7,163,318,18,3.24284004648143,1.9270358586502,5.24852743294835,1.60981936081519,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,7,169,308,19,3.14682447979067,1.76232524823592,5.46636235230503,1.45738767948124,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,7,168,309,20,3.07063677235601,2.96537092059041,4.46159784117463,1.36679018063918,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,8,997,425,19,5.43449035463163,2.66479058701926,6.10213408028146,1.50601098303072,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,8,997,492,17,3.11799636180331,3.12509596145373,4.93980596789463,1.47236926730322,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,8,999,457,22,3.10272100019938,4.31539883532491,20.9168727039906,1.66783753030228,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,8,999.563524488791,457.002589247441,22.615299705718,3.10272100019938,4.76448841307792,11.3046958617029,1.69603720377975,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,9,382.122419577589,565.256531897036,20.2694563757646,10.4285643011681,2.49214232715069,11.6358980028605,1.51743533887146,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,9,429,582,13,8.37227902662926,3.01882140319016,21.3881341994345,1.83701006291353,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,9,429,596,17,6.05487921364693,2.8719992619047,5.22475825591033,1.43888283777413,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,9,428,596,18,6.05487921364693,3.06476316985646,4.94532538265297,1.40815762521743,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,9,491,453,19,4.48755374863686,4.38228438190318,7.53239864998514,1.48310113309382,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,9,452.480509655378,526.104027414173,16.3592596160086,3.94070607446702,3.10241222389637,8.20361284735711,1.37447368848861,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,9,465.232741342392,442.750933689707,23.1319828636238,3.89178031515257,4.12256760847284,7.53934390721212,1.43488368312389,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,9,489,557,26,3.68968019582826,2.25951718887648,5.07482481022459,1.33575016663144,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,9,467,583,18,3.64190611216327,4.43044623591642,6.52913724205625,1.53063580056248,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,9,442,448,17,3.22840761841144,4.18971939404082,5.37911625549855,1.24568790337002,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,9,423,596,39,3.18745161729021,4.19901510900285,1.45879036939024,1.19181311267537,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,9,422,596,40,3.18745161729021,1.06817640279744,1.19442605479003,1.16310373417001,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,9,469,509,22,3.05544283241761,4.48684029331913,2.48242904048748,1.25036984052152,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,10,392,482,21,10.1042734017028,2.74994930374847,21.324891451883,2.23372699807745,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,10,187,611,38,7.52430615348203,3.0137285935702,15.0888751843306,2.29479080838597,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,10,152.118485719515,655.064554607585,13.306752385064,6.35296343691698,2.66346439380124,39.8335587472803,1.43060514510666,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,10,238,690,21,5.45773336730053,2.62854777778319,9.70473957284067,1.45111233177698,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,10,307,577,33,5.27486823306208,3.34282764674712,2.11090228237823,1.72690652751076,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,10,335,541,17,4.17460950250097,4.01705083597065,4.88201220071522,2.22383960450426,0
/Volumes/AM/iAM510_20201119_001_calc/001.NM,Cy5,10,372,471,17,3.71044329282086,3.54070247704587,13.783426627611,1.72393115444475,0
