File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,Label
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,1,817.321077421967,9.1788137631271,19.0897641539374,11.7284116750925,-1,27.0703003562363,0
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,2,142.508507147517,67.1815899190254,21.683972414208,3.88890556308434,3.36367921724452,18.9423404331238,0
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,3,199.948994795592,214.13892787609,27.9213817017098,2.10271235173241,3.56645830975831,6.02252827595464,0
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,3,264.772546841743,202.80264930202,20.8837279269541,1.92482009708965,2.36138590181925,12.2559068737326,0
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,4,460.815795898438,231.473678588867,25,4.92675125284222,6.46930378753768,3.29738161629257,0
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,4,444.337282232778,165.273518668338,23.5428971492409,3.92675125284222,3.13897584816661,13.1626773699476,0
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,5,181.935176076288,311.106711801057,21.5651329542152,5.8460742483021,2.9970703125,26.8561540935742,0
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,5,155.71635207422,304.564256854942,23.1893352882018,3.68048715157875,3.15458639821109,19.7711128803005,0
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,6,282.784994199034,358.816891253518,24.4244620839285,4.2614556414419,3.02666720932044,20.7539838453725,0
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,6,320.77274568012,363.457434461892,21.7964691472904,3.77218769789488,2.4986440373783,10.2522792478698,0
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,7,686.933044915143,435.738349911625,23.9387076435053,8.66207431464863,3.40199497451394,13.0617943558458,0
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,7,709.558861336767,423.234534414112,20.1167707239787,7.66207431464863,2.89522290790482,59.8609113742025,0
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,7,686,440,26,3.428463463757,3.22481272952719,6.44858839202496,0
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,8,584.835672434049,408.563103900809,23.0182055062292,4.42609050512328,2.78193500002562,16.6088361856383,0
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,8,595.644212456484,418.326615494867,22.5182970537045,3.42609050512328,2.40145468399209,8.51758320841744,0
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,9,272.18474232102,543.100993749062,23.4844123022816,6.43678123537211,3.38685674610313,39.7928681635242,0
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,9,236.108843974505,536.528255626668,28.4523583908682,6.23868674413643,2.95761269632748,27.7493707866231,0
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,9,268,558,23,2.51969709842615,3.147573136027,28.2492482796537,0
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,10,777.581719982027,537.070150701484,24.4327805328281,5.29417576538799,2.78915665878666,40.3999993302386,0
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,10,771.235250025167,509.453270156651,29.5799691521894,3.81863574723593,3.12359946724425,18.9211165360476,0
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,11,486.953350156579,522.116747906881,22.5403802031484,7.3808792863565,3.1391641306509,32.6597290089546,0
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,12,807.897460518699,586.369430470287,22.9197511885041,8.91393213423726,3.08312008515716,46.6891022622896,0
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,12,830.27640283755,597.301355157312,26.5964045197602,6.81007398106158,3.25723079058239,33.1733117061911,0
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,13,257.284431719014,640.474188315016,26.4805526200622,4.80832617516171,3.05967250826871,17.5396730424989,0
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,13,267.684149026017,673.018367964862,31.1847492886591,3.00655343720973,2.97197666848279,13.8260364859494,0
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,14,717.436449949012,700.830581309172,25.4545885215559,6.85469822012419,3.1035277805248,23.5831011995321,0
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,14,759.732902471087,742.166498275317,22.2533099727786,3.46211242588197,2.64551031911587,22.8390590227161,0
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,15,217.73477754474,774.450949814233,23.9122457871028,5.96472647140945,2.42231907736916,34.9310667075464,0
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,15,182.807573803543,719.047865556203,21.8391971097888,2.75014326421388,3.23871050820849,7.44912120365518,0
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,16,438.226562774593,784.369312017275,30.5213135441988,3.93091851031841,2.17940853024868,24.9349532907756,0
/Volumes/BC-AM-B/iAM324_20190807_006_calc/001.NM,Cy5,16,448.127835992148,783.869492098331,30.2292528394079,3.59106618833175,3.16130235002838,26.767077331301,0
