File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,Label
/Volumes/BC-AM-B/iAM324_20190807_001_calc/001.NM,Cy5,1,496.565867302818,106.507862989314,20.5281001812375,7.91816456896231,2.99957226186483,27.4897479183637,0
/Volumes/BC-AM-B/iAM324_20190807_001_calc/001.NM,Cy5,1,511.229968343555,166.265713131022,20.8289787876561,7.47402147858884,2.88779908598879,12.7033670660292,0
/Volumes/BC-AM-B/iAM324_20190807_001_calc/001.NM,Cy5,1,496.695337883929,161.742939514603,18.0306855161987,6.46260902986069,2.93987907587255,49.020504310389,0
/Volumes/BC-AM-B/iAM324_20190807_001_calc/001.NM,Cy5,1,506.596497469367,165.025344643513,22.0860671851467,2.89756155923897,3.2221195472675,3.69571342221496,0
/Volumes/BC-AM-B/iAM324_20190807_001_calc/001.NM,Cy5,2,671.956741544306,248.433301335608,24.5974544899765,10.2917909911157,3.00775995393326,50.8256948212107,0
/Volumes/BC-AM-B/iAM324_20190807_001_calc/001.NM,Cy5,2,699.039654876581,281.681288840151,23.8945101870333,8.90928105500097,2.33097103239044,33.438679435858,0
/Volumes/BC-AM-B/iAM324_20190807_001_calc/001.NM,Cy5,3,557.686400580399,268.357475856723,22.9969809609775,7.63059809858532,2.7106208731536,54.1205929359927,0
/Volumes/BC-AM-B/iAM324_20190807_001_calc/001.NM,Cy5,3,611.029299262306,244.581740294766,23.9336695431046,7.01766250831133,2.79253803620012,35.1802452594112,0
/Volumes/BC-AM-B/iAM324_20190807_001_calc/001.NM,Cy5,4,100.760090645245,299.18247352183,21.6202343563877,10.9568802956492,2.84644901749647,52.3838054726579,0
/Volumes/BC-AM-B/iAM324_20190807_001_calc/001.NM,Cy5,4,123.385208960553,319.011662673322,23.7450876138785,3.8749494020667,3.02539981953181,12.8492623723783,0
/Volumes/BC-AM-B/iAM324_20190807_001_calc/001.NM,Cy5,5,741.514890972886,364.624703652702,31.6227137561703,8.19532526034891,3.03838318325636,8.58172228424152,0
/Volumes/BC-AM-B/iAM324_20190807_001_calc/001.NM,Cy5,5,713,409,29,2.91895180931715,3.04016431930557,3.1780665724859,0
/Volumes/BC-AM-B/iAM324_20190807_001_calc/001.NM,Cy5,6,444.550122944015,349.296946033393,22.9833718826963,12.9363241510255,3.22387349519518,11.8216477940339,0
/Volumes/BC-AM-B/iAM324_20190807_001_calc/001.NM,Cy5,6,423.80898393539,393.226054502343,25.3588015817132,11.9363241510255,2.80255664581879,27.8078786477918,0
/Volumes/BC-AM-B/iAM324_20190807_001_calc/001.NM,Cy5,7,343.551273039952,487.083825708212,23.7602182888395,7.17617050683475,3.49693407658078,17.5606382669141,0
/Volumes/BC-AM-B/iAM324_20190807_001_calc/001.NM,Cy5,7,362.861551856929,491.177974238563,28.2264131378576,5.60838426040391,3.1467869548909,18.9814564742125,0
